date,SA,Al Bahah Province,Al Jowf,Al Madinah Province,Al Qassim,Aseer Province,Eastern Province,Hail Province,Jazan,Makkah Province,Najran,Northern Borders Province,Riyadh Province,Tabuk Province
2020-02-15,0,-9,0,-1,0,-3,2,-3,-1,-1,-4,1,2,-2
2020-02-16,4,3,4,4,5,5,4,7,5,3,3,7,5,5
2020-02-17,4,3,2,3,4,4,4,6,5,3,2,6,5,2
2020-02-18,4,6,3,4,2,4,3,4,3,3,5,4,5,4
2020-02-19,3,2,4,4,2,3,3,4,3,2,1,6,5,2
2020-02-20,3,-1,0,3,3,5,4,5,3,2,2,4,4,2
2020-02-21,-4,-19,-3,-5,-4,-11,-2,-7,-5,-4,-11,-2,-3,-11
2020-02-22,0,-6,0,-2,0,-4,2,-3,-1,-1,-8,2,2,-2
2020-02-23,4,3,2,4,4,5,4,6,4,3,2,7,5,4
2020-02-24,4,3,0,4,2,3,3,5,3,3,2,8,5,3
2020-02-25,3,3,1,3,0,3,3,0,2,2,1,4,4,2
2020-02-26,-1,2,0,4,-14,3,2,3,2,2,-3,7,-6,3
2020-02-27,3,1,1,3,3,5,3,4,3,2,-10,6,4,1
2020-02-28,-3,-16,-1,-3,-3,-8,-1,-4,-5,-3,-7,-3,-2,-6
2020-02-29,2,-8,2,-1,2,-2,3,-3,0,1,-5,1,3,-1
2020-03-01,5,2,4,3,4,5,5,5,4,4,1,4,6,4
2020-03-02,4,3,2,3,2,4,4,5,4,4,1,7,6,2
2020-03-03,4,2,3,3,1,3,4,3,3,3,1,3,6,4
2020-03-04,4,0,4,3,2,4,3,3,3,2,0,4,5,1
2020-03-05,4,0,1,3,3,5,4,5,3,3,3,4,5,1
2020-03-06,-3,-17,-2,-5,-2,-7,0,-6,-4,-4,-6,-6,-1,-8
2020-03-07,2,-6,3,-2,1,-2,3,-1,0,0,-5,0,3,-1
2020-03-08,4,2,2,1,3,4,4,4,4,3,2,7,5,4
2020-03-09,-8,-22,-11,-13,-13,-16,-9,-10,-15,-10,-9,-3,-4,-11
2020-03-10,-9,-21,-10,-14,-13,-15,-10,-11,-15,-10,-8,-5,-4,-11
2020-03-11,-9,-20,-9,-14,-13,-15,-10,-10,-15,-10,-8,-6,-4,-12
2020-03-12,-9,-22,-12,-15,-13,-14,-10,-10,-15,-11,-7,-6,-5,-13
2020-03-13,-5,-12,1,-8,-2,-7,-3,-3,-4,-8,-6,-4,-2,-8
2020-03-14,0,-7,2,-4,3,-1,0,0,-1,-3,-3,-1,2,0
2020-03-15,-11,-24,-13,-17,-13,-16,-11,-11,-17,-13,-9,-9,-8,-11
2020-03-16,-19,-35,-22,-25,-22,-25,-17,-21,-25,-22,-18,-15,-17,-20
2020-03-17,-24,-36,-22,-27,-25,-28,-20,-23,-29,-27,-19,-18,-23,-21
2020-03-18,-27,-37,-22,-30,-27,-30,-23,-25,-30,-31,-20,-18,-27,-24
2020-03-19,-31,-38,-26,-32,-27,-29,-27,-25,-31,-35,-20,-22,-31,-26
2020-03-20,-21,-23,-9,-26,-10,-18,-18,-14,-17,-27,-15,-13,-20,-18
2020-03-21,-20,-18,-8,-22,-11,-13,-17,-15,-14,-26,-13,-8,-19,-12
2020-03-22,-37,-43,-29,-39,-32,-34,-32,-29,-34,-41,-25,-22,-39,-30
2020-03-23,-42,-45,-35,-44,-37,-38,-37,-34,-37,-46,-30,-26,-44,-35
2020-03-24,-43,-46,-35,-43,-37,-39,-38,-36,-39,-48,-29,-27,-45,-34
2020-03-25,-44,-45,-32,-44,-38,-39,-39,-35,-38,-48,-32,-30,-46,-35
2020-03-26,-46,-46,-35,-48,-37,-38,-39,-33,-38,-50,-31,-32,-51,-35
2020-03-27,-38,-30,-20,-44,-25,-26,-34,-25,-22,-42,-27,-25,-42,-25
2020-03-28,-31,-23,-15,-38,-19,-19,-26,-18,-17,-37,-23,-18,-34,-20
2020-03-29,-45,-46,-33,-50,-36,-38,-37,-32,-37,-52,-31,-30,-48,-34
2020-03-30,-46,-46,-33,-51,-39,-40,-38,-33,-38,-52,-31,-31,-50,-36
2020-03-31,-46,-46,-33,-50,-38,-40,-38,-35,-39,-52,-31,-32,-49,-35
2020-04-01,-46,-45,-30,-51,-39,-39,-38,-33,-37,-52,-34,-31,-49,-36
2020-04-02,-46,-46,-34,-52,-37,-38,-38,-32,-38,-52,-31,-31,-49,-36
2020-04-03,-40,-34,-18,-56,-26,-28,-38,-23,-23,-48,-29,-25,-40,-29
2020-04-04,-34,-23,-15,-55,-20,-21,-27,-18,-18,-43,-20,-19,-33,-20
2020-04-05,-47,-44,-32,-62,-38,-39,-39,-33,-37,-54,-30,-32,-48,-36
2020-04-06,-48,-47,-35,-63,-40,-40,-41,-34,-39,-55,-33,-33,-49,-39
2020-04-07,-65,-48,-34,-62,-40,-42,-62,-36,-41,-70,-36,-33,-73,-55
2020-04-08,-63,-49,-35,-62,-45,-43,-59,-39,-42,-68,-37,-36,-70,-54
2020-04-09,-62,-49,-39,-62,-43,-42,-57,-38,-41,-67,-36,-37,-68,-52
2020-04-10,-49,-37,-24,-55,-31,-31,-49,-27,-26,-54,-33,-28,-52,-44
2020-04-11,-49,-28,-21,-53,-27,-24,-45,-25,-21,-57,-24,-26,-56,-43
