date,CO,Amazonas Department,Antioquia,Arauca,Atlantico,Bogota,Bolivar,Boyaca,Caldas,Caquetá,Casanare,Cauca,Cesar,Choco,Cordoba,Cundinamarca,Guaviare,Huila,La Guajira,Magdalena,Meta,Narino,North Santander,Putumayo,Quindio,Risaralda,San Andrés and Providencia,Santander,Sucre,Tolima,Valle del Cauca,Vichada
2020-02-15,4,-9,6,-57,13,9,-6,-7,-7,1,-8,-14,-16,-21,-7,-2,-4,-3,-8,-12,-1,-5,-10,-8,-7,-3,-6,-2,-18,-10,7,0
2020-02-16,0,-13,0,-62,15,3,-5,-5,-5,1,-9,-19,-18,-18,-8,-1,-18,-1,-10,-16,0,-5,-8,-15,-11,-2,-9,-5,-18,-9,3,0
2020-02-17,-1,-15,-1,0,5,1,-3,-4,-5,-4,-5,-4,-3,-5,-6,-2,-9,-4,-6,-8,-1,-8,-10,-5,-8,-7,-4,-5,-10,-8,-1,NA
2020-02-18,-3,-15,-2,-4,5,0,-3,-5,-4,-8,-5,-7,-2,-11,-5,-2,-15,-5,-4,-7,-4,-6,-3,-5,-14,-2,-4,-5,-13,-6,-3,NA
2020-02-19,-5,-13,-4,-1,5,-5,-4,-6,-4,-7,-8,-7,-4,-10,-9,-6,-8,-6,-7,-5,-6,-5,-3,-9,-10,-6,-6,-6,-9,2,-5,0
2020-02-20,-5,-7,-2,2,16,-4,-6,-3,-6,-1,-6,-9,-3,-9,-2,-4,-11,-5,-3,-3,-4,-4,-1,1,-8,-12,-7,-7,-3,-6,-8,0
2020-02-21,-2,0,-4,-4,23,-2,-9,-5,-9,2,-4,-8,-4,-32,-6,-8,-6,-6,-4,-6,-8,-1,-2,0,-12,-11,-8,-6,-16,-8,-3,0
2020-02-22,-2,5,-3,-7,7,-1,-13,-10,-14,2,-4,-6,-6,-15,-6,-7,-12,-7,-2,0,-3,-5,0,-2,-10,-15,-8,-5,-14,-12,-2,0
2020-02-23,-7,-12,-5,-15,11,-12,-12,-11,-4,-6,-6,-9,-8,-13,-8,-11,-26,-9,-11,-1,-6,-1,1,-16,-13,-9,-8,-5,-14,-10,-5,0
2020-02-24,-7,-4,-6,-6,-11,-4,-6,-12,-13,-10,-7,-11,-10,-10,-9,-10,-15,-10,-18,-7,-7,-5,-1,-6,-17,-17,-9,-9,-6,-13,-7,NA
2020-02-25,-8,-4,-6,-14,-19,-4,-6,-11,-12,-17,-9,-10,-7,-20,-9,-10,-18,-10,-18,-9,-8,-15,-3,-12,-21,-15,-8,-8,-13,-13,-8,0
2020-02-26,-6,0,-5,-7,-3,-4,-5,-4,-10,-9,-7,-11,-8,-16,-11,-9,-11,-12,-11,-8,-8,2,-3,-14,-15,-10,-11,-7,-12,-10,-8,NA
