date,AR,Buenos Aires,Buenos Aires Province,Catamarca Province,Chaco Province,Chubut Province,Cordoba,Corrientes,Entre Rios,Formosa Province,Jujuy,La Pampa,La Rioja Province,Mendoza Province,Misiones Province,Neuquen,Río Negro,Salta Province,San Juan Province,San Luis Province,Santa Cruz Province,Santa Fe Province,Santiago del Estero Province,Tierra del Fuego Province,Tucumán
2020-02-15,-3,1,-2,3,-19,-3,-4,-11,-4,-14,1,-2,11,-1,-6,1,-1,-2,3,-4,6,-3,-3,-1,4
2020-02-16,-6,-2,-7,-7,-1,-3,-7,-6,-9,-5,3,-5,8,-3,-14,3,-6,-2,-4,-5,4,-8,-7,-3,6
2020-02-17,-8,-14,-14,-1,-1,0,-9,-3,-3,-1,5,-4,1,3,-5,1,-2,-2,0,-4,6,-9,-1,-4,4
2020-02-18,3,9,6,6,-13,-4,4,-11,3,-6,0,1,8,-1,-10,-9,-7,-5,1,0,3,6,1,-4,0
2020-02-19,0,5,-2,3,-3,-4,-2,0,2,-7,11,-6,2,0,-4,-2,-3,8,2,-4,5,4,1,-2,11
2020-02-20,0,2,4,-3,-6,-1,-2,-5,1,-5,0,-2,10,0,-2,-1,-4,-20,4,-1,6,0,-3,5,5
2020-02-21,4,2,5,4,3,6,2,0,6,-6,5,4,4,3,-1,4,2,4,8,4,10,4,1,7,8
2020-02-22,5,4,7,10,2,-1,9,5,17,-8,8,3,9,10,1,2,4,-1,10,10,8,4,5,6,5
2020-02-23,8,6,9,3,4,-2,13,10,27,-1,16,-1,7,7,6,2,10,-4,6,12,9,9,13,-5,3
2020-02-24,-16,-21,-14,-16,-15,-13,-15,-6,-3,-12,-12,-31,-12,-15,-26,-18,-17,-32,-25,-11,-11,-26,-19,-20,-28
2020-02-25,-17,-17,-15,-12,-15,-16,-13,-15,-12,-19,-21,-29,-9,-14,-29,-25,-22,-31,-24,-14,-13,-26,-15,-23,-25
2020-02-26,2,7,1,5,1,-9,2,0,5,-6,11,-2,2,4,1,-3,-4,7,6,-4,1,5,7,5,9
2020-02-27,0,6,1,12,-4,-4,-3,-4,-1,-4,10,1,9,0,-2,-5,-7,4,0,1,3,-1,6,3,5
2020-02-28,2,7,1,10,-4,5,-1,-2,0,-1,6,7,7,3,-5,0,-3,7,1,3,10,2,4,5,8
2020-02-29,5,15,4,16,2,0,1,0,2,7,4,15,15,8,8,2,0,12,14,4,10,4,9,14,10
2020-03-01,3,17,1,4,5,-2,1,-1,-1,9,1,2,11,6,6,-1,-6,4,6,4,12,3,12,15,9
2020-03-02,4,12,1,9,3,1,-2,-1,3,7,7,14,9,7,3,-1,-6,8,18,3,12,5,14,10,8
2020-03-03,5,19,4,6,1,-1,-1,-2,3,13,4,9,11,2,4,-2,-7,3,9,1,15,5,10,9,5
2020-03-04,3,18,0,3,-1,-3,-2,-1,6,0,5,0,11,0,3,3,-8,7,11,-2,14,5,7,11,6
2020-03-05,4,19,6,6,0,2,-2,-4,3,5,3,6,8,1,6,7,-3,4,9,0,22,3,4,16,4
2020-03-06,8,18,8,17,8,10,1,-3,5,7,0,8,15,4,5,11,0,6,12,3,27,7,4,19,8
2020-03-07,7,21,8,17,9,7,3,-4,2,2,3,13,19,7,9,15,1,5,15,1,18,8,8,15,6
2020-03-08,4,22,1,8,10,5,-1,-5,0,8,5,12,17,11,8,11,-5,1,11,-2,20,5,11,14,10
2020-03-09,5,16,3,11,7,5,-3,-3,3,-1,5,8,10,9,3,10,-2,3,16,-1,21,5,7,11,9
2020-03-10,8,20,9,9,9,3,2,-2,3,8,12,8,12,6,3,1,-3,2,12,5,20,7,7,9,1
2020-03-11,-7,-13,-16,5,5,0,-11,-2,2,-3,11,-5,7,4,1,6,-2,4,12,0,17,4,2,11,12
2020-03-12,8,33,11,2,1,3,1,-4,1,-1,15,6,4,7,3,8,-5,-1,12,1,18,5,-2,19,11
2020-03-13,10,31,10,10,0,9,4,-4,3,-2,10,8,13,12,0,11,-2,5,13,4,23,10,2,14,15
2020-03-14,5,21,0,4,-1,7,7,-8,4,-4,6,19,22,16,-2,12,-1,5,20,4,20,10,0,12,10
2020-03-15,17,69,18,13,0,9,2,-5,5,7,-5,5,23,20,-3,14,1,9,20,9,25,12,8,14,16
2020-03-16,8,24,7,5,1,-2,-2,-7,5,0,-1,15,9,14,-4,8,-4,0,18,-2,13,14,6,5,10
2020-03-17,-11,1,-11,1,-12,-17,-20,-19,-24,-8,-11,-10,-2,-4,-13,-16,-17,-11,-2,-17,4,-22,-7,-25,-2
2020-03-18,-11,4,-10,-1,-30,-22,-15,-26,-9,-37,-19,-13,-7,-8,-24,-15,-20,-23,2,-19,-9,-1,-9,-34,-4
2020-03-19,5,26,14,2,-27,-14,-1,-13,8,-6,-13,7,0,5,-19,-2,-13,-21,-3,0,-6,10,-1,-33,9
2020-03-20,-40,-42,-36,-35,-42,-45,-46,-49,-42,-40,-51,-36,-32,-37,-44,-46,-49,-51,-36,-47,-39,-39,-53,-50,-42
2020-03-21,-49,-43,-47,-41,-47,-51,-52,-57,-53,-52,-52,-43,-40,-45,-51,-54,-58,-54,-37,-56,-46,-46,-55,-58,-50
2020-03-22,-61,-52,-61,-51,-63,-60,-66,-68,-66,-61,-59,-73,-49,-62,-69,-65,-68,-59,-52,-67,-53,-63,-61,-62,-55
2020-03-23,-64,-58,-63,-57,-58,-59,-67,-66,-65,-60,-68,-72,-51,-63,-71,-72,-77,-69,-63,-67,-54,-65,-67,-68,-64
2020-03-24,-64,-59,-62,-55,-64,-61,-67,-68,-68,-61,-66,-72,-52,-65,-68,-66,-70,-69,-62,-66,-55,-66,-67,-68,-66
2020-03-25,-50,-45,-48,-44,-48,-53,-58,-57,-48,-55,-54,-46,-49,-52,-54,-53,-55,-57,-47,-65,-47,-45,-54,-54,-53
2020-03-26,-52,-47,-49,-43,-54,-53,-55,-59,-55,-52,-58,-52,-45,-50,-58,-57,-60,-60,-45,-59,-51,-52,-55,-59,-54
2020-03-27,-49,-44,-46,-43,-56,-47,-53,-55,-54,-55,-55,-46,-36,-47,-54,-55,-56,-55,-40,-53,-47,-51,-54,-51,-50
2020-03-28,-48,-41,-47,-39,-49,-44,-52,-52,-52,-50,-52,-45,-35,-46,-54,-45,-56,-52,-34,-50,-45,-47,-46,-55,-47
2020-03-29,-61,-48,-60,-46,-63,-91,-66,-63,-65,-53,-55,-72,-46,-56,-66,-95,-72,-55,-50,-60,-62,-63,-49,-63,-53
2020-03-30,-51,-46,-52,-46,-47,-46,-56,-52,-52,-46,-56,-54,-47,-47,-62,-53,-60,-59,-45,-61,-50,-50,-52,-57,-53
2020-03-31,-59,-54,-56,-49,-58,-55,-64,-59,-62,-48,-65,-65,-52,-58,-57,-66,-68,-62,-57,-59,-50,-65,-60,-65,-62
2020-04-01,-46,-43,-47,-40,-42,-48,-50,-48,-44,-42,-48,-44,-43,-42,-45,-53,-54,-52,-36,-59,-45,-43,-51,-51,-46
2020-04-02,-47,-42,-43,-42,-52,-49,-51,-54,-46,-50,-57,-43,-46,-43,-52,-54,-56,-60,-39,-53,-45,-45,-51,-53,-51
2020-04-03,-41,-39,-40,-34,-40,-42,-46,-45,-40,-32,-46,-38,-36,-40,-44,-48,-50,-46,-33,-49,-41,-39,-48,-52,-42
2020-04-04,-41,-35,-41,-27,-35,-40,-45,-45,-42,-32,-39,-36,-44,-38,-44,-43,-49,-42,-30,-47,-38,-39,-41,-52,-39
2020-04-05,-54,-44,-53,-33,-51,-59,-60,-56,-57,-40,-40,-64,-52,-50,-52,-94,-66,-43,-42,-57,-66,-56,-44,-62,-43
2020-04-06,-41,-39,-41,-30,-34,-41,-48,-44,-38,-33,-40,-36,-28,-38,-52,-43,-53,-46,-30,-55,-34,-38,-43,-53,-41
2020-04-07,-30,-30,-27,-18,-24,-33,-37,-34,-28,-11,-32,-32,-22,-31,-30,-44,-46,-39,-17,-40,-28,-29,-32,-45,-33
2020-04-08,-28,-26,-26,-16,-20,-32,-34,-29,-23,-19,-28,-34,-24,-27,-27,-38,-43,-33,-10,-41,-26,-25,-30,-38,-24
2020-04-09,-30,-28,-26,-17,-24,-32,-34,-35,-30,-18,-25,-29,-26,-27,-30,-37,-45,-36,-14,-38,-29,-28,-34,-37,-27
2020-04-10,-58,-48,-52,-53,-68,-50,-64,-76,-68,-75,-62,-65,-73,-67,-86,-61,-68,-59,-63,-60,-49,-62,-54,-64,-55
2020-04-11,-34,-28,-33,-15,-28,-37,-37,-44,-33,-32,-28,-32,-27,-30,-38,-40,-46,-33,-17,-40,-37,-29,-30,-51,-25
