date,SN
2020-02-15,1
2020-02-16,1
2020-02-17,0
2020-02-18,-2
2020-02-19,-3
2020-02-20,-2
2020-02-21,-2
2020-02-22,-3
2020-02-23,-4
2020-02-24,-1
2020-02-25,-10
2020-02-26,-7
2020-02-27,-5
2020-02-28,-1
2020-02-29,1
2020-03-01,0
2020-03-02,3
2020-03-03,1
2020-03-04,1
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,-1
2020-03-09,0
2020-03-10,-1
2020-03-11,-3
2020-03-12,-2
2020-03-13,-1
2020-03-14,-2
2020-03-15,-2
2020-03-16,0
2020-03-17,-3
2020-03-18,-5
2020-03-19,-6
2020-03-20,-10
2020-03-21,-14
2020-03-22,-18
2020-03-23,-15
2020-03-24,-29
2020-03-25,-28
2020-03-26,-28
2020-03-27,-28
2020-03-28,-30
2020-03-29,-31
2020-03-30,-26
2020-03-31,-27
2020-04-01,-28
2020-04-02,-27
2020-04-03,-28
2020-04-04,-33
2020-04-05,-31
2020-04-06,-25
2020-04-07,-27
2020-04-08,-28
2020-04-09,-28
2020-04-10,-29
2020-04-11,-30
