date,HR,Bjelovar-Bilogora County,Brod-Posavina County,City of Zagreb,Dubrovnik-Neretva County,Istria County,Karlovac County,Koprivnica-Križevci County,Krapina-Zagorje County,Lika-Senj County,Međimurje County,Osijek-Baranja County,Požega-Slavonia County,Primorje-Gorski Kotar County,Šibenik-Knin County,Sisak-Moslavina County,Split-Dalmatia County,Varaždin County,Virovitica-Podravina County,Vukovar-Srijem County,Zadar County,Zagreb County
2020-02-15,10,11,6,7,16,22,13,16,11,7,14,6,8,12,11,11,9,11,7,10,19,18
2020-02-16,13,14,12,9,14,22,14,14,27,29,9,27,19,16,15,9,8,21,16,20,11,26
2020-02-17,5,10,6,5,8,8,5,6,10,12,5,6,13,1,7,11,4,6,5,12,2,6
2020-02-18,1,5,7,2,10,4,-2,5,7,4,4,4,9,-2,6,4,2,2,6,8,3,2
2020-02-19,4,3,7,3,5,7,3,1,7,9,3,4,7,-1,4,7,1,6,7,7,4,4
2020-02-20,4,7,2,6,6,8,3,0,9,6,5,0,5,3,3,4,0,3,4,2,5,6
2020-02-21,3,6,7,2,11,12,4,5,5,8,4,-2,9,8,6,7,2,3,2,2,4,6
2020-02-22,8,10,5,3,15,21,5,7,9,10,14,3,9,22,14,7,10,5,7,7,9,22
2020-02-23,10,8,22,-1,17,16,14,7,16,18,14,10,19,56,13,2,4,11,13,31,6,23
2020-02-24,4,9,6,3,8,9,1,4,8,2,5,3,6,4,4,12,2,5,7,7,1,5
2020-02-25,1,4,7,1,11,6,-3,4,6,2,9,4,2,-3,9,4,0,1,4,5,3,6
2020-02-26,-8,-1,-2,-13,-5,2,-7,-4,-7,-5,-8,-6,-3,-11,-5,-4,-6,-6,-2,-8,-5,-8
2020-02-27,0,4,1,-1,1,6,-3,-3,4,9,0,0,-1,-5,0,1,-1,0,1,0,0,0
2020-02-28,-3,3,1,-5,1,6,-1,3,-1,2,-1,-7,1,1,2,-2,-1,-3,3,-3,-2,-1
2020-02-29,-1,6,1,-4,10,6,3,-1,1,5,-1,9,0,-6,6,-2,2,1,4,2,2,-2
2020-03-01,-8,3,1,-10,-5,-18,4,2,3,-1,-2,8,10,-26,-5,-5,-8,3,7,4,-11,-9
2020-03-02,2,7,7,3,5,-2,3,0,4,2,5,4,13,-4,0,6,1,3,8,10,-1,3
2020-03-03,-1,4,4,2,0,1,-4,0,0,5,0,-1,3,0,0,3,-1,-3,0,0,3,0
2020-03-04,3,2,6,1,2,4,3,1,2,2,5,4,6,-5,4,2,18,3,7,-3,4,0
