date,MM
2020-02-15,-1
2020-02-16,0
2020-02-17,1
2020-02-18,0
2020-02-19,-3
2020-02-20,0
2020-02-21,-1
2020-02-22,-1
2020-02-23,-1
2020-02-24,0
2020-02-25,-1
2020-02-26,-3
2020-02-27,-2
2020-02-28,2
2020-02-29,5
2020-03-01,2
2020-03-02,-1
2020-03-03,4
2020-03-04,2
2020-03-05,4
2020-03-06,6
2020-03-07,4
2020-03-08,0
2020-03-09,0
2020-03-10,4
2020-03-11,2
2020-03-12,2
2020-03-13,1
2020-03-14,-3
2020-03-15,-4
2020-03-16,2
2020-03-17,-2
2020-03-18,-3
2020-03-19,-4
2020-03-20,-4
2020-03-21,-7
2020-03-22,-10
2020-03-23,-6
2020-03-24,-2
2020-03-25,-12
2020-03-26,-16
2020-03-27,-30
2020-03-28,-31
2020-03-29,-35
2020-03-30,-30
2020-03-31,-30
2020-04-01,-35
2020-04-02,-36
2020-04-03,-39
2020-04-04,-40
2020-04-05,-41
2020-04-06,-37
2020-04-07,-40
2020-04-08,-41
2020-04-09,-40
2020-04-10,-63
2020-04-11,-64
