date,HU,Bács-Kiskun,Baranya,Békés County,Borsod-Abaúj-Zemplén,Budapest,Csongrád,Fejér,Gyor-Moson-Sopron,Hajdú-Bihar,Heves County,Jász-Nagykun-Szolnok,Komárom-Esztergom,Nógrád County,Pest County,Somogy County,Szabolcs-Szatmár-Bereg,Tolna County,Vas County,Veszprém,Zala County
2020-03-19,-8,-4,-12,-5,-8,-12,-10,-7,-11,-10,-4,1,-4,-1,-2,-3,-12,-11,-13,-5,-12
2020-03-20,-14,-9,-17,-9,-16,-17,-12,-10,-16,-14,-12,-7,-11,-8,-9,-13,-18,-16,-17,-11,-19
2020-03-21,-27,-22,-26,-18,-28,-28,-23,-25,-31,-33,-27,-23,-25,-18,-26,-21,-33,-27,-31,-25,-34
2020-03-22,-36,-34,-39,-30,-40,-34,-33,-36,-41,-43,-38,-29,-33,-30,-36,-35,-47,-35,-44,-39,-47
2020-03-23,-26,-20,-29,-19,-26,-34,-27,-24,-24,-26,-26,-22,-21,-16,-22,-20,-25,-25,-26,-25,-26
2020-03-24,-25,-21,-35,-21,-25,-28,-28,-23,-24,-22,-23,-17,-20,-16,-20,-27,-27,-30,-27,-24,-28
2020-03-25,-27,-22,-30,-24,-26,-31,-29,-26,-28,-27,-28,-19,-22,-20,-22,-28,-29,-28,-30,-26,-28
2020-03-26,-24,-21,-25,-21,-24,-29,-25,-26,-25,-24,-21,-16,-22,-16,-20,-22,-28,-22,-27,-23,-27
2020-03-27,-6,-1,-7,0,-8,-12,-5,-5,-9,-4,-2,3,-4,-2,-2,-4,-9,-6,-10,-3,-8
2020-03-28,-40,-40,-41,-35,-42,-39,-36,-40,-43,-43,-42,-38,-38,-36,-39,-37,-47,-43,-43,-39,-45
2020-03-29,-43,-42,-45,-39,-47,-40,-40,-43,-48,-46,-48,-38,-40,-40,-42,-44,-52,-44,-50,-44,-52
2020-03-30,-29,-25,-31,-26,-29,-36,-31,-29,-28,-29,-27,-23,-25,-19,-25,-24,-31,-30,-31,-28,-29
2020-03-31,-26,-24,-28,-25,-27,-31,-27,-25,-27,-26,-27,-21,-21,-18,-22,-22,-29,-25,-27,-24,-27
2020-04-01,-27,-21,-26,-24,-27,-31,-29,-26,-27,-26,-27,-22,-22,-22,-22,-25,-31,-25,-28,-24,-25
2020-04-02,-20,-15,-19,-14,-18,-28,-22,-18,-21,-18,-17,-11,-18,-10,-15,-15,-19,-20,-21,-18,-21
2020-04-03,-16,-9,-16,-10,-14,-24,-15,-15,-19,-13,-14,-9,-13,-8,-13,-11,-17,-14,-17,-14,-17
2020-04-04,-22,-18,-19,-14,-19,-25,-20,-19,-27,-22,-22,-18,-20,-15,-21,-14,-21,-22,-24,-18,-25
2020-04-05,-27,-24,-27,-21,-27,-28,-23,-27,-34,-32,-29,-21,-24,-19,-26,-26,-32,-27,-35,-25,-34
2020-04-06,-16,-9,-16,-11,-13,-26,-19,-13,-15,-12,-14,-9,-11,-2,-12,-6,-11,-12,-14,-12,-14
2020-04-07,-9,-2,-9,-7,-5,-18,-13,-7,-9,-6,-7,-2,-3,2,-4,-1,-7,-2,-5,-3,-5
2020-04-08,2,9,3,8,6,-8,-3,6,0,5,6,12,11,16,9,9,2,7,5,8,7
2020-04-09,22,32,23,29,27,9,16,24,19,25,28,37,28,36,30,29,28,25,23,28,22
2020-04-10,-86,-81,-85,-77,-89,-87,-81,-89,-89,-83,-86,-86,-88,-88,-86,-86,-84,-88,-92,-87,-90
2020-04-11,-4,2,0,10,3,-10,-10,-3,-9,-3,-4,7,2,12,-3,11,-3,-3,-3,2,-5
