date,total,Aichi,Akita,Aomori,Chiba,Ehime,Fukui,Fukuoka,Fukushima,Gifu,Gunma,Hiroshima,Hokkaido,Hyogo,Ibaraki,Ishikawa,Iwate,Kagawa,Kagoshima,Kanagawa,Kochi,Kumamoto,Kyoto,Mie,Miyagi,Miyazaki,Nagano,Nagasaki,Nara,Niigata,Oita,Okayama,Okinawa,Osaka,Saga,Saitama,Shiga,Shimane,Shizuoka,Tochigi,Tokushima,Tokyo,Tottori,Toyama,Wakayama,Yamagata,Yamaguchi,Yamanashi
2020-02-29,-20.741967436518845,-29.013326147853807,-22.245316703027736,-18.480407341062637,-21.32207572767584,-23.513973589018622,-21.591091740435694,-32.97517454881505,-22.982894896070686,-28.198373647494698,-20.185897394489803,-31.135036889740373,-37.2917740798,-24.85890314810492,-24.380862719591228,-29.407238130921606,-21.477310964385484,-25.96666273654424,-22.227178477788883,-19.94358607065049,-23.90548756113347,-31.2606125510213,-30.167304563133236,-33.18870578049188,-26.668294650814275,-27.272289352133157,-25.087613186132323,-26.044348791034857,-26.044850748447193,-23.149530282573075,-27.944586168521994,-27.616380827251053,-20.595135197451537,-25.622507824042447,-30.68146814875117,-19.556516613102623,-30.40323191152137,-20.297716095034946,-29.109063370890627,-26.57243059242293,-23.999836729347095,-19.40278311225648,-22.36489125481508,-21.416776879194366,-31.773121234341968,-26.538651708116547,-22.174512018018916,-24.761879469388294
2020-03-01,-23.256607133084316,-28.710628060090762,-26.25433954204225,-24.549160719928146,-26.4731457549246,-18.852166004456326,-15.579570877875273,-31.277077251641387,-23.712248543522584,-24.696348824056695,-21.294363127667758,-24.58609294031944,-44.90000265071656,-24.37983390262207,-21.179634071179027,-30.560065256650756,-24.267051594323956,-29.85984200907858,-28.569180145594967,-23.01551309396862,-21.58020976081844,-33.06800799125237,-28.97398218827486,-27.6803747793061,-30.360047305619773,-31.56374527696845,-26.26856879592151,-23.99331654702245,-20.04051048072318,-28.913907650311995,-28.082048087795858,-21.022917010854854,-30.615462452519463,-27.433555213115792,-30.052476132283008,-24.780861695282972,-22.21674811734184,-13.700140761140306,-27.51305060841994,-21.477065176129763,-19.219423891907237,-25.103864458415096,-21.356829120792984,-24.043744694993997,-25.195247954961257,-28.953274297072788,-15.557118228857865,-22.491485232325314
2020-03-02,-15.455208189289806,-16.867327406166975,-22.723245307247026,-20.154148168329396,-18.575477272216318,-14.756325610213732,-10.493341467391554,-22.027907568117254,-19.309904889861546,-18.513055963415333,-18.650129748434683,-18.24790626591677,-25.461066013669477,-12.388730688186417,-20.076617583082303,-24.2035716832674,-20.083860605624228,-14.783352001414842,-13.691673741069351,-15.238979628767074,-14.640427178482884,-18.392794566859084,-16.242017781078022,-20.01514396845698,-20.955984605732816,-13.612475006962917,-20.57920935983615,-12.35055053188102,-11.24089662330211,-20.494487707380273,-15.485796216128058,-16.802946295226718,-25.286448237776913,-13.22636503725356,-18.4590096469268,-14.429741585156782,-15.357828216981233,-12.973916912606926,-19.592098379861735,-21.22386749245071,-14.353578736085806,-15.758066754023389,-16.668721462569348,-17.385224803717644,-14.662871996017898,-28.98994722208491,-13.614159210647008,-24.98109660754793
2020-03-03,-15.161633028542449,-20.53682780970951,-26.64476009196786,-19.53467167823756,-16.093380273039706,-10.814665787276505,-14.448339816899516,-23.64772035699776,-15.22902069999089,-19.5944781280409,-16.802363880278776,-18.73516161733516,-28.194514808732123,-15.717303805801235,-18.11198873447404,-26.20386686370272,-19.73739129087788,-14.137682013794727,-15.377510160845624,-14.611762608731732,-12.353097608283155,-16.3303269949893,-17.57708310254879,-19.087455483997044,-21.69395227409036,-14.94473923936901,-19.350169238247727,-13.198156240619573,-13.44007667316729,-22.149893676371335,-17.733535599564828,-16.10570865419882,-26.378959051004504,-16.3480388263142,-18.43804324637786,-15.370664682428169,-17.20353616494092,-7.7999326990161295,-17.75867023985291,-15.598309934017571,-14.08778930112092,-16.523293143242043,-19.99751587491616,-18.69051450008194,-15.041111863819687,-24.817919463468677,-11.986222712442657,-16.071416798469638
2020-03-04,-19.270081043154363,-20.966126041096718,-20.113389709961016,-14.901102962752514,-21.318242373236963,-19.32045357817263,-15.826698408554144,-24.209242570804186,-20.061595599752046,-23.0461141050985,-20.472703213563822,-20.50532937219045,-27.974169327027855,-20.16881523482785,-21.548896511398258,-27.65335612488774,-19.833948313020308,-20.87219241879384,-17.06909375023477,-18.972596668641575,-22.897962051572247,-20.196382960349275,-21.38786137667518,-25.475308381664572,-22.409905342743333,-18.240136843964503,-22.376608410891514,-16.59725763231856,-17.40728173680566,-23.6532231461631,-20.906535901700156,-21.002721161942322,-27.3611543348185,-18.68714950672788,-19.438712363486285,-18.789480741199664,-20.049002584712106,-12.301558674030987,-21.14838040568318,-22.781128434176026,-23.044893259437544,-20.11397081572955,-17.177987979757095,-18.45818450242773,-21.086143375705845,-23.024806445770558,-17.865042361710405,-22.64406808619854
2020-03-05,-17.75889087143846,-21.38876110703002,-25.85430272241403,-19.29130591427291,-18.81122857020761,-16.248333871665675,-15.531677945573167,-23.663183963574184,-21.049282230189565,-20.930751573398126,-19.08227635420161,-19.72804107349921,-31.146367715616186,-17.597171525075925,-19.943988437887285,-28.771395508348448,-20.8695697073714,-16.27969698756116,-15.255861737373133,-16.647584569945685,-14.731502930759605,-16.661540061445546,-20.8122700867154,-23.065052319235956,-22.765967564052026,-16.2470540945419,-20.39937328570701,-15.304152677348817,-15.497467482975374,-26.995031568058454,-18.126961092658988,-18.834071671572804,-29.44360187252069,-17.699652088264727,-18.84784107528893,-16.6535659895908,-18.248476029228513,-13.9762020121722,-17.83813171315139,-19.52858525699057,-14.5491238203814,-18.441666487210107,-19.790001667912556,-20.129803655674177,-16.860358117437027,-29.55837755977285,-14.830069303111143,-19.28434815819254
2020-03-06,-18.165564659686847,-23.150692429197914,-27.297704804774497,-23.273654779148995,-19.1811472735598,-16.21768928606461,-15.410029897525817,-24.521414128565763,-23.327662598927443,-21.116802698494997,-17.484496639157516,-21.014820582899752,-30.514451818746235,-17.829041039889624,-20.332334208350403,-27.18372160426379,-22.19391553067779,-18.234908329894473,-17.504920779211023,-16.746215643325286,-18.43430148426004,-18.75160872218669,-20.87739522434812,-23.468688326493183,-25.2086309747504,-19.031380068286907,-21.31394070012844,-16.76697163088282,-13.70822231082629,-25.89465638913871,-18.496686254843866,-20.388190330746703,-27.218905362679923,-18.35353551400384,-21.500090744729647,-17.479530310090837,-19.36839777890197,-13.678979271514168,-20.475865009717996,-20.700338447249656,-16.640317124765836,-19.89588611968489,-15.911960937028683,-17.645511523081275,-17.682956904481532,-28.26034902973842,-18.57864520428612,-15.43501109782119
2020-03-07,-23.64643644489638,-32.68663407451285,-21.737577662730388,-20.519677774284204,-26.023684946965595,-27.673976084363453,-13.249100792054767,-36.35203963494183,-19.126352507213866,-25.414389884977435,-20.338020751228385,-31.97419888384982,-37.12093353010858,-27.618342002086113,-25.807341655321853,-30.80744475722633,-19.831108400604354,-24.673406826622646,-24.94463184307598,-24.116733816168075,-28.799860540254336,-26.735937499489708,-30.396200267460006,-29.812227963220778,-28.991313497900858,-32.454497722420534,-24.648120748287322,-32.45394508908397,-25.855798428371063,-26.84973554971518,-28.640427884018656,-26.917219772041015,-31.981826729115877,-30.027165710836094,-32.31780040977514,-24.417630602291144,-25.034336656649053,-13.285567941646415,-26.850225636027744,-26.976023892723376,-19.91996890263611,-25.057545584918884,-20.385891088023826,-20.34574523025734,-23.28557417510853,-20.913218026651354,-25.68297929114015,-23.059325220157316
2020-03-08,-31.570559431298392,-41.57910431313655,-21.137522433288062,-14.779901040778025,-35.67415474685304,-25.199425797077303,-23.631330656505433,-31.461674055147455,-27.313371479277077,-38.62401976685536,-28.606942575477223,-31.67256461868606,-39.60200424039982,-34.327227715827895,-29.817703506074903,-31.376610873784983,-20.25141543816549,-37.1796704592348,-16.39954849033499,-35.19118394854782,-25.00883235173583,-18.39184280517387,-37.52931828346738,-42.79505008686205,-34.422219529367375,-19.53279060970733,-31.55113326218535,-20.469822508648523,-36.80829380829173,-28.69693226291937,-21.49904417443233,-28.732922759986756,-31.809579674417463,-36.168522725467454,-24.070380848388155,-33.37861894961084,-32.30757953907769,-16.358793366896947,-39.9526473490612,-28.636086901506353,-30.852457911531044,-34.34254976784681,-22.44675465757797,-27.644377646190925,-36.659124668028305,-26.602346788400766,-18.98779030648969,-38.14571346830614
2020-03-09,-15.20013468896833,-17.568863540385095,-13.310840522340811,-16.032320901181084,-18.094391290136528,-14.250689947796129,-6.046961632463978,-21.505044370751886,-13.792650467525709,-15.260068323049707,-17.495154963514995,-17.517990015280102,-25.91243451143373,-14.282970484825592,-15.30578502211032,-20.97024430465069,-15.721755134719418,-15.912795496079701,-16.73384218948381,-14.189468401349158,-14.03040937937943,-17.560003092292373,-16.81282045797657,-18.211786914553553,-18.87799782492319,-16.530124014842833,-19.34247571635985,-14.768975011421743,-9.926211356650251,-19.08511632945049,-18.067236258767586,-14.46311294264621,-25.200324710427708,-15.087931116653692,-18.895491985627427,-13.710041680159673,-13.50635243168417,-5.18937438786435,-16.178162155099002,-18.40918497125159,-13.821999866156036,-16.689269106603465,-12.3946903183208,-10.333382758736244,-12.444966755771425,-21.82039038221445,-13.692914840648633,-18.447073890419844
