date,AE,Abu Dhabi,Ajman,Dubai,Fujairah,Ras al Khaimah,Sharjah,Umm Al Quawain
2020-02-15,0,-1,24,0,0,-6,0,0
2020-02-16,1,-2,21,1,0,-2,0,0
2020-02-17,1,-3,20,0,0,2,-2,0
2020-02-18,0,-2,17,0,0,-2,-2,0
2020-02-19,-1,-1,11,-1,0,-8,-3,0
2020-02-20,1,-3,9,1,0,-7,1,0
2020-02-21,0,-5,25,1,0,-4,0,0
2020-02-22,-2,-2,17,-2,0,-8,-6,0
2020-02-23,-1,-3,25,-1,0,-10,-2,0
2020-02-24,-1,-5,11,-1,0,0,-2,0
2020-02-25,-2,-3,10,-3,0,-8,-4,0
2020-02-26,-2,-3,9,-2,0,-8,-2,0
2020-02-27,-1,-4,2,-2,0,-7,2,0
2020-02-28,-1,-2,18,-1,0,-8,-2,0
2020-02-29,-1,1,18,-2,0,-8,-1,0
2020-03-01,-1,-2,20,-1,0,2,1,0
2020-03-02,-2,-4,16,-3,0,-4,-3,0
2020-03-03,-5,-5,19,-5,0,-2,-3,0
2020-03-04,-5,-5,17,-6,0,2,-5,0
2020-03-05,-5,-8,7,-6,0,3,0,0
2020-03-06,-9,-15,25,-10,0,2,0,0
2020-03-07,-8,-10,24,-8,0,-4,-2,0
2020-03-08,-9,-13,21,-10,0,-7,-5,0
2020-03-09,-10,-14,18,-11,0,0,-7,0
2020-03-10,-11,-15,22,-12,0,-2,-6,0
2020-03-11,-12,-12,11,-13,0,-2,-9,0
2020-03-12,-15,-18,6,-16,0,-7,-7,0
2020-03-13,-20,-24,9,-21,0,-4,-11,0
2020-03-14,-17,-20,5,-18,0,-10,-13,0
2020-03-15,-15,-18,14,-16,0,-13,-8,0
2020-03-16,-17,-19,1,-18,0,-4,-7,0
2020-03-17,-22,-20,-1,-23,0,-12,-16,0
2020-03-18,-25,-24,-8,-27,0,-14,-23,0
2020-03-19,-31,-33,-15,-32,0,-22,-33,0
2020-03-20,-44,-46,-18,-45,0,-32,-42,0
2020-03-21,-42,-42,-18,-43,0,-32,-43,0
2020-03-22,-45,-44,-16,-45,0,-45,-53,0
2020-03-23,-46,-45,-18,-48,0,-28,-51,0
2020-03-24,-53,-48,-23,-54,0,-38,-57,0
2020-03-25,-60,-57,-34,-62,0,-50,-62,0
2020-03-26,-67,-67,-45,-68,0,-55,-67,0
2020-03-27,-84,-83,-66,-85,0,-86,-85,0
2020-03-28,-80,-77,-57,-82,0,-64,-82,0
2020-03-29,-69,-67,-40,-71,0,-67,-66,0
2020-03-30,-69,-67,-46,-71,0,-66,-65,0
2020-03-31,-69,-67,-44,-71,0,-62,-66,0
2020-04-01,-70,-67,-45,-72,0,-56,-68,0
2020-04-02,-71,-72,-50,-73,0,-71,-70,0
2020-04-03,-79,-82,-48,-80,0,-76,-78,0
2020-04-04,-72,-76,-45,-73,0,-62,-71,0
2020-04-05,-79,-71,-45,-82,0,-67,-71,0
2020-04-06,-78,-71,-50,-81,0,-57,-73,0
2020-04-07,-78,-70,-40,-80,0,-62,-71,0
2020-04-08,-78,-71,-47,-81,0,-60,-71,0
2020-04-09,-79,-75,-52,-81,0,-60,-71,0
2020-04-10,-84,-82,-56,-86,0,-74,-81,0
2020-04-11,-79,-76,-48,-81,0,-60,-73,0
