date,EC
2020-02-15,0
2020-02-16,0
2020-02-17,2
2020-02-18,2
2020-02-19,0
2020-02-20,0
2020-02-21,1
2020-02-22,0
2020-02-23,-2
2020-02-24,-18
2020-02-25,-24
2020-02-26,-5
2020-02-27,-1
2020-02-28,0
2020-02-29,10
2020-03-01,5
2020-03-02,6
2020-03-03,5
2020-03-04,2
2020-03-05,2
2020-03-06,1
2020-03-07,1
2020-03-08,3
2020-03-09,0
2020-03-10,2
2020-03-11,-1
2020-03-12,9
2020-03-13,1
2020-03-14,5
2020-03-15,-2
2020-03-16,23
2020-03-17,-32
2020-03-18,-60
2020-03-19,-60
2020-03-20,-60
2020-03-21,-64
2020-03-22,-61
2020-03-23,-64
2020-03-24,-63
2020-03-25,-69
2020-03-26,-68
2020-03-27,-67
2020-03-28,-68
2020-03-29,-66
2020-03-30,-63
2020-03-31,-64
2020-04-01,-62
2020-04-02,-64
2020-04-03,-62
2020-04-04,-63
2020-04-05,-64
2020-04-06,-66
2020-04-07,-63
2020-04-08,-63
2020-04-09,-61
2020-04-10,-63
2020-04-11,-83
