date,TH
2020-02-15,-8
2020-02-16,-5
2020-02-17,-3
2020-02-18,-5
2020-02-19,-3
2020-02-20,-3
2020-02-21,-4
2020-02-22,-12
2020-02-23,-7
2020-02-24,-6
2020-02-25,-6
2020-02-26,-6
2020-02-27,-7
2020-02-28,-7
2020-02-29,-14
2020-03-01,-9
2020-03-02,-7
2020-03-03,-8
2020-03-04,-9
2020-03-05,-8
2020-03-06,-9
2020-03-07,-16
2020-03-08,-11
2020-03-09,-8
2020-03-10,-8
2020-03-11,-8
2020-03-12,-9
2020-03-13,-12
2020-03-14,-21
2020-03-15,-22
2020-03-16,-14
2020-03-17,-15
2020-03-18,-16
2020-03-19,-18
2020-03-20,-24
2020-03-21,-35
2020-03-22,-35
2020-03-23,-29
2020-03-24,-32
2020-03-25,-34
2020-03-26,-40
2020-03-27,-44
2020-03-28,-55
2020-03-29,-54
2020-03-30,-42
2020-03-31,-42
2020-04-01,-41
2020-04-02,-44
2020-04-03,-48
2020-04-04,-58
2020-04-05,-57
2020-04-06,-49
2020-04-07,-45
2020-04-08,-45
2020-04-09,-45
2020-04-10,-48
2020-04-11,-57
