date,PG
2020-02-15,-3
2020-02-16,2
2020-02-17,-4
2020-02-18,-4
2020-02-19,-3
2020-02-20,-1
2020-02-21,-6
2020-02-22,-7
2020-02-23,0
2020-02-24,-6
2020-02-25,-2
2020-02-26,-3
2020-02-27,0
2020-02-28,5
2020-02-29,1
2020-03-01,-1
2020-03-02,-6
2020-03-03,-3
2020-03-04,-3
2020-03-05,-4
2020-03-06,-2
2020-03-07,-3
2020-03-08,-6
2020-03-09,-7
2020-03-10,-1
2020-03-11,-5
2020-03-12,3
2020-03-13,-1
2020-03-14,0
2020-03-15,-8
2020-03-16,-8
2020-03-17,-2
2020-03-18,-7
2020-03-19,-13
2020-03-20,-10
2020-03-21,-9
2020-03-22,-18
2020-03-23,4
2020-03-24,-40
2020-03-25,-44
2020-03-26,-40
2020-03-27,-45
2020-03-28,-44
2020-03-29,-46
2020-03-30,-46
2020-03-31,-48
2020-04-01,-48
2020-04-02,-48
2020-04-03,-41
2020-04-04,-44
2020-04-05,-42
2020-04-06,-37
2020-04-07,-28
2020-04-08,-31
2020-04-09,-24
2020-04-10,-38
2020-04-11,-40
