date,total,Antofagasta,Araucania,Arica y Parinacota,Atacama,Aysén,Bio Bio,Coquimbo,Los Lagos,Maule,O'Higgins,Santiago Metropolitan Region,Tarapacá,Valparaíso,Ñuble
2020-02-29,-7.927123705525623,-7.617320608482775,-11.264395571534271,-17.94170458747426,-0.18733681704765037,-5.5205609256537205,-4.422693540872683,-18.257704854681894,5.475588834722873,-7.04865622565847,-6.169606446837432,-1.3636489220662786,0.7031164080411028,-17.506573141128676,-6.426384214197694
2020-03-01,-14.837825787620085,-12.546568318271929,-18.898896357222718,-23.61950751223147,-11.644512459650635,-13.603411588144272,-19.22111794925983,-33.75531117656839,-15.367193219340434,-13.74901685294288,-10.197506793469781,1.4895389916862098,-12.094751727420931,-29.408617424112744,-16.990474791458904
2020-03-02,-14.663329353850651,-15.215543008093835,-18.86815082171529,-25.312067147338052,-24.952117070642657,-4.418573519045796,-20.277055161440504,-38.400449070448914,-15.188504926092289,-10.051503083463558,-14.240718711864094,3.6921347135860763,-18.608636706548314,-25.97640895628797,-10.103276499626377
2020-03-03,-14.509740326892304,-17.791891384887936,-20.559155274623876,-28.037908679186707,-21.654606770569217,0.7291853566949893,-16.292422529244224,-40.85312042728003,-14.268984627863999,-14.719818672720303,-19.020800021303057,3.4201737234911103,-25.271957870490972,-27.82052320877038,-10.717053914096155
2020-03-04,-15.78670040443082,-19.564205168182912,-29.13908127716576,-29.399398306749895,-22.022589804055674,-4.77495682582785,-19.3167644358704,-41.867919224428626,-21.237828064541638,-17.173282141929842,-19.2399468921462,7.288170137385945,-25.072709624070605,-26.10441897485799,-15.098154769104584
2020-03-05,-15.335582895930123,-17.77947754912132,-29.86640535151338,-36.05323759380363,-18.508112884238272,-0.6886214030775196,-16.475107318670414,-43.48600771484883,-21.192431579229947,-18.547221684687187,-17.457105755112213,8.778670121970018,-23.553441745115308,-26.975464589939712,-5.190171083173138
2020-03-06,-12.539619300463233,-14.150817863495831,-21.982097089827075,-27.124842404780278,-14.791006345981577,-11.497949233713705,-17.116895243827326,-34.039609035218746,-26.61972628064251,-15.641551223113536,-8.913248711934829,10.493081451755952,-17.188035026541563,-24.027384237458698,-10.89503012362109
2020-03-07,-19.723725933164175,-15.14678945615567,-28.647152709046896,-25.400797725728648,-24.93778006933799,-24.84445578228067,-23.90014407424884,-40.321146129059684,-22.253936629390545,-23.101042312047486,-12.500941370410636,7.367932547908497,-19.20733937007105,-34.20466195444669,-17.873621604128587
2020-03-08,-8.409602324242945,-12.30020142382683,-31.163482630733036,-28.161940670485386,-26.20039198423567,-21.196597381966793,-25.254498324654488,-40.02913849797135,-29.176417698090287,-24.487489707785112,-17.816927691518426,49.21340729241451,5.11723140566154,-32.67816654503276,-24.89069442723607
2020-03-09,-13.49573109655473,-18.23401492026809,-21.944625968427392,-19.451078512355103,-19.764034198527114,-7.477288783486897,-15.941399923383441,-44.77353971199083,-19.040444998922563,-18.063263988603893,-20.833307328625853,17.085492731089758,-27.23857637963046,-29.530852554626975,-14.471870918289808
2020-03-10,-17.181063612523882,-18.98648434981359,-31.41713329866932,-36.549365558998346,-24.24291340610512,-6.560736593415977,-19.603703895702104,-48.081995809437274,-25.171868163999438,-18.832015875622883,-21.7874096440434,7.0565708490011865,-28.658220135375576,-29.806122218619652,-15.171269320044557
2020-03-11,-19.217927514542183,-17.795711026662275,-36.068356342152555,-27.838503400868063,-24.08807379201472,-10.230808587377512,-20.60416614564865,-46.42343101371768,-30.44558752148522,-19.495894226114878,-23.967394673653402,9.93090060650664,-28.111245381981202,-34.754238801089414,-19.775561962132905
