date,total,Abu Dhabi,Ajman,Ras al Khaimah,Sharjah,Umm Al Quawain
2020-02-29,7.2342854558618885,10.267891309524174,5.710223500093367,9.261514134002239,3.3747112860273494,12.727307239664398
2020-03-01,10.23618178188416,12.20123533014651,7.027602075381043,6.51449635395822,7.298355486662838,10.083271260615087
2020-03-02,6.841255299372672,9.437164900663092,5.545907354797933,3.4198167871350127,4.119826410667263,7.102471694185934
2020-03-03,6.192795081422656,7.178304076568576,4.98457300873087,3.4305894058802835,4.543315892899313,2.334763296761702
2020-03-04,6.821485170776634,8.76543369349796,3.6538971731302703,5.11601457502672,4.203769760152011,7.902653395977685
2020-03-05,6.081291556141006,7.376812878686004,4.516319484854285,4.625370757628484,3.801030319365629,10.72243480400948
2020-03-06,5.148141486408056,8.260224088109057,5.924879273716305,5.504808178833307,2.8559602498856385,12.587889078125222
2020-03-07,5.917594891365819,8.13603848678441,5.027314202593844,4.295336892432465,2.729573633807476,11.818143735542728
2020-03-08,7.54428107224775,8.966764895645493,4.298814298307149,4.885872265468665,6.280660272123008,8.162835176314882
2020-03-09,4.386596132888707,6.719193671671399,6.367488081275106,3.4198167871350127,1.510037107023417,8.523162396630921
2020-03-10,5.508748631999772,6.857491273146573,7.615530942073956,3.4305894058802835,3.3643362653045155,7.005271708324114
2020-03-11,5.433622143334832,6.44448006874112,3.8609545122886795,6.01895589167577,2.5711187718587354,10.227598512349305
2020-03-12,5.59810961325386,7.173600076518401,6.042655007916501,3.0006639850463,3.559575291634214,7.010180798519155
2020-03-13,2.5440201477380517,6.470822469022107,4.831654515132229,4.036794042545969,-0.7205923483859406,7.867307946573388
2020-03-14,3.9413728369059524,5.238374455875994,4.096505980689071,7.113845687786006,0.7922743097437042,9.09065322317771
2020-03-15,10.803189070018503,9.236774498525595,8.666014506795058,5.626244971961812,8.14061853261656,10.083271260615087
2020-03-16,8.021927379128007,6.373920067988481,7.12068289757152,3.5686747916151167,5.148839829632001,9.469634986234908
2020-03-17,4.78278950995329,3.305030435253658,5.331251581174996,0.14885800448010364,3.606734476738006,8.872689618517873
2020-03-18,1.8267598822738265,2.2466304239640578,1.8616164438095475,-1.9557199667550462,-0.9384677835654591,1.8595633658816917
2020-03-19,-1.2629158147148487,0.22579200240844802,-1.5263355230622158,-5.750619752020846,-3.318120263902799,-3.2989086110678376
2020-03-20,-10.713037283620574,-5.5761216594786305,-7.0750922907843465,-10.518972540268377,-14.364687782615018,-9.44018044506466
2020-03-21,-11.987815175493045,-5.656089660331623,-10.489638778281961,-7.248013757613468,-14.496733500905634,-3.636654016486688
2020-03-22,-12.420385589174336,-8.72215689303634,-13.169036731336417,-22.209222536840727,-13.333787996246127,-12.963925387065396
2020-03-23,13.94110388078151,14.476089754411625,12.803362072730971,7.138328912207076,14.69291571093741,9.942871281036902
2020-03-24,-5.744408564864535,-2.910835231048909,-5.0539087232196955,-6.114930131406363,-5.895841321676066,-6.53792632175617
2020-03-25,-18.157676907744296,-17.03694738172744,-17.098377153805853,-14.143469083563533,-17.857297031401846,-13.481343493622761
2020-03-26,-13.053820509391365,-10.512499312133325,-16.662416976403517,-20.12716913207296,-13.845936746473306,-11.13479838039296
2020-03-27,-59.58163195244887,-53.82975417418404,-59.36276925413098,-57.48954892760214,-62.2548402555157,-60.18348215512986
2020-03-28,-46.56972411568111,-40.56259243266766,-45.43483888064976,-41.07403661776334,-50.00477033295473,-39.5456669751757
2020-03-29,-25.443364697955882,-23.86339225454285,-26.201301642311314,-26.650479446822768,-24.562389969458984,-18.246106436929967
2020-03-30,-26.725259836122927,-23.443795450067153,-27.592764953628144,-26.76701959506706,-26.193154590348108,-22.253887672161788
2020-03-31,-25.25989790458466,-22.42208663916892,-24.301693026179123,-23.564613840791147,-24.414310128233076,-21.014833306933333
2020-04-01,-24.214453504426217,-21.234797026504502,-24.06234234054647,-21.515857621236034,-24.249252980369803,-18.130251908326994
2020-04-02,-25.11597136840551,-20.529197018978103,-24.65786964170391,-24.628165109642413,-24.1322982013124,-18.969706331679077
2020-04-03,-38.08675733769351,-32.88096035073025,-36.12390724867782,-34.24909297814595,-40.51351273896556,-36.97526734905201
2020-04-04,-26.646179321738778,-22.297901037844277,-25.13752081727729,-22.14752481129963,-25.706471800076972,-15.454797752029414
2020-04-05,-29.227367311237384,-18.301382595214747,-19.651451133887523,-17.914864973385104,-18.737287425438605,-11.523598323840242
2020-04-06,-31.95801747292202,-20.67690262055363,-25.812831680312282,-19.48081200735672,-24.99153855390349,-17.045342975222837
2020-04-07,-29.275606425011713,-18.919488201807873,-24.301693026179123,-19.238917750076553,-21.431963262269274,-18.212724623603687
2020-04-08,-29.784884937645625,-20.518848218867713,-26.47579508734242,-18.506379675398147,-22.511908601146107,-19.06003359126784
2020-04-09,-30.66109703702199,-21.206573026203447,-26.549879823371572,-24.003353222416717,-23.860661295114557,-22.68097851913039
2020-04-10,-45.186605919102355,-33.75308196003287,-41.12842614787807,-33.393159452385355,-43.342120661491,-34.6149767832761
2020-04-11,-31.999930145545623,-20.9995970239957,-27.000087065394904,-19.9998563650834,-25.99980193142256,-15.00021599996858
