date,CM
2020-02-15,-1
2020-02-16,-4
2020-02-17,-1
2020-02-18,-3
2020-02-19,-5
2020-02-20,-5
2020-02-21,-4
2020-02-22,-6
2020-02-23,-9
2020-02-24,-5
2020-02-25,-3
2020-02-26,-2
2020-02-27,-2
2020-02-28,-2
2020-02-29,-2
2020-03-01,-2
2020-03-02,-1
2020-03-03,-3
2020-03-04,-1
2020-03-05,3
2020-03-06,-1
2020-03-07,-1
2020-03-08,11
2020-03-09,-4
2020-03-10,-5
2020-03-11,-4
2020-03-12,-6
2020-03-13,-5
2020-03-14,-8
2020-03-15,-7
2020-03-16,-5
2020-03-17,-4
2020-03-18,-11
2020-03-19,-15
2020-03-20,-19
2020-03-21,-19
2020-03-22,-23
2020-03-23,-16
2020-03-24,-23
2020-03-25,-19
2020-03-26,-20
2020-03-27,-20
2020-03-28,-24
2020-03-29,-26
2020-03-30,-20
2020-03-31,-20
2020-04-01,-24
2020-04-02,-25
2020-04-03,-27
2020-04-04,-27
2020-04-05,-27
2020-04-06,-23
2020-04-07,-23
2020-04-08,-27
2020-04-09,-26
2020-04-10,-32
2020-04-11,-31
