date,AF
2020-02-15,0
2020-02-16,1
2020-02-17,2
2020-02-18,3
2020-02-19,1
2020-02-20,-1
2020-02-21,4
2020-02-22,6
2020-02-23,2
2020-02-24,4
2020-02-25,1
2020-02-26,2
2020-02-27,1
2020-02-28,1
2020-02-29,0
2020-03-01,2
2020-03-02,3
2020-03-03,2
2020-03-04,1
2020-03-05,2
2020-03-06,8
2020-03-07,4
2020-03-08,4
2020-03-09,-4
2020-03-10,1
2020-03-11,2
2020-03-12,1
2020-03-13,6
2020-03-14,5
2020-03-15,5
2020-03-16,2
2020-03-17,3
2020-03-18,5
2020-03-19,5
2020-03-20,7
2020-03-21,1
2020-03-22,-2
2020-03-23,0
2020-03-24,-1
2020-03-25,-3
2020-03-26,-4
2020-03-27,-2
2020-03-28,-7
2020-03-29,-13
2020-03-30,-15
2020-03-31,-14
2020-04-01,-9
2020-04-02,-10
2020-04-03,-8
2020-04-04,-11
2020-04-05,-13
2020-04-06,-11
2020-04-07,-11
2020-04-08,-12
2020-04-09,-13
2020-04-10,-10
2020-04-11,-12
