date,AU,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia
2020-02-15,-2,28,1,10,-8,5,-14,-22,-1
2020-02-16,9,34,13,6,-9,15,-7,2,2
2020-02-17,-6,9,-17,21,-14,-3,-17,26,-7
2020-02-18,-13,-11,-11,5,-1,-13,-9,-27,-2
2020-02-19,-6,12,-2,13,-6,2,-17,-17,-3
2020-02-20,5,16,4,3,2,8,10,-2,-4
2020-02-21,-1,51,-2,-5,-5,9,-3,-4,-4
2020-02-22,10,160,-6,12,-6,23,4,23,1
2020-02-23,9,61,7,1,-23,27,-9,19,-2
2020-02-24,-10,5,-5,31,-29,-5,-20,9,-14
2020-02-25,-8,4,-4,21,-12,-1,-1,-9,-11
2020-02-26,-5,18,-3,5,-5,2,-19,-2,-20
2020-02-27,-2,18,4,-3,-10,5,-6,0,-28
2020-02-28,0,45,3,4,-4,10,-5,-2,-15
2020-02-29,18,87,13,18,1,29,-5,22,5
2020-03-01,20,69,27,13,5,5,-13,8,18
2020-03-02,-1,13,-7,16,-11,-12,-27,8,31
2020-03-03,-14,8,-27,4,-2,-13,-6,-5,-5
2020-03-04,-15,-36,-30,7,-9,0,-5,-11,-6
2020-03-05,-19,-31,-38,28,-1,5,-35,-28,-7
2020-03-06,-6,20,-11,12,-11,13,-3,-6,-8
2020-03-07,10,83,-1,13,-3,18,-11,18,3
2020-03-08,14,48,-1,-4,-7,44,-4,28,3
2020-03-09,5,76,-17,10,-43,54,-3,88,-9
2020-03-10,-11,1,-15,11,-25,-2,-7,0,-1
2020-03-11,-2,18,-5,15,-9,6,-3,6,-4
2020-03-12,2,17,4,19,-21,8,5,8,-6
2020-03-13,-8,31,-1,14,-13,-2,-30,-20,-8
2020-03-14,-15,13,-35,17,-8,-3,-21,-11,-21
2020-03-15,-8,47,-16,10,-6,9,-22,-14,-18
2020-03-16,-18,1,-34,12,-17,-12,-26,9,-16
2020-03-17,-21,-7,-26,7,-12,-19,-14,-10,-30
2020-03-18,-15,2,-13,5,-14,-11,-24,-17,-22
2020-03-19,-9,3,-3,5,-7,-14,-20,-19,-24
2020-03-20,-12,17,-3,10,-9,-21,-30,-24,-19
2020-03-21,-9,52,-9,5,-6,-18,-33,-18,-21
2020-03-22,-11,44,3,-1,-10,-15,-41,-36,-20
2020-03-23,-27,-7,-28,4,-30,-28,-44,-21,-24
2020-03-24,-30,-7,-33,-14,-26,-33,-36,-30,-19
2020-03-25,-33,-5,-41,-15,-23,-26,-43,-37,-27
2020-03-26,-23,8,-33,-11,-17,-18,-35,-23,-26
2020-03-27,-30,4,-30,-13,-35,-26,-46,-27,-35
2020-03-28,-34,25,-39,-21,-35,-33,-51,-32,-43
2020-03-29,-35,38,-27,-20,-33,-33,-70,-55,-37
2020-03-30,-35,-18,-38,-14,-34,-36,-66,-22,-38
2020-03-31,-35,-7,-35,-22,-28,-32,-63,-35,-33
2020-04-01,-36,0,-42,-20,-29,-37,-58,-34,-37
2020-04-02,-42,-43,-47,-18,-27,-20,-72,-59,-41
2020-04-03,-41,-21,-47,-21,-33,-44,-61,-43,-39
2020-04-04,-52,-31,-49,-20,-44,-60,-79,-74,-46
2020-04-05,-43,-7,-27,-22,-35,-48,-76,-75,-43
2020-04-06,-35,-6,-35,-13,-33,-31,-68,-34,-32
2020-04-07,-39,-11,-44,-19,-27,-35,-62,-46,-27
2020-04-08,-38,-18,-46,-16,-35,-24,-60,-41,-27
2020-04-09,-31,-11,-37,-15,-32,-20,-52,-32,-30
2020-04-10,-43,-26,-53,-27,-46,-28,-73,-41,-26
2020-04-11,-51,-22,-48,-19,-50,-48,-78,-73,-39
