date,NA
2020-02-15,2
2020-02-16,4
2020-02-17,-3
2020-02-18,-6
2020-02-19,-5
2020-02-20,1
2020-02-21,-7
2020-02-22,0
2020-02-23,1
2020-02-24,-3
2020-02-25,-1
2020-02-26,-2
2020-02-27,7
2020-02-28,9
2020-02-29,16
2020-03-01,19
2020-03-02,10
2020-03-03,9
2020-03-04,11
2020-03-05,8
2020-03-06,9
2020-03-07,7
2020-03-08,7
2020-03-09,0
2020-03-10,0
2020-03-11,2
2020-03-12,-3
2020-03-13,-5
2020-03-14,1
2020-03-15,-2
2020-03-16,-5
2020-03-17,-12
2020-03-18,-12
2020-03-19,-15
2020-03-20,-9
2020-03-21,-12
2020-03-22,-7
2020-03-23,-14
2020-03-24,-16
2020-03-25,-17
2020-03-26,-12
2020-03-27,-21
2020-03-28,-42
2020-03-29,-39
2020-03-30,-41
2020-03-31,-37
2020-04-01,-36
2020-04-02,-38
2020-04-03,-40
2020-04-04,-42
2020-04-05,-36
2020-04-06,-37
2020-04-07,-40
2020-04-08,-39
2020-04-09,-39
2020-04-10,-51
2020-04-11,-41
