date,ID,Aceh,Bali,Bangka Belitung Islands,Banten,Bengkulu,Central Java,Central Kalimantan,Central Sulawesi,East Java,East Kalimantan,East Nusa Tenggara,Gorontalo,Jakarta,Jambi,Lampung,Maluku,North Kalimantan,North Maluku,North Sulawesi,North Sumatra,Papua,Riau,Riau Islands,South East Sulawesi,South Kalimantan,South Sulawesi,South Sumatra,Special Region of Yogyakarta,West Java,West Kalimantan,West Nusa Tenggara,West Papua,West Sulawesi,West Sumatra
2020-02-15,5,3,3,6,7,4,3,3,10,4,14,9,8,6,4,5,5,6,4,7,0,9,3,5,1,7,8,4,5,5,4,1,12,19,3
2020-02-16,2,3,2,1,2,2,2,1,3,2,2,1,2,2,4,3,3,6,3,5,3,1,4,2,1,3,2,2,4,1,1,2,1,1,3
2020-02-17,3,8,-17,3,5,4,3,2,5,3,5,3,4,4,5,5,-1,3,5,10,4,5,5,3,2,5,2,4,4,2,3,2,5,3,6
2020-02-18,2,5,-40,3,4,3,3,3,1,4,4,2,4,3,4,3,1,2,6,7,3,4,5,4,1,4,0,4,5,3,4,1,6,2,6
2020-02-19,1,6,-53,3,3,4,1,0,0,3,4,1,2,3,3,2,-1,1,5,7,3,6,4,4,-1,4,1,2,4,2,3,-2,5,3,5
2020-02-20,1,6,-43,2,3,2,-3,3,0,3,6,0,1,2,2,3,0,2,5,6,3,6,4,4,0,4,1,2,3,2,5,0,6,-1,5
2020-02-21,5,5,-14,7,7,5,3,3,4,4,6,-2,4,6,6,6,1,3,4,6,4,6,4,5,2,5,3,5,5,5,6,3,6,3,6
2020-02-22,5,6,-8,7,7,4,4,4,10,4,14,8,8,6,4,7,5,9,6,7,4,10,4,5,2,10,7,5,5,5,5,3,9,19,7
2020-02-23,3,4,2,2,5,4,4,4,4,3,4,4,3,1,4,5,1,5,4,5,4,1,4,3,3,5,4,4,4,4,4,4,2,5,5
2020-02-24,4,9,-7,4,5,5,2,4,6,5,6,5,5,3,4,6,2,3,5,10,5,5,5,3,2,6,3,6,6,2,5,5,5,2,6
2020-02-25,-2,8,-8,3,-4,2,3,3,3,4,5,5,1,-24,3,5,3,3,5,7,5,5,5,5,3,4,3,5,7,-7,4,4,7,1,7
2020-02-26,3,8,-11,4,4,4,3,3,3,4,4,-1,1,3,4,3,2,2,4,9,4,6,5,4,3,5,3,5,6,2,2,4,0,1,8
2020-02-27,4,8,-9,2,3,4,3,3,1,5,6,3,2,4,4,5,2,3,6,8,5,7,6,6,3,4,3,6,7,4,7,5,5,-1,6
2020-02-28,5,8,-25,9,7,7,4,2,6,4,6,5,4,6,8,7,5,3,5,9,6,5,6,7,4,1,5,8,7,5,7,5,7,6,9
2020-02-29,6,9,-33,9,8,7,6,3,13,5,15,12,10,8,9,8,9,9,9,11,7,12,7,7,5,-4,12,7,7,7,9,2,12,24,10
2020-03-01,3,5,-10,5,4,2,2,-4,7,3,4,5,5,6,7,6,4,8,1,3,5,3,6,4,8,-21,6,6,2,4,3,-2,6,7,7
2020-03-02,5,10,1,6,6,3,4,2,6,5,4,1,2,6,7,6,2,4,4,4,6,6,6,4,5,-7,6,9,5,4,7,6,4,3,7
2020-03-03,5,9,0,6,4,2,4,3,5,5,4,6,4,5,7,5,4,2,6,4,6,7,7,5,4,3,5,8,6,5,5,6,10,2,7
2020-03-04,4,8,0,6,5,2,3,5,3,5,4,5,0,4,5,4,4,-1,7,7,6,9,6,4,3,6,4,7,5,4,6,1,8,2,8
2020-03-05,4,7,2,4,4,2,2,4,5,5,6,4,5,5,5,4,4,5,7,6,6,9,4,5,5,4,4,6,3,4,7,6,8,1,5
2020-03-06,6,7,2,9,8,4,4,6,0,4,4,4,3,8,7,6,3,5,4,7,6,8,6,6,4,6,2,8,5,6,9,5,8,0,7
2020-03-07,6,7,0,5,7,1,4,7,12,4,14,9,10,7,5,5,2,9,3,7,5,11,5,5,4,10,8,6,6,6,7,5,11,21,7
2020-03-08,4,4,0,1,5,1,2,6,6,3,5,3,5,6,4,3,2,4,3,7,4,2,5,4,5,5,4,3,3,4,5,1,6,6,3
2020-03-09,5,9,-4,4,6,3,2,6,7,5,6,5,7,5,6,1,3,5,7,11,6,8,6,4,4,6,6,7,4,4,5,5,6,3,6
2020-03-10,4,7,-4,1,4,1,2,5,5,5,5,5,5,4,5,0,3,1,8,7,6,6,7,5,5,4,5,6,5,4,6,4,9,3,4
2020-03-11,4,8,-2,2,5,1,1,6,6,5,5,5,5,4,4,0,5,4,7,8,6,9,5,4,3,6,5,4,5,3,6,5,8,2,7
2020-03-12,4,7,-1,2,4,3,1,4,6,5,6,4,6,3,3,0,4,6,5,7,6,9,4,6,4,5,5,4,6,3,7,5,6,2,4
2020-03-13,6,8,0,7,8,6,2,5,7,4,5,5,6,5,6,2,4,7,6,7,7,7,4,7,2,5,6,6,7,5,6,4,7,5,7
2020-03-14,5,9,0,6,6,4,3,7,13,5,14,10,11,5,6,8,5,11,7,9,6,12,5,6,2,10,7,5,7,6,6,2,8,16,7
2020-03-15,4,5,0,2,5,3,3,6,9,5,5,6,8,5,6,5,4,8,7,7,5,2,5,4,7,5,5,3,2,4,3,2,3,4,6
2020-03-16,-8,-3,-10,0,-8,2,-14,3,-1,-6,-1,3,3,-10,-3,-3,4,3,3,-4,1,4,-6,3,-3,3,-2,1,-8,-12,-10,-4,4,-1,2
2020-03-17,-13,-11,-18,-5,-13,-5,-19,1,-7,-13,-9,3,-1,-15,-8,-12,0,0,3,-13,-3,0,-11,-2,-10,-3,-10,-4,-10,-17,-11,-9,6,-5,-3
2020-03-18,-16,-11,-19,-7,-16,-15,-21,0,-8,-15,-13,1,-2,-19,-10,-16,-3,-3,1,-15,-8,-8,-13,-4,-10,-3,-17,-8,-13,-19,-15,-9,3,-8,-4
2020-03-19,-17,-12,-20,-9,-18,-18,-22,-7,-9,-16,-13,-1,-2,-21,-12,-18,-6,-3,0,-18,-11,-12,-14,-5,-11,-4,-18,-10,-16,-21,-15,-10,-7,-12,-7
2020-03-20,-18,-13,-20,-10,-18,-19,-22,-14,-11,-18,-16,-3,-5,-23,-11,-24,-13,-2,-5,-20,-13,-16,-16,-8,-18,-6,-21,-10,-18,-22,-17,-11,-14,-13,-13
2020-03-21,-11,-12,-18,-4,-7,-14,-13,-6,-3,-11,-7,-7,0,-10,-9,-14,-9,-3,-1,-1,-14,0,-10,-8,-15,1,-14,-6,-11,-10,-12,-12,-6,-6,-16
2020-03-22,-7,2,-15,-3,-9,-5,-5,-3,0,-6,-5,-2,0,-12,0,-2,-9,-2,-1,-10,-5,-5,-3,-9,-4,-1,-8,-1,-11,-7,-10,-3,-7,-5,-4
2020-03-23,-27,-16,-34,-15,-27,-23,-26,-21,-15,-25,-24,-22,-11,-34,-18,-29,-30,-15,-19,-27,-24,-23,-20,-16,-24,-14,-30,-14,-32,-29,-27,-17,-25,-27,-23
2020-03-24,-31,-21,-57,-20,-31,-27,-28,-24,-21,-28,-30,-28,-26,-40,-23,-32,-35,-22,-30,-32,-27,-29,-23,-18,-29,-22,-34,-21,-35,-33,-29,-25,-27,-31,-27
2020-03-25,-59,-44,-89,-52,-62,-54,-56,-51,-53,-56,-55,-55,-57,-69,-52,-53,-60,-52,-52,-57,-59,-51,-50,-55,-53,-51,-58,-53,-60,-60,-56,-57,-52,-53,-53
2020-03-26,-34,-24,-80,-24,-33,-28,-30,-26,-23,-29,-30,-31,-27,-43,-26,-32,-37,-20,-29,-32,-30,-28,-24,-19,-29,-26,-36,-27,-37,-34,-31,-27,-28,-32,-31
2020-03-27,-33,-25,-44,-22,-32,-26,-30,-27,-25,-30,-31,-30,-29,-44,-26,-35,-35,-21,-28,-31,-30,-30,-24,-20,-29,-28,-37,-27,-39,-34,-30,-28,-29,-31,-32
2020-03-28,-23,-22,-35,-12,-21,-19,-21,-15,-16,-22,-14,-17,-19,-31,-21,-20,-24,-21,-16,-11,-32,-16,-16,-18,-23,-16,-26,-20,-29,-22,-23,-26,-20,-15,-31
2020-03-29,-15,-10,-29,-7,-15,-9,-11,-9,-8,-13,-14,-8,-7,-26,-5,-6,-17,-14,-9,-15,-15,-18,-6,-17,-9,-9,-18,-8,-25,-16,-19,-12,-14,-13,-12
2020-03-30,-34,-29,-38,-25,-34,-28,-31,-25,-25,-30,-30,-29,-28,-45,-26,-33,-34,-22,-29,-32,-32,-31,-23,-19,-29,-26,-38,-28,-42,-36,-31,-26,-34,-36,-35
2020-03-31,-35,-30,-37,-27,-35,-33,-32,-26,-27,-31,-32,-28,-29,-47,-28,-33,-34,-25,-28,-33,-32,-32,-24,-20,-29,-28,-38,-30,-43,-37,-31,-28,-32,-34,-35
2020-04-01,-35,-29,-40,-29,-35,-30,-32,-24,-26,-31,-31,-25,-32,-47,-28,-34,-33,-24,-29,-33,-32,-30,-24,-21,-29,-26,-39,-30,-42,-37,-31,-27,-32,-35,-35
2020-04-02,-35,-29,-41,-30,-36,-32,-33,-26,-26,-32,-31,-27,-30,-47,-28,-34,-33,-27,-26,-33,-33,-30,-25,-21,-27,-28,-38,-30,-43,-37,-31,-29,-32,-34,-36
2020-04-03,-34,-28,-40,-26,-34,-31,-32,-26,-25,-31,-31,-25,-30,-46,-26,-32,-31,-27,-25,-31,-31,-30,-25,-23,-27,-28,-37,-29,-43,-36,-30,-29,-32,-31,-34
2020-04-04,-25,-22,-39,-19,-23,-25,-23,-16,-15,-23,-15,-15,-22,-34,-22,-20,-22,-22,-14,-15,-31,-15,-17,-20,-22,-16,-27,-24,-32,-26,-24,-29,-21,-15,-30
2020-04-05,-17,-4,-35,-13,-18,-11,-12,-9,-7,-13,-14,-7,-8,-28,-9,-7,-12,-13,-4,-16,-15,-18,-10,-20,-9,-9,-17,-14,-25,-17,-19,-14,-15,-10,-13
2020-04-06,-34,-24,-42,-27,-34,-31,-32,-27,-25,-31,-29,-25,-27,-44,-26,-33,-30,-28,-24,-32,-31,-31,-25,-21,-26,-27,-36,-29,-43,-37,-30,-28,-28,-31,-36
2020-04-07,-35,-24,-44,-29,-36,-33,-33,-28,-26,-32,-31,-26,-30,-46,-28,-34,-32,-29,-25,-34,-33,-31,-25,-22,-28,-29,-38,-31,-42,-37,-31,-30,-31,-32,-35
2020-04-08,-36,-25,-43,-29,-36,-31,-33,-27,-27,-32,-32,-29,-31,-46,-28,-34,-32,-30,-26,-35,-32,-30,-28,-22,-28,-29,-40,-31,-42,-37,-31,-29,-31,-33,-35
2020-04-09,-35,-24,-42,-29,-36,-32,-32,-29,-27,-31,-30,-35,-30,-45,-29,-34,-35,-29,-25,-36,-33,-30,-25,-22,-28,-33,-38,-33,-43,-37,-30,-29,-31,-34,-36
2020-04-10,-60,-43,-57,-52,-64,-55,-56,-51,-55,-56,-54,-63,-63,-73,-51,-52,-63,-51,-50,-65,-60,-57,-50,-59,-59,-52,-61,-53,-62,-62,-54,-53,-60,-53,-55
2020-04-11,-30,-19,-40,-20,-33,-25,-26,-20,-24,-28,-18,-32,-34,-43,-24,-23,-30,-24,-18,-29,-34,-21,-19,-25,-40,-22,-36,-27,-33,-31,-26,-31,-28,-22,-33
