date,ZW
2020-02-15,-1
2020-02-16,-6
2020-02-17,-1
2020-02-18,0
2020-02-19,-4
2020-02-20,-2
2020-02-21,-19
2020-02-22,1
2020-02-23,-3
2020-02-24,-8
2020-02-25,-5
2020-02-26,-2
2020-02-27,-3
2020-02-28,-5
2020-02-29,-1
2020-03-01,-4
2020-03-02,-5
2020-03-03,-8
2020-03-04,-3
2020-03-05,-2
2020-03-06,-5
2020-03-07,0
2020-03-08,1
2020-03-09,-2
2020-03-10,-1
2020-03-11,-3
2020-03-12,1
2020-03-13,-4
2020-03-14,7
2020-03-15,-3
2020-03-16,-3
2020-03-17,-7
2020-03-18,-10
2020-03-19,-9
2020-03-20,-11
2020-03-21,-6
2020-03-22,-11
2020-03-23,-9
2020-03-24,-13
2020-03-25,-16
2020-03-26,-19
2020-03-27,-32
2020-03-28,-14
2020-03-29,-4
2020-03-30,-51
2020-03-31,-51
2020-04-01,-47
2020-04-02,-53
2020-04-03,-55
2020-04-04,-52
2020-04-05,-47
2020-04-06,-48
2020-04-07,-49
2020-04-08,-51
2020-04-09,-47
2020-04-10,-53
2020-04-11,-48
