date,BB,Christ Church,Saint George,Saint James,Saint John,Saint Lucy,Saint Michael,Saint Peter,Saint Philip,Saint Thomas
2020-02-15,0,0,0,0,NA,NA,0,0,0,NA
2020-02-16,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-17,1,2,0,0,NA,NA,1,0,0,0
2020-02-18,1,2,0,0,NA,NA,1,0,0,0
2020-02-19,2,1,0,0,NA,NA,2,0,0,0
2020-02-20,0,0,0,0,NA,NA,0,0,0,0
2020-02-21,0,0,0,0,NA,NA,0,0,0,0
2020-02-22,0,0,0,0,NA,NA,0,0,0,NA
2020-02-23,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-24,1,2,0,0,NA,NA,1,0,0,0
2020-02-25,-1,0,0,0,NA,NA,0,0,0,0
2020-02-26,-1,-1,0,0,NA,NA,-1,0,0,0
2020-02-27,-1,0,0,0,NA,NA,-1,0,0,0
2020-02-28,-1,0,0,0,NA,NA,-1,0,0,0
2020-02-29,-1,0,0,0,NA,NA,0,0,0,NA
2020-03-01,-1,0,0,0,NA,NA,0,NA,0,NA
2020-03-02,1,2,0,0,NA,NA,0,0,0,0
2020-03-03,0,0,0,0,NA,NA,0,0,0,0
2020-03-04,-1,0,0,0,NA,NA,0,0,0,0
2020-03-05,0,0,0,0,NA,NA,0,0,0,0
2020-03-06,0,1,0,0,NA,NA,0,0,0,0
2020-03-07,0,0,0,0,NA,NA,0,0,0,NA
2020-03-08,0,0,0,0,NA,NA,0,NA,0,NA
2020-03-09,1,2,0,0,NA,NA,1,0,0,0
2020-03-10,0,0,0,0,NA,NA,1,0,0,0
2020-03-11,0,0,0,0,NA,NA,0,0,0,0
2020-03-12,0,1,0,0,NA,NA,0,0,0,0
2020-03-13,1,1,0,0,NA,NA,1,0,0,0
2020-03-14,2,0,0,0,NA,NA,0,0,0,NA
2020-03-15,2,0,0,0,NA,NA,0,NA,0,NA
2020-03-16,2,2,0,0,NA,NA,1,0,0,0
2020-03-17,2,2,0,0,NA,NA,2,0,0,0
2020-03-18,6,7,0,0,NA,NA,6,0,0,0
2020-03-19,8,9,0,0,NA,NA,7,0,0,0
2020-03-20,10,12,0,0,NA,NA,9,0,0,0
2020-03-21,9,0,0,0,NA,NA,0,0,0,NA
2020-03-22,8,0,0,0,NA,NA,0,0,0,NA
2020-03-23,13,14,0,0,NA,NA,11,0,0,0
2020-03-24,14,15,0,0,NA,NA,12,0,0,0
2020-03-25,14,15,0,0,0,NA,13,0,0,0
2020-03-26,15,17,0,0,0,NA,14,0,0,0
2020-03-27,16,17,0,0,NA,NA,14,0,0,0
2020-03-28,15,0,0,0,NA,NA,0,0,0,NA
2020-03-29,15,0,0,0,NA,NA,0,0,0,NA
2020-03-30,28,0,0,0,0,0,0,0,0,0
2020-03-31,28,0,0,0,0,0,0,0,0,0
2020-04-01,28,0,0,0,0,0,0,0,0,0
2020-04-02,29,0,0,0,0,0,0,0,0,0
2020-04-03,27,0,0,0,0,0,0,0,0,0
2020-04-04,0,0,0,0,NA,NA,0,0,0,NA
2020-04-05,0,0,0,0,NA,NA,0,NA,0,NA
2020-04-06,39,0,0,0,0,0,0,0,0,0
2020-04-07,37,0,0,0,NA,NA,0,0,0,0
2020-04-08,35,0,0,0,0,0,0,0,0,0
2020-04-09,33,0,0,0,0,0,0,0,0,0
2020-04-10,0,0,0,0,NA,NA,0,0,0,NA
2020-04-11,25,0,0,0,NA,NA,0,0,0,0
