date,ZM
2020-02-15,7
2020-02-16,2
2020-02-17,8
2020-02-18,6
2020-02-19,4
2020-02-20,1
2020-02-21,6
2020-02-22,5
2020-02-23,0
2020-02-24,5
2020-02-25,5
2020-02-26,6
2020-02-27,6
2020-02-28,8
2020-02-29,7
2020-03-01,7
2020-03-02,10
2020-03-03,10
2020-03-04,9
2020-03-05,10
2020-03-06,12
2020-03-07,10
2020-03-08,12
2020-03-09,-44
2020-03-10,10
2020-03-11,8
2020-03-12,-43
2020-03-13,9
2020-03-14,9
2020-03-15,7
2020-03-16,8
2020-03-17,8
2020-03-18,8
2020-03-19,5
2020-03-20,5
2020-03-21,4
2020-03-22,1
2020-03-23,-2
2020-03-24,-4
2020-03-25,-5
2020-03-26,-8
2020-03-27,-8
2020-03-28,0
2020-03-29,0
2020-03-30,-12
2020-03-31,-15
2020-04-01,-15
2020-04-02,-17
2020-04-03,-14
2020-04-04,-1
2020-04-05,-1
2020-04-06,-17
2020-04-07,-19
2020-04-08,-18
2020-04-09,-20
2020-04-10,-46
2020-04-11,-16
