date,FI,Central Finland,Central Ostrobothnia,Kainuu,Kymenlaakso,Lapland,North Karelia,Northern Ostrobothnia,Northern Savonia,Ostrobothnia,Päijänne Tavastia,Pirkanmaa,Satakunta,South Karelia,Southern Ostrobothnia,Southern Savonia,Southwest Finland,Tavastia Proper,Uusimaa
2020-02-15,-11,4,0,17,-17,39,15,26,17,-8,-10,-18,-32,-9,-10,20,-27,-14,-25
2020-02-16,-24,-5,0,4,-39,35,5,14,-5,-45,-21,-31,-33,-14,-30,16,-51,-26,-47
2020-02-17,10,5,0,0,-11,52,0,46,19,-2,0,-5,0,0,0,24,15,0,0
2020-02-18,22,26,0,0,0,70,0,49,25,0,0,13,0,0,0,37,41,0,2
2020-02-19,34,19,0,0,25,70,0,49,32,0,0,16,0,0,0,41,35,0,10
2020-02-20,30,31,0,0,19,54,0,47,49,0,0,14,0,0,0,54,32,0,12
2020-02-21,0,-4,0,7,-1,40,21,17,15,-7,7,-12,-20,6,-4,20,-5,6,-17
2020-02-22,-23,-11,0,4,-22,59,-13,12,1,-18,-26,-36,-12,-25,-19,-2,-24,-38,-43
2020-02-23,32,38,0,13,37,75,18,56,21,18,37,17,31,0,20,37,21,19,28
2020-02-24,24,14,0,0,11,76,0,57,7,4,0,21,4,0,0,34,15,0,21
2020-02-25,45,52,0,0,37,92,0,82,61,0,0,40,0,0,0,56,36,0,32
2020-02-26,40,41,0,0,20,76,0,76,58,0,0,40,0,0,0,66,7,0,1
2020-02-27,37,46,0,0,14,81,0,71,48,0,0,43,0,0,0,51,23,0,10
2020-02-28,37,45,0,0,22,65,31,56,49,0,0,39,22,6,0,35,25,0,19
2020-02-29,28,83,0,0,24,65,52,60,76,47,62,31,2,37,52,61,8,22,3
2020-03-01,-6,16,0,31,-19,54,16,43,23,-5,5,-10,-28,10,-5,17,-37,-21,-32
2020-03-02,15,4,0,0,-7,93,0,0,33,-9,0,-8,-11,0,0,2,1,0,2
2020-03-03,14,7,0,0,-14,122,0,0,41,0,0,-10,0,0,0,5,-8,0,-11
2020-03-04,12,6,0,0,-13,99,0,107,26,2,0,-9,-17,0,0,8,-22,0,-24
2020-03-05,8,3,0,0,-13,72,18,68,12,0,0,-1,-6,0,0,-1,11,0,-7
2020-03-06,27,14,0,0,5,81,31,63,23,25,0,11,10,0,0,12,29,0,24
2020-03-07,28,53,0,0,5,90,45,76,56,61,26,21,44,18,56,36,18,30,7
2020-03-08,41,54,0,0,53,46,74,36,72,-17,0,32,-12,0,23,68,3,31,45
2020-03-09,5,4,0,0,2,37,0,16,12,-13,0,-3,-7,0,0,24,-2,0,1
2020-03-10,-7,-13,0,0,-9,62,0,23,4,0,0,-13,0,0,0,-2,-14,0,-22
2020-03-11,1,-6,0,0,-12,47,0,31,10,0,0,-13,-17,0,0,11,-14,0,-23
2020-03-12,0,-6,0,0,-7,43,8,14,-5,-2,0,-4,4,0,0,-4,-5,0,-3
2020-03-13,-1,-5,0,0,1,25,3,-2,3,0,2,-10,-10,-15,-4,1,3,-11,-9
2020-03-14,18,24,0,19,13,65,5,56,29,61,22,25,10,-1,29,12,9,25,16
2020-03-15,25,46,0,15,38,40,53,18,40,-22,74,33,4,0,-14,53,-11,26,19
2020-03-16,11,15,0,0,-7,43,0,45,10,0,0,16,0,0,0,10,18,0,-4
2020-03-17,0,5,0,0,-2,32,0,13,16,0,0,-12,0,0,0,26,-6,0,-9
2020-03-18,32,35,0,0,8,69,0,76,50,0,0,33,0,0,0,51,9,0,-10
2020-03-19,45,32,0,0,35,47,0,62,51,0,0,41,0,0,0,38,58,0,37
2020-03-20,41,41,0,0,44,52,51,56,48,55,0,35,37,0,0,54,34,0,25
2020-03-21,42,85,0,0,48,83,81,111,98,112,78,31,56,40,56,71,29,39,2
2020-03-22,77,109,0,0,89,42,120,81,107,69,0,85,46,0,53,115,54,85,56
2020-03-23,33,39,0,0,34,34,0,84,69,0,0,30,0,0,0,0,22,0,8
2020-03-24,36,50,0,0,28,39,0,70,69,0,0,47,0,0,0,81,42,0,11
2020-03-25,45,44,0,0,48,19,0,36,51,0,0,56,0,0,0,75,41,0,15
2020-03-26,52,35,0,0,49,55,0,99,52,0,0,41,0,0,0,60,61,0,37
2020-03-27,46,44,0,0,56,20,56,53,60,48,0,58,62,0,0,62,49,0,27
2020-03-28,45,59,0,44,55,9,42,43,57,106,74,35,62,46,44,52,67,51,47
2020-03-29,48,60,0,0,65,40,61,73,47,70,84,42,34,0,50,59,15,43,39
2020-03-30,32,43,0,0,43,12,0,70,56,0,0,31,7,0,0,66,2,0,20
2020-03-31,-2,-2,0,0,20,-31,0,0,7,0,0,-7,0,0,0,40,0,0,-6
2020-04-01,38,15,0,0,33,-15,0,26,14,0,0,44,0,0,0,33,53,0,36
2020-04-02,14,7,0,0,7,-2,0,15,20,0,0,4,0,0,0,15,22,0,10
2020-04-03,0,-2,0,9,10,1,5,5,14,12,0,-4,-2,2,-17,19,-2,-2,-13
2020-04-04,45,44,0,0,48,59,36,71,51,72,56,31,64,35,16,35,60,43,53
2020-04-05,73,80,0,0,89,60,50,95,61,80,0,67,64,0,47,60,65,56,76
2020-04-06,48,26,0,0,25,0,0,51,32,0,0,70,0,0,0,42,80,0,58
2020-04-07,60,75,0,0,88,2,0,45,84,0,0,60,0,0,0,0,54,0,61
2020-04-08,78,61,0,0,0,7,0,65,54,0,0,85,0,0,0,0,85,0,71
2020-04-09,64,50,0,0,54,24,0,76,52,0,0,69,0,0,0,76,80,0,56
2020-04-10,124,77,0,0,84,114,0,158,106,0,0,99,0,0,0,118,125,0,130
2020-04-11,89,96,0,0,68,131,73,140,79,0,104,82,131,74,0,70,92,74,87
