date,NL,Drenthe,Flevoland,Friesland,Gelderland,Groningen,Limburg,North Brabant,North Holland,Overijssel,South Holland,Utrecht,Zeeland
2020-02-15,0,1,-1,0,2,-2,3,0,-2,-2,-1,-1,3
2020-02-16,-3,-2,-7,-4,-2,-8,-1,-2,-6,-3,-3,-3,0
2020-02-17,-5,-22,-19,-23,0,-22,3,4,-18,-21,2,1,3
2020-02-18,-5,-22,-18,-23,2,-21,3,3,-17,-20,3,2,4
2020-02-19,-5,-22,-18,-23,2,-21,4,4,-17,-20,3,1,4
2020-02-20,-6,-23,-20,-24,2,-23,1,3,-19,-22,2,0,4
2020-02-21,-9,-24,-21,-24,-1,-23,-6,-2,-19,-23,-2,-4,2
2020-02-22,-4,-4,-4,-4,-3,-5,-5,-5,-4,-3,-3,-3,0
2020-02-23,-3,0,-5,-1,-2,-3,-5,-3,-4,0,-3,-4,1
2020-02-24,-21,-4,-1,-4,-26,2,-57,-42,-1,-8,-21,-22,-24
2020-02-25,-17,3,1,4,-23,3,-48,-36,2,-2,-19,-20,-22
2020-02-26,-13,4,1,5,-20,4,-30,-25,2,2,-19,-20,-21
2020-02-27,-13,4,1,4,-21,4,-23,-21,1,2,-20,-21,-21
2020-02-28,-13,4,0,4,-21,4,-21,-21,2,2,-21,-21,-20
2020-02-29,-2,2,0,2,-3,0,-4,-3,0,1,-4,-4,1
2020-03-01,1,2,-2,3,1,0,0,-2,1,2,1,-1,4
2020-03-02,2,4,2,4,2,4,2,1,1,3,0,0,2
2020-03-03,2,3,1,3,3,3,2,2,2,3,2,1,4
2020-03-04,3,3,3,4,3,4,2,2,3,4,3,2,4
2020-03-05,2,4,2,3,2,4,1,1,1,3,2,1,3
2020-03-06,2,2,1,4,2,3,1,2,1,3,1,2,4
2020-03-07,0,3,2,3,1,0,2,-1,0,1,0,0,4
2020-03-08,0,2,-1,1,0,-2,-1,-2,-1,1,0,-1,1
2020-03-09,1,3,2,4,2,3,1,-3,1,3,1,0,2
2020-03-10,-1,2,0,2,1,2,0,-9,0,2,0,-1,2
2020-03-11,-2,2,0,3,-1,3,-1,-13,0,2,-1,-2,-6
2020-03-12,-3,2,-2,2,-1,2,-3,-17,-2,1,-1,-3,0
2020-03-13,-11,-5,-8,-5,-8,-9,-9,-19,-12,-6,-11,-14,-3
2020-03-14,-6,-1,-4,-3,-5,-6,-6,-8,-7,-5,-6,-7,-3
2020-03-15,-11,-6,-11,-9,-9,-12,-10,-14,-12,-9,-11,-12,-7
2020-03-16,-38,-32,-38,-33,-35,-39,-33,-37,-42,-34,-39,-46,-30
2020-03-17,-44,-40,-44,-40,-41,-47,-39,-42,-49,-41,-45,-52,-35
2020-03-18,-44,-39,-45,-40,-42,-47,-40,-42,-49,-41,-45,-52,-37
2020-03-19,-47,-42,-48,-43,-45,-49,-43,-45,-52,-45,-49,-55,-39
2020-03-20,-45,-39,-45,-40,-42,-47,-43,-43,-50,-42,-46,-52,-38
2020-03-21,-26,-20,-24,-19,-23,-27,-28,-25,-32,-24,-27,-28,-23
2020-03-22,-31,-24,-32,-25,-30,-29,-34,-31,-37,-30,-31,-33,-28
2020-03-23,-50,-44,-50,-44,-47,-51,-46,-47,-55,-47,-51,-57,-42
2020-03-24,-52,-47,-53,-47,-49,-54,-48,-48,-57,-50,-53,-60,-44
2020-03-25,-51,-46,-52,-45,-48,-52,-48,-48,-56,-48,-52,-58,-43
2020-03-26,-53,-47,-53,-47,-50,-54,-50,-50,-58,-50,-54,-60,-45
2020-03-27,-49,-45,-50,-43,-46,-50,-47,-47,-55,-47,-51,-56,-43
2020-03-28,-30,-23,-29,-22,-27,-29,-31,-29,-36,-28,-31,-33,-25
2020-03-29,-35,-29,-34,-28,-33,-33,-38,-34,-40,-34,-35,-36,-31
2020-03-30,-52,-47,-53,-47,-49,-54,-48,-49,-58,-50,-54,-60,-44
2020-03-31,-52,-47,-53,-47,-50,-53,-49,-49,-57,-50,-54,-60,-44
2020-04-01,-50,-46,-51,-45,-47,-52,-47,-47,-55,-48,-51,-57,-43
2020-04-02,-52,-47,-53,-47,-49,-53,-49,-49,-57,-49,-54,-59,-44
2020-04-03,-49,-44,-49,-43,-46,-50,-46,-46,-54,-46,-50,-55,-41
2020-04-04,-28,-21,-28,-21,-26,-28,-30,-27,-34,-25,-29,-30,-25
2020-04-05,-29,-22,-31,-24,-27,-26,-31,-28,-35,-27,-28,-31,-28
2020-04-06,-51,-45,-51,-45,-48,-52,-47,-47,-56,-48,-52,-58,-43
2020-04-07,-51,-46,-51,-46,-48,-52,-47,-47,-56,-48,-52,-58,-43
2020-04-08,-48,-43,-49,-43,-46,-50,-45,-45,-54,-46,-50,-56,-42
2020-04-09,-50,-45,-51,-45,-47,-51,-47,-47,-56,-48,-51,-58,-43
2020-04-10,-53,-52,-55,-50,-51,-57,-49,-48,-57,-55,-55,-59,-48
2020-04-11,-24,-18,-24,-17,-21,-24,-26,-23,-30,-21,-26,-25,-22
