date,MD
2020-02-15,2
2020-02-16,3
2020-02-17,0
2020-02-18,2
2020-02-19,6
2020-02-20,3
2020-02-21,0
2020-02-22,2
2020-02-23,5
2020-02-24,-10
2020-02-25,2
2020-02-26,6
2020-02-27,-2
2020-02-28,-1
2020-02-29,1
2020-03-01,3
2020-03-02,0
2020-03-03,4
2020-03-04,12
2020-03-05,7
2020-03-06,8
2020-03-07,19
2020-03-08,20
2020-03-09,0
2020-03-10,6
2020-03-11,10
2020-03-12,2
2020-03-13,-4
2020-03-14,-1
2020-03-15,-12
2020-03-16,-12
2020-03-17,-26
2020-03-18,-29
2020-03-19,-35
2020-03-20,-39
2020-03-21,-41
2020-03-22,-47
2020-03-23,-36
2020-03-24,-37
2020-03-25,-39
2020-03-26,-40
2020-03-27,-41
2020-03-28,-44
2020-03-29,-44
2020-03-30,-42
2020-03-31,-43
2020-04-01,-39
2020-04-02,-40
2020-04-03,-41
2020-04-04,-42
2020-04-05,-43
2020-04-06,-36
2020-04-07,-34
2020-04-08,-37
2020-04-09,-38
2020-04-10,-39
2020-04-11,-39
