date,BZ
2020-02-15,10
2020-02-16,8
2020-02-17,3
2020-02-18,4
2020-02-19,0
2020-02-20,3
2020-02-21,0
2020-02-22,0
2020-02-23,5
2020-02-24,3
2020-02-25,1
2020-02-26,1
2020-02-27,0
2020-02-28,8
2020-02-29,6
2020-03-01,4
2020-03-02,8
2020-03-03,1
2020-03-04,1
2020-03-05,4
2020-03-06,0
2020-03-07,-1
2020-03-08,2
2020-03-09,-21
2020-03-10,1
2020-03-11,0
2020-03-12,3
2020-03-13,5
2020-03-14,3
2020-03-15,-5
2020-03-16,-3
2020-03-17,-9
2020-03-18,-10
2020-03-19,-10
2020-03-20,-7
2020-03-21,-14
2020-03-22,-38
2020-03-23,-22
2020-03-24,-42
2020-03-25,-44
2020-03-26,-54
2020-03-27,-53
2020-03-28,-57
2020-03-29,-63
2020-03-30,-47
2020-03-31,-43
2020-04-01,-46
2020-04-02,-67
2020-04-03,-68
2020-04-04,-74
2020-04-05,-76
2020-04-06,-66
2020-04-07,-69
2020-04-08,-69
2020-04-09,-62
2020-04-10,-91
2020-04-11,-76
