date,PY
2020-02-15,-6
2020-02-16,-6
2020-02-17,-3
2020-02-18,-6
2020-02-19,-5
2020-02-20,-3
2020-02-21,-6
2020-02-22,-5
2020-02-23,-9
2020-02-24,-5
2020-02-25,-9
2020-02-26,-9
2020-02-27,-2
2020-02-28,-4
2020-02-29,-4
2020-03-01,-7
2020-03-02,-2
2020-03-03,-3
2020-03-04,-5
2020-03-05,-1
2020-03-06,-3
2020-03-07,-6
2020-03-08,-7
2020-03-09,-5
2020-03-10,-4
2020-03-11,-11
2020-03-12,-13
2020-03-13,-22
2020-03-14,-27
2020-03-15,-39
2020-03-16,-38
2020-03-17,-43
2020-03-18,-51
2020-03-19,-52
2020-03-20,-53
2020-03-21,-71
2020-03-22,-78
2020-03-23,-75
2020-03-24,-76
2020-03-25,-77
2020-03-26,-75
2020-03-27,-76
2020-03-28,-77
2020-03-29,-76
2020-03-30,-67
2020-03-31,-63
2020-04-01,-68
2020-04-02,-69
2020-04-03,-72
2020-04-04,-77
2020-04-05,-80
2020-04-06,-78
2020-04-07,-74
2020-04-08,-76
2020-04-09,-81
2020-04-10,-89
2020-04-11,-81
