date,AG
2020-02-15,-1
2020-02-16,-2
2020-02-17,-3
2020-02-18,-6
2020-02-19,-1
2020-02-20,-2
2020-02-21,1
2020-02-22,0
2020-02-23,3
2020-02-24,1
2020-02-25,0
2020-02-26,1
2020-02-27,1
2020-02-28,4
2020-02-29,7
2020-03-01,9
2020-03-02,8
2020-03-03,5
2020-03-04,4
2020-03-05,4
2020-03-06,8
2020-03-07,6
2020-03-08,2
2020-03-09,4
2020-03-10,4
2020-03-11,9
2020-03-12,14
2020-03-13,19
2020-03-14,2
2020-03-15,-2
2020-03-16,-5
2020-03-17,-7
2020-03-18,-9
2020-03-19,-3
2020-03-20,-2
2020-03-21,0
2020-03-22,-18
2020-03-23,-14
2020-03-24,-9
2020-03-25,-5
2020-03-26,-8
2020-03-27,2
2020-03-28,-7
2020-03-29,-21
2020-03-30,-15
2020-03-31,3
2020-04-01,15
2020-04-02,-75
2020-04-03,-68
2020-04-04,-63
2020-04-05,-55
2020-04-06,-59
2020-04-07,-53
2020-04-08,-50
2020-04-09,-34
2020-04-10,-95
2020-04-11,-45
