date,ZM
2020-02-15,-4
2020-02-16,-4
2020-02-17,-10
2020-02-18,-7
2020-02-19,-11
2020-02-20,-15
2020-02-21,-12
2020-02-22,-7
2020-02-23,-9
2020-02-24,-13
2020-02-25,-8
2020-02-26,-6
2020-02-27,-2
2020-02-28,-1
2020-02-29,9
2020-03-01,8
2020-03-02,6
2020-03-03,4
2020-03-04,4
2020-03-05,6
2020-03-06,3
2020-03-07,6
2020-03-08,4
2020-03-09,-5
2020-03-10,-1
2020-03-11,0
2020-03-12,-4
2020-03-13,-5
2020-03-14,-6
2020-03-15,-6
2020-03-16,-7
2020-03-17,-4
2020-03-18,-3
2020-03-19,0
2020-03-20,-3
2020-03-21,-6
2020-03-22,-9
2020-03-23,-6
2020-03-24,-2
2020-03-25,0
2020-03-26,2
2020-03-27,-6
2020-03-28,-1
2020-03-29,-8
2020-03-30,-3
2020-03-31,1
2020-04-01,2
2020-04-02,1
2020-04-03,-5
2020-04-04,-8
2020-04-05,-12
2020-04-06,-9
2020-04-07,-9
2020-04-08,-9
2020-04-09,-4
2020-04-10,-17
2020-04-11,-16
