date,NA
2020-02-15,-8
2020-02-16,-10
2020-02-17,-14
2020-02-18,-14
2020-02-19,-14
2020-02-20,-4
2020-02-21,-4
2020-02-22,-3
2020-02-23,-5
2020-02-24,-11
2020-02-25,0
2020-02-26,-2
2020-02-27,3
2020-02-28,13
2020-02-29,18
2020-03-01,24
2020-03-02,10
2020-03-03,5
2020-03-04,4
2020-03-05,4
2020-03-06,4
2020-03-07,3
2020-03-08,1
2020-03-09,-8
2020-03-10,-7
2020-03-11,-8
2020-03-12,-7
2020-03-13,-4
2020-03-14,-2
2020-03-15,-5
2020-03-16,0
2020-03-17,-11
2020-03-18,-12
2020-03-19,-13
2020-03-20,2
2020-03-21,-15
2020-03-22,-15
2020-03-23,-10
2020-03-24,-4
2020-03-25,13
2020-03-26,18
2020-03-27,13
2020-03-28,-32
2020-03-29,-42
2020-03-30,-31
2020-03-31,-23
2020-04-01,-25
2020-04-02,-27
2020-04-03,-30
2020-04-04,-34
2020-04-05,-42
2020-04-06,-33
2020-04-07,-31
2020-04-08,-34
2020-04-09,-25
2020-04-10,-61
2020-04-11,-32
