date,FI,Central Finland,Central Ostrobothnia,Kainuu,Kymenlaakso,Lapland,North Karelia,Northern Ostrobothnia,Northern Savonia,Ostrobothnia,Päijänne Tavastia,Pirkanmaa,Satakunta,South Karelia,Southern Ostrobothnia,Southern Savonia,Southwest Finland,Tavastia Proper,Uusimaa
2020-02-15,0,2,22,14,2,21,3,5,3,2,1,1,-1,4,1,7,-4,-1,-3
2020-02-16,-2,1,13,16,-2,26,3,5,3,-2,-1,0,-6,5,0,6,-10,-3,-12
2020-02-17,2,4,11,16,5,20,7,7,6,6,2,4,2,2,5,10,-1,1,-4
2020-02-18,2,6,4,12,2,20,3,4,6,3,3,3,1,3,3,4,-2,1,-5
2020-02-19,1,3,13,10,3,17,4,3,3,-2,1,3,-1,4,3,6,-3,-1,-4
2020-02-20,0,5,6,8,5,16,4,3,4,3,4,3,0,3,4,8,-3,0,-5
2020-02-21,-1,2,24,8,1,12,1,5,5,0,2,1,-4,0,6,6,-7,1,-8
2020-02-22,-3,2,24,20,-3,33,-2,9,6,-6,-5,-6,-3,-1,-3,0,-8,-8,-10
2020-02-23,6,3,9,12,2,36,3,9,6,0,3,1,3,9,0,7,5,0,5
2020-02-24,3,-2,3,19,4,28,2,5,4,2,-3,-2,3,9,0,1,3,2,2
2020-02-25,3,-1,-1,16,1,23,3,5,5,1,-3,-4,3,0,-2,0,2,1,4
2020-02-26,2,-2,6,14,-2,21,6,6,5,-2,-5,-3,4,-2,-2,2,1,0,4
2020-02-27,1,-2,0,14,-2,20,2,5,7,-3,-4,-3,3,-1,0,-1,1,-1,4
2020-02-28,1,-8,7,6,-3,17,3,5,4,-5,-6,-6,5,-6,-3,-1,3,-2,4
2020-02-29,1,-3,8,15,-1,27,0,4,0,-6,-3,-3,2,-2,-5,-1,2,-5,4
2020-03-01,-1,-5,7,9,-4,28,-6,0,-2,-2,-3,0,-4,0,0,1,-4,-4,-4
2020-03-02,5,1,14,22,7,26,0,3,1,5,4,6,5,4,6,8,4,6,4
2020-03-03,3,5,2,14,3,23,-6,-1,1,5,0,1,3,2,2,3,1,3,2
2020-03-04,-1,2,10,15,-3,21,-3,1,0,-1,-1,-1,-3,-1,1,3,-5,-2,-3
2020-03-05,3,7,5,12,5,19,-6,-1,0,3,2,4,4,2,2,3,2,4,4
2020-03-06,3,6,18,4,5,11,-5,-6,-3,2,3,3,4,3,4,4,2,5,3
2020-03-07,4,9,21,9,7,23,-2,0,-1,5,0,5,3,4,4,6,4,3,4
2020-03-08,8,11,7,14,11,27,9,6,10,2,9,7,4,13,4,10,4,5,7
2020-03-09,3,3,7,12,7,17,1,4,3,3,1,2,2,5,2,3,1,1,1
2020-03-10,1,2,2,5,2,16,1,1,2,3,-2,0,0,0,-1,1,2,-1,0
2020-03-11,1,2,9,4,-1,14,2,3,2,0,-4,0,0,-5,-1,2,0,-1,0
2020-03-12,11,8,12,14,11,23,11,12,12,14,6,9,12,8,10,9,11,10,15
2020-03-13,15,12,36,13,14,18,14,12,14,18,13,11,15,13,15,15,14,15,18
2020-03-14,0,-2,18,7,2,21,-1,-2,1,2,-3,-4,-3,1,-4,3,-2,-6,2
2020-03-15,-4,-6,-3,0,-2,16,0,-10,0,-9,-3,-6,-8,2,-11,4,-8,-6,-5
2020-03-16,5,2,14,12,8,19,7,3,8,11,3,3,6,8,6,9,3,5,4
2020-03-17,1,-4,-2,8,4,17,5,-2,3,4,0,-4,-3,4,0,3,-1,-1,0
2020-03-18,-10,-14,-1,-7,-11,5,-10,-10,-7,-8,-14,-12,-11,-12,-12,-8,-12,-11,-10
2020-03-19,-12,-17,-14,-6,-10,-1,-12,-13,-10,-9,-13,-13,-13,-15,-15,-12,-12,-12,-11
2020-03-20,-13,-17,-2,-13,-12,-11,-13,-15,-11,-11,-14,-14,-14,-16,-13,-11,-14,-13,-12
2020-03-21,-15,-15,-4,-10,-12,-8,-16,-15,-12,-13,-16,-16,-14,-19,-17,-12,-16,-17,-14
2020-03-22,-15,-17,-11,-12,-16,-15,-15,-19,-12,-17,-14,-16,-18,-18,-18,-10,-15,-15,-14
2020-03-23,-16,-19,-11,-11,-11,-14,-14,-17,-12,-12,-16,-15,-15,-16,-16,-13,-17,-14,-16
2020-03-24,-15,-16,-18,-16,-12,-14,-17,-17,-12,-12,-17,-16,-17,-18,-17,-12,-15,-15,-14
2020-03-25,-16,-19,-14,-14,-14,-18,-17,-19,-15,-14,-19,-16,-16,-19,-17,-14,-16,-14,-14
2020-03-26,-15,-19,-14,-12,-10,-18,-16,-16,-12,-11,-14,-14,-14,-16,-16,-13,-13,-12,-12
