date,total,Maldonado Department,Montevideo Department,Salto Department,San José Department,Soriano Department,Tacuarembó Department
2020-02-29,1.4042870558722258,-24.79617391150836,10.890302659600286,8.86909847069334,14.236890337051923,26.843428038777613,-4.313103872204655
2020-03-01,-11.285800384843606,-37.70402138886902,-1.079494099007664,-1.6539382233807427,-3.907091215092331,17.026198463490136,-20.922530536706603
2020-03-02,3.9955789297453297,-35.2738906459043,12.402738738245299,13.98778550160119,14.225350810942864,63.34589511297619,7.157203470672421
2020-03-03,2.641991062709752,-36.2597799864665,12.185314131731388,19.024162960502384,18.81615894799696,68.76015466197897,2.4866706394959075
2020-03-04,4.600750199668489,-31.826160671306667,13.22475632953912,20.015751216206063,25.850461738644366,68.86749824260268,2.065038623550551
2020-03-05,0.5335486063285305,-37.43304595608292,12.90529473663491,13.339960752513532,11.101024116915056,41.899777636787086,0.6794024984210397
2020-03-06,4.575802979764743,-32.400782333739606,14.443478466051307,15.384143181996405,19.13926567905062,42.56455454836899,6.398265841970779
2020-03-07,7.342530141993231,-35.04327325629911,25.811543089965056,19.478318128397916,18.559404492070392,45.42893325238055,7.702450327656302
2020-03-08,2.095566471914771,-38.06147834275707,21.715759383924492,18.898277732727504,4.972574125828808,52.558806870649946,-6.538171010898103
2020-03-09,2.058548016573727,-40.17547108080468,11.971703991998423,15.366712919689114,19.855677924988054,36.78118373967767,3.390304710033341
2020-03-10,-0.6969126592466175,-43.07548475508998,12.435161705883337,8.91751586599137,13.835891804762113,48.53624742832997,-3.5522497343396253
2020-03-11,-3.3485607103062067,-39.61430209943204,7.997029606252888,9.314538507435225,13.806081362313709,20.86985193810394,-9.63716632809647
2020-03-12,-5.008757957449131,-45.32496520953063,10.820688640848024,-2.1923396590948485,3.9647888456376283,47.61346927910863,-11.883315067587185
2020-03-13,-4.617649929280706,-43.44255076687824,7.105397996206806,0.5248445650306574,6.711196059593743,62.92217045261945,-11.837318847665873
2020-03-14,-29.741914619441673,-57.8465285593026,-21.10067661549698,-20.000257649710694,-20.593245968792093,64.01255524527079,-29.267969688679575
2020-03-15,-39.63469443482119,-63.77916090689618,-28.225146945608515,-49.60846322236267,-22.023185579139692,14.06577550313105,-50.999267092335906
2020-03-16,-30.1982073189715,-61.202011578058155,-25.5197363812227,-33.49224902346005,-10.669253515001088,16.34823900691935,-22.977028359858522
2020-03-17,-44.4567506175068,-68.37805601793974,-39.88597189495985,-44.98460197140071,-30.438384994171194,-24.269065324521335,-34.10140579874407
2020-03-18,-52.95650986342225,-71.39337838702765,-52.64727051061406,-45.183113292122634,-34.368555261481646,2.0866085496678544,-39.582622006033695
2020-03-19,-56.73802555141284,-75.72802440581525,-54.83868167626743,-50.8004994946002,-38.58817530869433,-32.37821371339298,-42.44013716864518
2020-03-20,-54.6247546008567,-73.91671699162447,-52.89902531815648,-49.123320921476406,-37.0351474198501,-44.41576050894977,-44.47067862725475
2020-03-21,-62.76076728559492,-80.29905324894818,-59.68686895484955,-55.99955940170278,-46.271576442976325,-28.909321160605806,-55.146592921907505
2020-03-22,-74.1704990209281,-86.83801715004542,-70.9033085242207,-68.74204949623862,-60.38634012870737,-89.5716267579893,-67.56269753691655
2020-03-23,-57.79627052474922,-76.45639099465164,-57.63945391017688,-52.01093437705098,-38.82281233957854,-38.82447821295351,-44.44768051729409
2020-03-24,-62.845265933656,-78.80100112230446,-61.57789086150343,-56.87494590869119,-44.27427679893331,-60.66983848023429,-51.50714202063372
