date,KW,Al Ahmadi Governorate,Al Asimah Governate,Al Farwaniyah Governorate,Al Jahra Governorate,Hawalli Governorate,Mubarak Al-Kabeer Governorate
2020-02-15,3,5,4,4,1,3,-5
2020-02-16,8,8,6,8,12,7,9
2020-02-17,7,7,6,8,9,6,10
2020-02-18,7,7,5,8,7,6,5
2020-02-19,6,7,5,8,10,5,2
2020-02-20,7,7,5,7,8,4,8
2020-02-21,3,4,3,5,1,2,0
2020-02-22,4,5,3,5,2,3,0
2020-02-23,4,5,0,7,7,1,-3
2020-02-24,2,5,-2,6,3,-1,-3
2020-02-25,-48,-43,-45,-51,-28,-56,-51
2020-02-26,-45,-41,-41,-43,-26,-53,-51
2020-02-27,-24,-18,-27,-18,-16,-33,-44
2020-02-28,0,1,1,3,0,-2,-2
2020-02-29,2,3,2,3,0,0,-2
2020-03-01,-1,1,-3,2,-1,-3,-6
2020-03-02,-1,1,-2,2,-2,-3,-3
2020-03-03,-1,0,-3,1,-3,-3,-9
2020-03-04,-1,1,-3,1,-1,-4,-10
2020-03-05,0,0,-1,2,-1,-3,-6
2020-03-06,0,1,1,3,-2,-3,-1
2020-03-07,2,4,2,3,1,0,-4
2020-03-08,-1,2,-2,2,-1,-3,-7
2020-03-09,-2,1,-4,1,-3,-4,-5
2020-03-10,-2,-1,-5,0,-3,-4,-10
2020-03-11,-2,0,-3,0,-3,-6,-12
2020-03-12,-18,-16,-20,-13,-12,-25,-32
2020-03-13,-9,-7,-8,-7,-5,-15,-7
2020-03-14,-13,-10,-13,-12,-7,-18,-15
2020-03-15,-28,-22,-32,-22,-19,-36,-43
2020-03-16,-32,-25,-37,-26,-22,-41,-41
2020-03-17,-33,-26,-40,-27,-24,-42,-45
2020-03-18,-35,-28,-42,-29,-25,-45,-48
2020-03-19,-33,-27,-39,-27,-23,-44,-42
2020-03-20,-24,-21,-28,-22,-12,-35,-19
2020-03-21,-25,-19,-29,-24,-15,-34,-21
2020-03-22,-59,-56,-59,-56,-41,-69,-61
2020-03-23,-41,-33,-47,-35,-31,-51,-50
2020-03-24,-41,-33,-48,-36,-33,-52,-54
2020-03-25,-42,-33,-48,-36,-31,-53,-53
2020-03-26,-41,-33,-47,-36,-31,-52,-50
2020-03-27,-36,-29,-40,-35,-23,-47,-32
2020-03-28,-34,-26,-40,-33,-24,-45,-33
2020-03-29,-42,-34,-50,-37,-32,-52,-52
2020-03-30,-44,-34,-51,-38,-35,-55,-53
2020-03-31,-44,-36,-52,-40,-34,-55,-57
2020-04-01,-46,-37,-51,-41,-34,-56,-55
2020-04-02,-46,-38,-52,-43,-34,-56,-55
2020-04-03,-38,-32,-43,-38,-25,-49,-35
2020-04-04,-40,-30,-45,-40,-27,-50,-35
2020-04-05,-48,-39,-54,-45,-35,-57,-54
2020-04-06,-49,-40,-56,-46,-36,-58,-54
2020-04-07,-56,-53,-57,-60,-38,-59,-56
2020-04-08,-56,-52,-57,-59,-38,-60,-58
2020-04-09,-55,-53,-56,-59,-37,-59,-55
2020-04-10,-44,-42,-46,-45,-26,-50,-34
2020-04-11,-48,-46,-47,-55,-29,-51,-34
