date,NE
2020-02-15,4
2020-02-16,4
2020-02-17,1
2020-02-18,3
2020-02-19,-1
2020-02-20,1
2020-02-21,2
2020-02-22,3
2020-02-23,8
2020-02-24,1
2020-02-25,3
2020-02-26,2
2020-02-27,8
2020-02-28,8
2020-02-29,10
2020-03-01,4
2020-03-02,3
2020-03-03,6
2020-03-04,3
2020-03-05,1
2020-03-06,-2
2020-03-07,3
2020-03-08,6
2020-03-09,4
2020-03-10,7
2020-03-11,7
2020-03-12,4
2020-03-13,1
2020-03-14,4
2020-03-15,2
2020-03-16,-3
2020-03-17,-1
2020-03-18,3
2020-03-19,0
2020-03-20,-4
2020-03-21,-11
2020-03-22,-23
2020-03-23,-24
2020-03-24,-22
2020-03-25,-22
2020-03-26,-29
2020-03-27,-29
2020-03-28,-30
2020-03-29,-25
2020-03-30,-28
2020-03-31,-24
2020-04-01,-32
2020-04-02,-31
2020-04-03,-35
2020-04-04,-33
2020-04-05,-30
2020-04-06,-34
2020-04-07,-29
2020-04-08,-31
2020-04-09,-30
2020-04-10,-32
2020-04-11,-35
