date,total,Administrative unit Maribor,Celje,Kranj,Ljubljana,Novo Mesto,Ptuj,Žalec
2020-02-29,0.20468220769019294,0.8977378517801954,-3.1227885980328374,2.5344344188618666,2.8255072749806676,-4.435020255966696,-5.487579480810579,-4.999795199999999
2020-03-01,-2.1991249794745533,-1.3715973388547524,NA,-2.754484322708213,-8.396769603470773,NA,4.885603353344872,-7.9222176
2020-03-02,2.5399933804704258,2.068449525729101,2.940577469407706,4.081539663886837,2.400162093800782,-0.8978518840972105,3.310384018189035,1.3689216
2020-03-03,2.4432931248687595,2.3606468565012415,0.6493694477597769,3.0266513090444835,3.286930842064204,-1.5012625893750553,2.6657557979560313,NA
2020-03-04,2.768044816597688,2.6499606609828676,3.29918447787206,3.264073573720805,3.4122557615189915,-1.2116641931020606,3.702007779052394,-3.1290336
2020-03-05,2.5762559763210504,0.9717483599034019,-0.3285615564038274,4.161645549936165,2.5064983890957535,3.0664499083622094,2.701622330510349,-1.574064
2020-03-06,2.5327408613003004,1.3081597604634323,1.0263914107128413,2.2342786289661922,2.7315135853895764,3.1826766894751173,1.7526132664380016,-2.7716255999999997
2020-03-07,3.6826680674967784,2.6941747307707575,3.1227885980328374,5.913358600291948,1.8162619008864305,-4.435020255966696,3.292935434784232,-1.6665983999999998
2020-03-08,3.325682957233961,-0.6853180817122904,1.7116215593190536,1.3772421613541066,0.9332908774549719,3.956553340385226,8.143641621319498,12.8735424
2020-03-09,0.9250991119226042,0.2758573484592249,0.32662314014185795,1.5036743429500337,0.14716183723857643,2.9938081701666426,0.3315230846912592,1.0266912
2020-03-10,0.5858423818534262,0.8333390979587038,-1.2987388955195538,-0.21618937921746312,0.3484412533326294,0.9007575536250332,NA,NA
2020-03-11,-0.029815912143847,1.255295111803999,-0.989561501735421,NA,-0.5516195318426639,-0.30315818740283373,NA,-0.3128544
2020-03-12,-2.787384867718021,-1.8050874578621057,-3.9466155093698676,-1.7526781815130046,-5.163006909054055,NA,-1.0129872032232918,0.3148128
2020-03-13,-13.581550899253982,-10.317257067461044,-12.320573761078034,-14.29841809422641,-17.700246010572776,-11.45802350471413,-9.115915463264916,-14.412844799999998
2020-03-14,-13.46953976984872,-13.468951302993444,-14.571075041224605,-11.82768233174112,-15.743468290903706,-11.087066361662101,-9.877836938607985,-25.3333728
2020-03-15,-23.117001937041593,-25.37310900566766,-22.24526502236179,-15.14869864373795,-23.325625917918362,-19.782766701926132,-17.914848328009242,-34.536384
2020-03-16,-44.084034857872815,-43.71714209049103,-42.474577132275314,-45.11119541965823,-51.53132824490952,-36.524265964731185,-39.72848568124727,-38.335679999999996
2020-03-17,-51.18908613820522,-52.21393289320723,-51.6161482237234,-52.5369145433152,-58.11468424111783,-46.24179342227953,-47.321527559570754,-40.9339872
2020-03-18,-53.42769705538378,-53.82582408960486,-51.799328560479516,-54.836822090972404,-59.660358247726876,-53.62703680549552,-48.804657148979025,-40.6749888
2020-03-19,-55.1723308335305,-56.240296770195705,-54.59064797771557,-56.071224841057834,-61.304773099966965,-56.119132703858114,-51.33179364544134,-40.611340799999994
2020-03-20,-55.58653026169098,-56.38255073386109,-55.783743186957786,-56.74585151995518,-60.76834446745215,-56.970493875510165,-51.89014831439504,-41.2987392
2020-03-21,-45.18158275895172,-46.69390239773221,-48.91884199519286,-46.46527443323903,-44.80745642991856,-46.56529129637712,-39.512317120176654,-43.3335168
2020-03-22,-48.862639155521805,-50.06089992962303,-46.201182395911644,-55.08775619184982,-46.650302404628725,-43.52208674423749,-47.2304071795679,-51.000163199999996
2020-03-23,-57.33438738169109,-58.88737390488806,-56.19759505888827,-58.43000538930551,-62.45453429284385,-59.576879441967115,-53.63306792338593,-42.10070399999999
2020-03-24,-58.419847750819784,-59.71206242397522,-58.1079042850592,-59.02356105099631,-63.44289218036229,-62.15614542616439,-54.320348236386224,-42.611846400000005
2020-03-25,-58.55442227319877,-60.24070891056955,-58.39769751622364,-58.75428945813171,-62.971974301198834,-61.20114870802,-54.52682314000973,-42.5521152
2020-03-26,-59.46340467585443,-61.5181110572675,-59.19438659989309,-59.35653130023749,-64.31162173567388,-61.331903836772014,-55.38471182407922,-43.444655999999995
2020-03-27,-57.170802782631604,-57.69071049432452,-55.44161271672017,-57.863473400016886,-61.818415383490006,-58.879518755289666,-52.94191014740679,-41.5758528
2020-03-28,-43.51108584343294,-43.55085874107136,-48.91884199519286,-46.46527443323903,-43.79821105582432,-46.56529129637712,-36.21938168539242,-41.6664288
2020-03-29,-44.94708463911768,-45.260789831346486,-39.3566345748974,-52.333271869141605,-43.22950176223782,-37.58677245540501,-37.45823110713344,-51.000163199999996
2020-03-30,-57.82675284979624,-59.16323125334728,-58.15733389973942,-58.00052202434224,-63.43434729949037,-58.07949107862916,-52.97099111974812,-42.785164800000004
2020-03-31,-57.30698897593728,-58.74031406407181,-57.4595040454304,-58.374992913343924,-62.595999542834484,-57.65235765803922,-52.320546705046844,-41.6052288
2020-04-01,-57.04589828581278,-58.288561611891204,-57.078605249953405,-57.23034736088003,-62.52099447740321,-56.95983975390814,-53.180374120605755,-41.30069759999999
2020-04-02,-57.24735715164959,-58.18475466543268,-56.892517288804335,-57.38573347719259,-62.35674287842079,-57.03926138766863,-53.020428772728394,-41.2409664
2020-04-03,-55.97252544863429,-56.67282571377289,-53.38882989529449,-57.41661767422365,-61.293379925471086,-55.06050043922138,-50.48747608179781,-41.2987392
2020-04-04,-44.636032150265656,-45.79616454595202,-43.7141943318048,-48.9997088521009,-45.816701804012794,-49.89131434922482,-37.3167037084056,-43.3335168
2020-04-05,-45.001075615161945,-43.88919249249173,-46.201182395911644,-48.201545385079285,-44.78467008092678,-35.60898006346704,-32.57262775378857,-51.000163199999996
2020-04-06,-55.36573134473384,-55.853904247266755,-53.91026386976428,-56.712071929452456,-61.6218831234359,-53.289979140268095,-50.32268390519689,NA
2020-04-07,-55.489830006089306,-56.101887508251004,-55.83608042603096,-57.294046017256605,-61.650366059675626,-53.44882240778906,-50.98766880606883,NA
2020-04-08,-55.42697483994822,-55.778932563713376,-54.76898227381676,-57.66562151278662,-61.41680598250989,-53.62703680549552,-51.49755518778697,NA
2020-04-09,-55.53334512111006,-56.240296770195705,-54.919209534119396,-56.94756393181434,-61.304773099966965,-53.052682795495905,-50.31880644221805,NA
2020-04-10,-56.670378959892986,-56.38255073386109,-54.757351776244946,-60.09775202898308,-61.293379925471086,-54.10550372107699,-52.94191014740679,NA
2020-04-11,-46.000311589712496,-43.999727666961455,-50.9997318524171,-48.9997088521009,-44.00043990312636,-51.00031155234381,-44.99989660098723,NA
