date,SE,Blekinge County,Dalarna County,Gavleborg County,Gotland County,Halland County,Jamtland County,Jonkoping County,Kalmar County,Kronoberg County,Norrbotten County,Örebro County,Östergötland County,Skåne County,Södermanland County,Stockholm County,Uppsala County,Varmland County,Västerbotten County,Västernorrland County,Västmanland County,Västra Götaland County
2020-02-15,0,-3,0,-1,-8,0,15,-3,-4,-3,0,-3,-3,-3,-4,0,-3,7,1,2,-1,-1
2020-02-16,-7,-10,4,-6,-9,-9,12,-9,-8,-10,-8,-9,-8,-10,-8,-6,-8,-4,-8,-7,-5,-11
2020-02-17,-3,-5,4,-3,1,-4,15,-4,-4,-5,1,-9,-8,-5,-6,-1,-6,0,2,-1,-5,-4
2020-02-18,0,-2,4,0,0,-3,16,1,0,-4,2,-2,-5,-3,-3,0,-3,1,2,-1,3,1
2020-02-19,1,-1,9,2,-3,0,18,1,-2,-1,0,-3,-2,-3,-2,1,-2,4,2,2,3,3
2020-02-20,1,-1,9,4,0,-4,19,4,2,1,5,-3,-5,-1,-3,0,-2,3,6,4,5,0
2020-02-21,0,-2,7,2,-1,-3,15,1,-2,-4,1,-5,-5,-2,-4,2,-5,2,1,0,2,1
2020-02-22,-1,-6,6,-2,-2,-4,19,-1,-7,-12,1,-6,-6,-6,-6,-3,-6,1,1,-1,-1,0
2020-02-23,0,-4,19,5,-3,-1,17,-2,-1,1,2,-1,-4,-3,1,-3,2,0,5,3,0,-2
2020-02-24,0,-1,9,2,3,1,14,-1,-1,1,1,-1,-2,0,-2,-4,1,1,3,2,-3,1
2020-02-25,9,11,20,14,9,4,27,4,6,8,17,11,8,7,11,3,13,10,20,14,10,4
2020-02-26,2,1,10,3,0,4,17,1,-3,-1,2,1,-2,2,0,-3,1,3,3,4,0,3
2020-02-27,4,5,15,8,0,7,17,6,5,7,8,4,-4,7,-3,-5,3,4,11,9,-1,7
2020-02-28,2,3,5,3,-3,0,9,2,1,2,4,1,-1,3,2,-4,3,-1,2,2,-2,3
2020-02-29,4,5,12,7,4,3,12,3,0,4,4,4,1,2,4,-3,2,4,3,8,2,3
2020-03-01,-2,1,-5,-8,-2,-1,3,-2,-1,0,3,-6,-5,2,-1,-4,-5,-4,2,-3,-4,-3
2020-03-02,2,-1,6,1,4,1,7,0,-2,-3,8,1,-5,1,1,3,4,5,5,-9,3,3
2020-03-03,2,2,-1,-2,3,1,9,1,0,-1,6,1,-2,1,1,2,2,1,6,-2,2,3
2020-03-04,-1,0,-4,-10,-4,1,8,-1,-1,1,8,-3,-5,2,-4,-2,-5,2,3,-12,-4,1
2020-03-05,3,4,5,3,-1,1,10,2,2,3,3,1,-3,4,1,3,1,5,-1,-2,2,3
2020-03-06,1,1,4,-1,-2,-1,2,0,0,0,2,-2,-2,2,0,3,1,3,-1,-3,1,1
2020-03-07,4,4,0,0,1,6,4,3,0,2,0,2,-2,4,2,3,2,4,0,-1,4,6
2020-03-08,-2,-1,2,-4,-1,-2,2,-2,2,-2,2,-4,-6,0,-1,-1,-3,-3,-1,-3,-4,-6
2020-03-09,0,-4,2,1,-2,-1,5,-3,-2,-2,2,-2,-6,-1,0,0,1,2,5,2,1,1
2020-03-10,1,-2,0,1,-4,-4,7,1,-3,-2,4,1,-3,-2,2,2,1,-1,4,2,2,-1
2020-03-11,4,3,2,1,4,5,10,3,1,6,3,0,-2,3,1,5,3,5,5,4,4,5
2020-03-12,11,4,14,11,4,7,15,8,8,6,16,5,5,11,10,12,15,14,16,13,13,11
2020-03-13,8,7,7,6,4,6,10,2,0,7,5,2,6,9,5,12,11,6,7,4,7,9
2020-03-14,9,9,3,7,-3,9,5,8,7,10,1,5,5,11,9,8,10,4,6,7,8,11
2020-03-15,-2,-1,5,1,-3,-4,0,-2,7,1,3,-3,-6,-3,2,-5,2,-3,2,4,1,-6
2020-03-16,3,2,1,3,1,0,3,3,2,1,4,-1,0,3,3,3,6,3,5,3,3,5
2020-03-17,0,0,1,1,1,0,2,-1,0,0,3,-2,-2,-1,0,-1,3,0,7,0,2,1
2020-03-18,-3,-4,-2,-4,-6,-5,-1,-5,-1,-5,-1,-5,-5,-4,-2,-5,1,-4,2,-1,-2,-4
2020-03-19,-2,-3,0,-1,-6,-5,-1,-5,0,-2,-1,-3,-5,-1,-2,-3,2,-3,1,2,0,-2
2020-03-20,-5,0,-3,-5,-3,-6,-6,-6,-2,-5,-9,-8,-10,-4,-4,-8,-3,-6,-3,-5,-5,-5
2020-03-21,-5,0,-8,-6,-5,-1,-12,-5,-1,-4,-15,-5,-8,-3,-2,-11,-5,-8,-6,-4,-3,-4
2020-03-22,-9,-5,-7,-7,-7,-5,-14,-7,-2,-9,-10,-8,-12,-9,-7,-13,-8,-9,-8,-6,-5,-9
2020-03-23,-8,-7,-8,-7,-5,-8,-8,-10,-5,-6,-10,-11,-12,-6,-7,-13,-6,-8,-7,-8,-7,-8
2020-03-24,-7,-7,-9,-9,-6,-9,-7,-8,-3,-6,-10,-8,-10,-6,-7,-10,-6,-7,-3,-8,-7,-7
2020-03-25,1,4,-1,1,5,-1,0,0,3,2,-2,-2,-3,1,3,-3,3,1,1,4,2,0
2020-03-26,-2,-1,-4,-2,1,-5,-5,-4,3,-1,-4,-2,-7,-1,0,-5,1,-3,2,2,-1,-1
2020-03-27,-5,1,-8,-4,-3,-4,-9,-5,-1,-2,-7,-7,-10,-3,-4,-7,-2,-5,-5,-5,-3,-4
2020-03-28,-4,1,-10,-4,-2,1,-16,-4,-2,-4,-13,-5,-7,-1,-4,-9,-2,-8,-5,-1,-6,-4
