date,AU,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia
2020-02-15,3,5,5,8,4,2,-1,3,3
2020-02-16,5,19,6,14,3,2,2,4,4
2020-02-17,0,10,0,3,1,0,0,1,0
2020-02-18,-2,-1,-2,-4,1,-1,-2,-6,1
2020-02-19,-1,9,-1,2,-1,0,-2,-2,0
2020-02-20,1,7,1,0,1,2,0,0,0
2020-02-21,4,6,2,8,1,2,0,2,3
2020-02-22,4,6,6,8,3,1,-1,4,5
2020-02-23,4,19,6,9,2,2,1,4,3
2020-02-24,1,11,1,4,-1,2,-2,2,0
2020-02-25,-1,3,-2,-1,-1,2,-1,-2,-1
2020-02-26,0,8,-2,5,-1,0,-4,2,0
2020-02-27,1,7,3,0,0,3,-2,1,-3
2020-02-28,6,9,5,9,2,3,0,4,5
2020-02-29,6,12,9,10,5,2,-3,6,6
2020-03-01,7,20,9,15,6,4,-2,7,7
2020-03-02,5,13,5,7,4,5,0,6,3
2020-03-03,7,5,6,-1,6,4,1,7,15
2020-03-04,12,6,14,7,8,8,6,15,18
2020-03-05,9,6,7,12,8,12,-3,11,14
2020-03-06,14,15,14,12,6,11,4,16,15
2020-03-07,12,8,15,14,8,11,-2,14,14
2020-03-08,8,7,11,9,5,11,-5,8,9
2020-03-09,3,13,8,4,-2,-19,-10,6,8
2020-03-10,9,10,6,0,4,18,2,11,9
2020-03-11,8,13,7,6,5,7,0,13,10
2020-03-12,11,13,10,4,4,9,2,15,13
2020-03-13,17,20,14,15,9,12,0,22,18
2020-03-14,20,26,14,13,14,18,2,30,23
2020-03-15,24,29,21,21,15,21,5,32,27
2020-03-16,33,40,29,21,26,35,13,45,34
2020-03-17,35,33,35,12,29,40,14,37,38
2020-03-18,32,42,36,20,26,38,12,30,41
2020-03-19,25,37,30,20,21,31,10,21,28
2020-03-20,20,32,20,23,15,22,3,16,25
2020-03-21,11,25,16,19,8,14,-11,7,16
2020-03-22,10,25,17,12,1,10,-11,8,10
2020-03-23,17,33,19,28,19,26,0,14,20
2020-03-24,4,9,4,7,11,16,-6,-6,14
2020-03-25,2,12,0,13,8,13,-5,-4,13
2020-03-26,2,9,3,5,7,10,-10,-5,5
2020-03-27,2,15,3,10,3,7,-11,-6,5
2020-03-28,-9,4,-7,-6,-3,-3,-25,-14,-4
2020-03-29,-19,-3,-13,-13,-19,-15,-30,-26,-16
2020-03-30,-13,1,-13,-5,-11,-6,-14,-16,-11
2020-03-31,-13,-5,-13,-10,-9,-5,-25,-20,-9
2020-04-01,-13,1,-12,-6,-9,-5,-23,-18,-9
2020-04-02,-13,-7,-12,-2,-8,-2,-29,-21,-11
2020-04-03,-7,5,-8,9,-7,-2,-20,-12,-5
2020-04-04,-14,1,-10,-9,-11,-5,-33,-22,-9
2020-04-05,-18,-3,-11,-16,-17,-13,-31,-26,-17
2020-04-06,-12,3,-11,-2,-8,-4,-24,-16,-10
2020-04-07,-10,-2,-9,-4,-5,1,-21,-17,-6
2020-04-08,-6,10,-5,2,-3,7,-15,-11,-2
2020-04-09,15,30,16,21,21,28,1,9,16
2020-04-10,-55,-28,-49,-60,-58,-59,-71,-68,-35
2020-04-11,-2,11,-2,7,0,9,-22,-4,2
