date,SI,Administrative unit Maribor,Ajdovščina,Brežice,Celje,Cerknica,Črnomelj,Domžale,Dravograd,Gornja Radgona,Grosuplje,Idrija,Ilirska Bistrica,Izola,Jesenice,Kamnik,Kočevje,Koper,Kranj,Krško,Laško,Lenart,Lendava,Litija,Ljubljana,Ljutomer,Logatec,Metlika,Mozirje,Municipality of Hrastnik,Murska Sobota,Nova Gorica,Novo Mesto,Ormož,Pesnica,Piran,Postojna,Ptuj,Radlje ob Dravi,Radovljica,Ravne na Koroškem,Ribnica,Ruše,Šentjur,Sevnica,Sežana,Škofja Loka,Slovenj Gradec,Slovenska Bistrica,Slovenske Konjice,Šmarje pri Jelšah,Tolmin,Trbovlje,Trebnje,Tržič,Velenje,Vrhnika,Zagorje ob Savi,Žalec
2020-02-15,11,11,29,8,4,12,8,9,NA,-2,0,NA,NA,51,4,9,14,11,7,18,NA,14,15,-4,7,17,-23,NA,9,NA,9,7,8,NA,8,98,-2,33,NA,19,14,NA,NA,14,8,11,8,11,3,8,33,0,0,9,NA,4,6,-8,1
2020-02-16,11,5,30,3,7,NA,NA,16,NA,NA,15,NA,NA,47,22,13,NA,14,5,30,NA,NA,5,NA,1,NA,NA,NA,NA,NA,17,13,14,NA,10,94,5,17,NA,28,7,NA,NA,NA,NA,12,12,0,15,22,37,NA,NA,NA,NA,17,7,NA,14
2020-02-17,1,-2,-6,2,2,2,0,5,0,0,-10,0,0,16,14,-5,0,-1,5,12,0,-7,6,2,-2,6,2,NA,0,0,1,-4,2,0,4,23,-2,5,0,15,11,0,0,6,3,-5,1,6,0,-1,14,0,0,0,0,4,1,-16,1
2020-02-18,5,3,-14,10,7,0,0,3,0,0,-4,0,0,9,18,8,-3,4,8,11,0,-2,3,-2,2,2,4,NA,0,0,10,6,5,0,16,10,2,15,0,17,21,0,0,9,16,-7,-3,4,8,6,11,0,0,16,0,11,1,0,7
2020-02-19,4,2,-5,5,7,0,0,3,0,0,-5,0,0,11,13,4,-2,3,3,2,0,0,1,0,1,15,0,NA,0,0,7,1,5,0,3,17,4,11,0,14,-6,0,0,0,15,-6,1,20,10,7,9,0,0,10,0,7,3,-10,4
2020-02-20,4,4,1,9,1,21,2,3,0,10,-3,0,0,5,9,-1,9,5,3,15,0,20,10,4,-2,2,2,NA,2,0,6,-3,6,0,11,38,14,12,0,24,12,0,0,7,8,2,-3,5,6,7,11,0,0,6,-10,6,0,-2,3
2020-02-21,1,3,13,9,2,25,9,0,0,3,0,0,0,14,12,-3,8,1,-1,13,0,12,2,-5,-3,7,-2,NA,5,0,-2,-4,5,0,15,53,-4,22,13,16,1,0,0,4,6,0,-1,4,6,-4,8,11,2,6,3,3,5,-9,4
2020-02-22,8,11,32,2,-3,25,25,13,NA,2,10,NA,NA,54,5,2,48,18,10,10,NA,11,8,55,-3,-7,-10,NA,19,NA,-2,-1,-4,NA,8,83,3,30,NA,23,46,NA,NA,8,10,1,3,0,1,-2,31,0,0,-1,NA,-3,9,-13,2
2020-02-23,9,0,14,-5,15,NA,NA,29,NA,NA,0,NA,NA,19,1,-3,NA,1,2,76,NA,-13,17,NA,-5,NA,NA,NA,NA,NA,5,-2,-1,NA,22,58,15,131,NA,13,-6,NA,NA,NA,NA,-4,-4,NA,1,3,11,NA,NA,NA,NA,-6,21,NA,16
2020-02-24,2,-6,26,4,-2,0,0,11,0,0,4,0,0,17,1,2,5,4,0,9,0,-16,-2,-6,3,-2,8,NA,0,0,1,0,-4,0,9,41,9,22,0,9,-1,0,0,3,2,10,7,-4,2,-7,6,0,0,-4,0,0,14,0,-3
