date,NI
2020-02-15,4
2020-02-16,1
2020-02-17,12
2020-02-18,11
2020-02-19,10
2020-02-20,10
2020-02-21,14
2020-02-22,4
2020-02-23,1
2020-02-24,15
2020-02-25,11
2020-02-26,12
2020-02-27,11
2020-02-28,14
2020-02-29,7
2020-03-01,3
2020-03-02,16
2020-03-03,14
2020-03-04,13
2020-03-05,13
2020-03-06,16
2020-03-07,5
2020-03-08,2
2020-03-09,17
2020-03-10,16
2020-03-11,14
2020-03-12,14
2020-03-13,17
2020-03-14,4
2020-03-15,3
2020-03-16,15
2020-03-17,14
2020-03-18,12
2020-03-19,4
2020-03-20,0
2020-03-21,-9
2020-03-22,-13
2020-03-23,-8
2020-03-24,-13
2020-03-25,-14
2020-03-26,-16
2020-03-27,-15
2020-03-28,-17
2020-03-29,-17
2020-03-30,-13
2020-03-31,-15
2020-04-01,-15
2020-04-02,-17
2020-04-03,-14
2020-04-04,-17
2020-04-05,-16
2020-04-06,-35
2020-04-07,-37
2020-04-08,-43
2020-04-09,-65
2020-04-10,-68
2020-04-11,-46
