date,total,Drenthe,Flevoland,Friesland,Gelderland,Groningen,Limburg,North Brabant,North Holland,Overijssel,South Holland,Utrecht,Zeeland
2020-02-29,-2.1211055192149866,2.3998680239986796,0.32843052298131836,2.3938912574285838,-3.08420477095725,-0.37925789191353193,-3.6043051046399954,-3.2145588774732974,-0.32783743621510875,0.6896453860453238,-3.6853028009114808,-4.1211725343092995,0.7099487943204097
2020-03-01,0.7233372112756202,2.4698520246985196,-1.7023012281270076,2.865355390291273,0.7998618452862533,-0.17646703968213182,-0.3692214985240971,-1.5131831387571182,0.9537089053530435,1.551465614697299,0.5174067508564464,-0.9295950176526926,3.949862368401101
2020-03-02,1.520822402769243,3.7849680378496795,1.609691458565415,3.9535776340686763,2.174960109221595,3.663884724450008,1.7699189294329734,1.3116164453999515,1.1882905312664938,2.603434982711565,0.484214619669429,-0.1201648161391795,1.7278271861773828
2020-03-03,2.260724588348885,2.7478440274784397,1.3261337105263118,3.097628076292808,3.181867999929931,2.6752793198219327,1.6146114737045834,1.9000765549166088,1.9199160120867218,2.8437229498659025,2.4835524041109425,1.4410164751410406,4.241635166066919
2020-03-04,2.7797604498749027,3.5322480353224797,2.6398558024515855,3.895262363966163,3.1340130177333174,3.807203259440468,2.2143522146934607,2.247802983267361,2.5611698829238994,3.481337476881744,2.7032062134367925,1.8707258576547463,3.735071970119425
2020-03-05,2.0083059322875996,3.5487720354877195,1.9486241203629964,3.5513011098021887,2.3624735088491415,3.7886790950539466,0.7648159612284868,1.274360042362371,1.4276791577109573,3.2202371661156133,1.7884701274886976,0.743099223004686,2.934835176521319
2020-03-06,1.8395009560466153,2.5174800251747995,0.9175050365844388,3.818167600101824,2.3702865671669557,2.869295567870243,1.4378149360515105,1.62495234786986,1.2296307358332081,3.08874099511383,1.4038319013803204,2.021652866725556,3.5316863717465097
2020-03-07,0.2808157548681797,2.54955602549556,1.808277356182026,3.472229557120815,0.661180060145047,-0.1267442826446251,2.5103154793834115,-0.6925869795447669,-0.1095996121071038,1.0027765558409372,-0.14155467712110323,-0.480659264556718,3.9032927687736585
2020-03-08,-0.20982300785094327,1.79625601796256,-0.7294212777840908,1.0743847220581628,0.39944260649826324,-1.9362626564017338,-0.9240305227613647,-2.185708978204726,-1.1056101221330645,0.9696660091858118,-0.21282013525793453,-0.8267339350375549,0.5265215957878273
2020-03-09,0.9726006341361394,3.17455203174552,1.5676829033003625,3.921949012996127,2.5265477335232447,2.9102437207246603,1.211202799391218,-2.6652657557653785,0.6835554755100947,2.730201075619759,1.0777680244255035,0.4345159751592731,2.2667039818663683
2020-03-10,-1.0222955570482049,1.9634400196343997,0.36184641921488275,2.384995707751929,0.8975250742589339,1.5521299843864855,-0.36238406336624346,-9.226213859921874,-0.07979620881482118,1.6999900668360037,0.3250876378022578,-1.0286108261513764,1.6441919868464643
2020-03-11,-2.1384593018192,2.35418402354184,0.47641520630138917,2.8386687412613094,-1.38779448370179,2.855646183585437,-1.386045784142047,-13.06553395756383,0.4605106508710764,1.8154039723195834,-0.5710999042472096,-2.3869539077886617,-5.686243154510055
2020-03-12,-3.214393823280428,2.3133600231336,-1.5829587415785635,1.97975400025989,-0.5224982750038407,2.078606235371851,-3.202849983228874,-17.040505573958004,-2.0400910253620546,0.9535837436676081,-0.8971637812020268,-2.556145968912626,NA
2020-03-13,-10.996776512969925,-5.215752052157519,-8.395027873763757,-4.647430508847729,-8.301374462677844,-8.874049697164441,-8.85154820006711,-19.275889756212838,-12.268426755252205,-5.823672148827178,-11.124245143413596,-13.730512551327205,-3.413836772689306
2020-03-14,-6.115630751384824,-1.35010801350108,-3.9449852353453703,-2.753666822128833,-4.699554578165386,-5.810737881245887,-6.242578299120383,-8.31295433930836,-6.97399637039413,-4.952391763988024,-6.297718773160255,-7.417533770639272,-2.6611199787110404
2020-03-15,-10.49903847554908,-5.612328056123279,-10.698815234094923,-9.489574716173342,-9.424501595863669,-12.145027145416112,-9.70329726544545,-13.705579855901751,-12.318419560774744,-9.214192126312007,-10.98757166205529,-11.987642058044546,-7.3722527410219785
2020-03-16,-37.331930423163875,-32.06822432068223,-37.510775632014585,-34.201411717919605,-35.88928338288063,-39.650486391340436,-33.28268079552932,-37.203861956373714,-42.4275480868298,-33.27136931030732,-39.55428174424649,-45.92410877280706,-29.365458965076332
2020-03-17,-43.36868034452955,-40.16206840162068,-44.13857996496898,-41.009472403785864,-41.99518845825262,-47.228819537468674,-39.534050082709804,-41.58674342141012,-48.826627193714735,-40.60109832413334,-45.82368958198252,-51.84775354920405,-34.78559012171528
2020-03-18,-43.544584595472266,-39.818952398189516,-44.316161584953065,-41.393957828699044,-42.282318351432295,-47.72994693192512,-40.795068481108245,-41.51796236964843,-49.46403546412711,-40.843278322525116,-45.791473689948056,-51.82660454156356,-36.176975710584195
2020-03-19,-46.59175105911209,-42.190632421906315,-47.65584172852473,-43.90447962633265,-45.386055768184086,-50.058141908504844,-44.20401829552385,-44.34658312334781,-52.503021199833725,-43.92539720830792,-49.37524761899337,-55.23351740874158,-38.906524488747806
2020-03-20,-44.38782066837699,-39.96961239969612,-44.86322754329114,-41.391981039882005,-42.37900494811525,-48.00585948568226,-43.24677737342434,-42.66144735518648,-50.2187345474962,-41.59536073940582,-46.88290906250939,-51.79199707451547,-38.02265249581878
2020-03-21,-25.97230209210586,-19.950300199502998,-24.328681937819635,-19.753062254215624,-23.056335095870413,-27.031630620037497,-28.123347580703186,-24.745893956038124,-31.750238507343003,-23.56997914035561,-27.862841653195915,-28.433879454117207,-22.532083019743336
2020-03-22,-30.98360122322256,-24.471072244710715,-31.610483097059507,-25.963144322928997,-30.44553499994342,-29.745908180673162,-34.37764719723703,-31.152084693730824,-36.57262144005557,-29.387975195470485,-31.989404551064215,-32.758851516598554,-28.172706974618347
