date,HN
2020-02-15,1
2020-02-16,1
2020-02-17,0
2020-02-18,-3
2020-02-19,-3
2020-02-20,-3
2020-02-21,-2
2020-02-22,-3
2020-02-23,-7
2020-02-24,-4
2020-02-25,-6
2020-02-26,-5
2020-02-27,-7
2020-02-28,-9
2020-02-29,-6
2020-03-01,-3
2020-03-02,-2
2020-03-03,-3
2020-03-04,-2
2020-03-05,-3
2020-03-06,0
2020-03-07,-3
2020-03-08,-6
2020-03-09,-4
2020-03-10,-5
2020-03-11,-5
2020-03-12,-6
2020-03-13,-6
2020-03-14,-8
2020-03-15,-20
2020-03-16,-37
2020-03-17,-68
2020-03-18,-71
2020-03-19,-69
2020-03-20,-80
2020-03-21,-80
2020-03-22,-80
2020-03-23,-75
2020-03-24,-78
2020-03-25,-65
2020-03-26,-71
2020-03-27,-66
2020-03-28,-75
2020-03-29,-74
2020-03-30,-67
2020-03-31,-80
2020-04-01,-64
2020-04-02,-82
2020-04-03,-62
2020-04-04,-83
2020-04-05,-84
2020-04-06,-68
2020-04-07,-81
2020-04-08,-66
2020-04-09,-82
2020-04-10,-74
2020-04-11,-78
