date,RW
2020-02-15,7
2020-02-16,-2
2020-02-17,8
2020-02-18,9
2020-02-19,7
2020-02-20,5
2020-02-21,3
2020-02-22,11
2020-02-23,2
2020-02-24,6
2020-02-25,8
2020-02-26,2
2020-02-27,0
2020-02-28,10
2020-02-29,7
2020-03-01,-5
2020-03-02,2
2020-03-03,2
2020-03-04,2
2020-03-05,1
2020-03-06,3
2020-03-07,15
2020-03-08,4
2020-03-09,9
2020-03-10,8
2020-03-11,4
2020-03-12,0
2020-03-13,6
2020-03-14,7
2020-03-15,-7
2020-03-16,9
2020-03-17,4
2020-03-18,-2
2020-03-19,-1
2020-03-20,1
2020-03-21,-3
2020-03-22,-15
2020-03-23,-1
2020-03-24,-4
2020-03-25,-12
2020-03-26,-16
2020-03-27,-11
2020-03-28,-12
2020-03-29,-18
2020-03-30,-7
2020-03-31,-6
2020-04-01,-7
2020-04-02,-14
2020-04-03,-11
2020-04-04,-13
2020-04-05,-18
2020-04-06,-2
2020-04-07,-9
2020-04-08,-11
2020-04-09,-14
2020-04-10,-13
2020-04-11,-14
