date,TR
2020-02-15,7
2020-02-16,5
2020-02-17,8
2020-02-18,8
2020-02-19,9
2020-02-20,10
2020-02-21,7
2020-02-22,8
2020-02-23,7
2020-02-24,9
2020-02-25,9
2020-02-26,10
2020-02-27,11
2020-02-28,8
2020-02-29,7
2020-03-01,7
2020-03-02,10
2020-03-03,10
2020-03-04,11
2020-03-05,12
2020-03-06,9
2020-03-07,10
2020-03-08,8
2020-03-09,10
2020-03-10,10
2020-03-11,11
2020-03-12,12
2020-03-13,6
2020-03-14,4
2020-03-15,1
2020-03-16,-12
2020-03-17,-19
2020-03-18,-23
2020-03-19,-25
2020-03-20,-30
2020-03-21,-26
2020-03-22,-35
2020-03-23,-37
2020-03-24,-42
2020-03-25,-43
2020-03-26,-43
2020-03-27,-45
2020-03-28,-40
2020-03-29,-45
2020-03-30,-47
2020-03-31,-49
2020-04-01,-49
2020-04-02,-50
2020-04-03,-50
2020-04-04,-46
2020-04-05,-48
2020-04-06,-51
2020-04-07,-52
2020-04-08,-51
2020-04-09,-50
2020-04-10,-51
2020-04-11,-78
