date,NZ,Auckland,Bay Of Plenty,Canterbury,Gisborne,Hawke's Bay,Manawatu-Wanganui,Marlborough,Nelson,Northland,Otago,Southland,Taranaki,Tasman,Waikato,Wellington,West Coast
2020-02-15,0,-4,-13,12,-14,-18,0,-6,-7,-30,20,5,-30,-6,-16,38,2
2020-02-16,-11,-15,-17,-2,-22,-2,23,-18,-37,-39,-7,-23,-37,-31,-20,53,-27
2020-02-17,-5,-9,-16,15,0,-3,9,-6,-20,-33,10,-4,-34,-28,-16,-1,-8
2020-02-18,1,18,1,12,0,23,-15,-8,-35,-20,2,-11,-37,-28,-4,-17,-5
2020-02-19,0,7,-14,6,0,7,-5,7,10,-19,1,0,-7,-4,-11,-2,-1
2020-02-20,-3,10,-12,-6,-21,3,-3,-1,-18,-19,-4,2,-24,-18,-10,3,2
2020-02-21,-5,12,-19,14,-6,36,-4,-21,-41,-20,-8,4,1,-24,-22,-16,-21
2020-02-22,-12,-21,-34,30,-18,35,-23,-10,-8,-37,-13,8,-32,-13,-37,6,-10
2020-02-23,-10,-16,-20,15,-44,-11,-9,-8,-8,-33,1,14,-37,-6,-19,21,37
2020-02-24,-1,-4,-19,10,-40,-11,17,4,-11,-24,7,21,-20,-15,-19,32,14
2020-02-25,7,18,7,10,-22,-4,7,-1,-13,-28,3,0,-19,0,-3,28,20
2020-02-26,2,8,-9,4,-20,-8,14,1,5,-19,-4,1,-10,-3,-7,25,10
2020-02-27,-6,2,-16,0,-19,-12,3,-8,-20,-21,-12,2,-27,-21,-16,7,-11
2020-02-28,-4,11,-13,8,-12,-12,8,-20,-25,-27,-7,-6,-13,-11,-15,4,-28
2020-02-29,-2,-3,-6,20,-7,-8,-9,-17,-18,-19,0,10,-39,-14,-14,-6,-5
2020-03-01,-1,-8,-12,12,-22,-12,20,3,-17,-31,0,11,-24,-9,-10,72,38
2020-03-02,-10,-15,-23,5,0,-8,4,11,-40,-43,-2,7,-33,-27,-23,7,2
2020-03-03,-6,6,1,-2,0,1,-2,-12,-38,-27,-17,-10,-36,-20,-8,-5,-16
2020-03-04,-17,-13,-31,-14,-17,-32,-20,-8,-24,-29,-13,7,-22,-16,-29,-17,10
2020-03-05,-15,-11,-16,-7,-44,-32,-12,-9,-25,-45,-12,11,-34,-28,-24,-3,-1
2020-03-06,-9,1,-15,-1,-33,-32,2,-22,-25,-34,-3,1,-20,-17,-23,7,9
2020-03-07,2,-6,1,22,-27,4,7,1,-11,-37,-2,10,-29,-15,5,18,28
2020-03-08,-6,-5,-2,0,-12,-10,-1,4,3,-32,-25,-14,-23,-15,-13,38,7
2020-03-09,-18,-29,-27,3,0,-2,-7,-2,-35,-35,3,5,-57,-31,-36,-10,-4
2020-03-10,-11,2,-1,-18,0,-7,-16,-1,-30,-36,-22,-9,-41,-15,-18,0,10
2020-03-11,-14,-12,-22,-15,0,-13,-4,-2,-32,-29,-14,5,-18,-22,-23,-9,6
2020-03-12,-15,-9,-25,-14,-15,-25,-12,-8,-31,-34,-10,3,-23,-33,-21,-8,-8
2020-03-13,-12,-4,-27,-7,-6,-30,-4,0,-25,-39,-12,1,56,-24,-26,5,-5
2020-03-14,0,-3,-14,7,-2,-14,23,26,24,-43,4,5,48,-26,-17,19,-1
2020-03-15,-8,-10,-14,-10,-27,-14,4,10,-21,-32,-10,-1,43,-17,-18,41,19
2020-03-16,-19,-26,-31,-10,0,-16,-7,-5,-25,-42,-24,-14,-18,-34,-29,8,3
2020-03-17,-22,-10,-21,-22,-51,-38,-26,-19,-25,-47,-22,-14,-52,-23,-29,-28,2
2020-03-18,-22,-17,-32,-23,-39,-28,-12,-12,-26,-32,-29,-15,-17,-27,-30,-6,-14
2020-03-19,-34,-35,-41,-24,-29,-26,-31,-21,-50,-38,-33,-26,-51,-41,-41,-24,-30
2020-03-20,-37,-37,-42,-38,-27,-29,-35,-33,-38,-50,-33,-34,-46,-34,-44,-19,-28
2020-03-21,-38,-34,-44,-42,-25,-33,-30,-39,-48,-47,-55,-40,-54,-49,-39,-28,-55
2020-03-22,-36,-38,-50,-14,-37,-40,-41,-28,-26,-47,-39,-42,-58,-39,-53,0,-35
2020-03-23,-50,-52,-65,-39,-48,-37,-36,-23,-49,-65,-54,-57,-57,-60,-60,-29,-56
2020-03-24,-52,-46,-58,-54,-46,-45,-47,-26,-52,-67,-69,-70,-69,-66,-56,-30,-64
2020-03-25,-52,-45,-65,-52,-49,-46,-44,-36,-40,-67,-68,-71,-55,-65,-61,-32,-75
2020-03-26,-77,-70,-86,-74,-81,-73,-76,-74,-81,-85,-85,-86,-82,-86,-82,-69,-90
2020-03-27,-80,-72,-87,-81,-83,-77,-82,-83,-85,-87,-85,-86,-87,-87,-86,-69,-91
2020-03-28,-80,-73,-87,-78,0,-80,-86,-82,-76,-89,-83,-84,-88,-85,-86,-88,-90
2020-03-29,-78,-70,-86,-83,-88,-78,-76,-83,-81,-86,-82,-83,-86,-89,-84,-63,-87
2020-03-30,-73,-66,-84,-85,0,-75,-66,-76,-65,-82,-84,-80,-77,-81,-80,-47,-85
2020-03-31,-66,-51,-75,-67,-78,-63,-71,-72,-70,-80,-81,-83,-75,-80,-74,-52,-83
2020-04-01,-66,-56,-79,-67,-71,-67,-59,-67,-63,-79,-78,-82,-73,-76,-75,-45,-86
2020-04-02,-69,-57,-81,-68,-79,-73,-69,-75,-74,-81,-80,-85,-78,-81,-75,-60,-85
2020-04-03,-72,-60,-83,-71,-81,-74,-71,-79,-71,-84,-82,-83,-81,-82,-81,-62,-87
2020-04-04,-75,-67,-85,-80,0,-83,-74,-78,-71,-89,-83,-83,-82,-84,-84,-54,-88
2020-04-05,-74,-69,-84,-70,-83,-77,-74,-76,-72,-87,-83,-86,-80,-84,-83,-40,-85
2020-04-06,-71,-65,-81,-71,-80,-63,-63,-75,-72,-85,-84,-84,-77,-83,-81,-48,-88
2020-04-07,-67,-53,-78,-64,-76,-64,-67,-74,-76,-82,-82,-86,-83,-82,-74,-60,-89
2020-04-08,-74,-72,-83,-70,-78,-71,-75,-72,-62,-83,-81,-85,-81,-79,-82,-54,-88
2020-04-09,-77,-76,-87,-71,-83,-75,-72,-78,-76,-84,-84,-85,-82,-84,-83,-62,-90
2020-04-10,-68,-52,-83,-63,0,-77,-71,-79,-71,-85,-77,-87,-74,-83,-82,-45,-89
2020-04-11,-75,-68,-85,-74,-82,-76,-72,-80,-73,-87,-81,-83,-82,-84,-84,-65,-89
