date,UG
2020-02-15,7
2020-02-16,4
2020-02-17,9
2020-02-18,9
2020-02-19,7
2020-02-20,7
2020-02-21,12
2020-02-22,8
2020-02-23,5
2020-02-24,10
2020-02-25,10
2020-02-26,8
2020-02-27,8
2020-02-28,10
2020-02-29,9
2020-03-01,7
2020-03-02,12
2020-03-03,12
2020-03-04,10
2020-03-05,10
2020-03-06,14
2020-03-07,10
2020-03-08,7
2020-03-09,10
2020-03-10,12
2020-03-11,10
2020-03-12,9
2020-03-13,13
2020-03-14,9
2020-03-15,5
2020-03-16,5
2020-03-17,11
2020-03-18,9
2020-03-19,6
2020-03-20,3
2020-03-21,3
2020-03-22,0
2020-03-23,-4
2020-03-24,-10
2020-03-25,-19
2020-03-26,-38
2020-03-27,-42
2020-03-28,-35
2020-03-29,-23
2020-03-30,-44
2020-03-31,-63
2020-04-01,-65
2020-04-02,-63
2020-04-03,-61
2020-04-04,-51
2020-04-05,-31
2020-04-06,-60
2020-04-07,-59
2020-04-08,-60
2020-04-09,-61
2020-04-10,-63
2020-04-11,-49
