date,CL,Antofagasta,Araucania,Arica y Parinacota,Atacama,Aysén,Bio Bio,Coquimbo,Los Lagos,Los Ríos,Magallanes and Chilean Antarctica,Maule,Ñuble,O'Higgins,Santiago Metropolitan Region,Tarapacá,Valparaíso
2020-02-15,0,-2,15,7,13,13,20,18,13,23,9,20,18,6,-7,6,9
2020-02-16,4,3,16,10,8,8,25,15,12,16,9,12,17,7,-2,9,9
2020-02-17,-3,4,20,5,12,6,21,18,20,26,1,13,19,6,-8,2,7
2020-02-18,-3,3,21,6,5,3,20,12,19,26,0,8,17,7,-8,3,6
2020-02-19,-3,-2,16,5,8,15,16,11,17,22,5,9,11,5,-8,5,6
2020-02-20,-3,0,17,4,4,20,15,7,19,26,5,6,11,7,-8,5,5
2020-02-21,-6,-1,6,2,5,9,16,9,15,23,8,2,3,3,-11,0,5
2020-02-22,-1,0,4,-2,5,17,15,7,14,18,11,4,8,2,-7,5,6
2020-02-23,1,2,5,-2,3,9,17,10,2,10,-1,3,7,8,-4,7,6
2020-02-24,-3,2,6,-3,2,1,16,6,8,3,-5,0,4,2,-5,-2,5
2020-02-25,-1,0,6,-1,2,-1,14,1,6,8,0,0,1,2,-2,-3,5
2020-02-26,-1,-4,3,-3,0,5,14,-1,3,1,-3,-3,-2,0,-1,-5,4
2020-02-27,0,-1,0,-6,2,4,11,-5,1,-1,-5,-3,-5,-2,0,-3,3
2020-02-28,0,0,-1,-2,8,9,17,-2,3,6,2,-1,-4,0,-1,3,3
2020-02-29,5,3,-11,-1,17,3,15,-2,4,19,4,1,-3,3,6,6,-2
2020-03-01,7,7,-8,2,6,-5,19,-4,-3,10,2,-1,1,4,10,10,-8
2020-03-02,2,7,-5,-7,2,-12,18,-5,-2,-9,-17,-4,-9,0,5,-3,-4
2020-03-03,3,4,-4,-6,1,-9,13,-6,-3,-13,-13,-6,-7,0,6,-4,-4
2020-03-04,5,2,-7,-7,-2,-6,10,-12,-8,-21,-11,-8,-16,-2,9,0,-3
2020-03-05,5,2,-10,-10,-5,-12,11,-15,-9,-18,-7,-7,-12,0,9,-2,-4
2020-03-06,4,1,-7,-2,-7,-11,18,-10,-8,-15,-12,-7,-10,2,6,-3,-4
2020-03-07,2,-2,-18,-8,-12,-24,9,-18,-9,-20,-9,-11,-15,2,6,-4,-12
2020-03-08,12,-1,-18,-9,-7,-24,14,-7,-21,-28,0,-7,-12,-1,21,-3,-12
2020-03-09,5,0,-11,-9,-3,-11,23,-15,-7,-21,-13,-10,-18,0,9,-2,-6
2020-03-10,7,1,-8,-8,-8,-16,14,-13,-11,-17,-7,-9,-12,4,12,-2,-2
2020-03-11,6,0,-11,-9,-14,-5,14,-18,-14,-23,-12,-6,-17,-2,12,-5,-5
