date,US,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2020-02-15,2,2,3,2,2,1,3,-4,2,-2,0,1,2,3,3,4,13,0,4,6,-3,0,-4,0,2,6,4,2,5,2,-2,-3,8,-4,-1,-2,0,2,-3,-1,-4,3,6,4,3,3,2,2,-1,-3,6,3
2020-02-16,1,-2,5,3,4,0,5,-5,2,-1,1,-5,3,3,2,3,18,3,0,3,8,0,-4,4,2,1,7,2,8,3,0,-4,9,-3,-3,0,1,1,3,1,-4,-1,11,1,3,3,11,0,3,1,6,2
2020-02-17,0,0,-2,1,-2,1,2,1,2,-12,1,1,-4,4,-3,-3,5,0,-2,0,5,-1,-2,-2,-1,2,2,1,1,0,8,1,6,-2,2,-3,-2,-1,2,-1,-3,2,0,-2,2,8,9,2,2,-2,-2,2
2020-02-18,-1,-3,-2,2,-4,0,-4,-5,0,-2,2,-5,-2,3,-1,-1,6,-1,-3,2,-7,0,-10,-4,-1,0,-2,-1,2,1,-11,0,6,-5,0,-4,-1,-1,2,-2,-7,-1,1,-3,-1,5,-4,2,2,-1,0,4
2020-02-19,0,1,-2,2,1,0,-4,-1,0,-3,0,0,-2,3,-1,0,6,3,1,0,-1,0,-3,0,-2,1,1,1,-3,1,2,0,4,-2,4,-4,0,3,3,0,-2,0,-1,3,0,6,2,2,3,-3,0,0
2020-02-20,0,-6,3,2,0,1,2,-1,1,-6,1,-7,1,3,0,-1,5,-7,-1,-1,2,0,-2,-1,-2,-4,0,1,-1,1,2,-1,4,-3,5,-1,0,0,4,-1,-4,-5,3,-3,-2,6,2,3,3,-3,-1,5
2020-02-21,-2,0,-2,1,0,0,3,-5,-2,-11,-1,-1,-1,2,0,-2,6,-4,2,5,-4,-3,-6,-5,3,0,-2,1,3,2,-3,-3,6,-5,-14,-2,-2,-3,1,-2,-7,-2,6,-2,0,9,1,-7,-1,-7,0,7
2020-02-22,3,4,3,-4,2,0,7,-1,4,4,0,0,1,6,9,7,14,1,9,9,-3,3,-2,4,5,5,10,6,6,-3,-3,1,3,0,-4,4,4,2,3,3,-4,1,9,4,1,7,0,2,0,0,9,9
2020-02-23,3,2,4,1,-1,1,-2,0,5,2,2,1,0,7,9,6,22,2,5,11,10,4,1,6,8,2,8,5,6,4,-2,2,1,2,-3,7,3,-2,2,5,-2,1,17,1,1,13,7,3,0,4,10,8
2020-02-24,1,-3,1,1,0,0,0,2,1,-7,1,-4,-1,5,6,-2,11,-2,-1,8,4,-1,0,0,3,0,0,0,6,3,-2,0,5,0,-3,-3,-1,-1,1,0,-2,-2,6,-4,1,8,3,0,-1,-1,5,4
2020-02-25,1,3,-1,2,1,1,-4,-1,-3,-6,1,2,0,5,-1,2,3,-4,5,7,0,-3,-3,3,2,3,0,1,-3,3,-3,-3,3,-2,0,-3,0,1,4,-1,-3,1,-4,3,2,9,0,1,1,2,-1,2
2020-02-26,2,5,6,4,5,3,5,1,2,-3,1,3,2,8,-1,-3,10,7,7,10,9,1,0,-9,2,8,2,3,6,6,1,1,9,3,1,0,2,7,6,4,-1,2,10,5,6,10,1,4,4,3,1,9
2020-02-27,3,6,6,4,7,3,6,1,3,-6,6,5,4,8,4,3,3,0,6,8,-11,0,0,-3,1,7,4,3,2,5,-7,1,10,-2,3,-1,0,9,5,-1,-3,5,8,5,6,12,-7,4,4,-3,1,7
2020-02-28,3,6,5,5,9,4,7,0,3,-3,4,4,2,7,4,2,11,3,9,8,1,0,1,-2,3,8,4,6,9,4,-2,1,14,0,4,0,1,7,4,2,-1,5,13,4,8,14,0,4,2,0,0,12
2020-02-29,7,10,9,6,11,4,8,0,4,-2,4,6,1,9,11,11,18,9,13,8,-1,3,0,6,6,12,12,8,11,6,-2,2,13,1,3,11,5,12,5,3,-2,8,18,9,8,12,-3,6,7,3,9,13
2020-03-01,9,10,14,7,12,3,9,5,7,2,7,7,2,15,15,12,29,13,16,12,12,6,4,10,11,14,15,10,13,4,3,4,15,5,5,9,10,17,9,8,7,8,21,11,9,8,11,9,10,13,12,3
2020-03-02,6,4,6,4,7,6,5,8,4,-2,7,3,1,11,8,4,13,5,6,7,5,2,5,4,4,9,8,5,8,7,3,5,13,5,6,1,3,7,7,4,7,6,11,4,7,16,4,5,8,4,5,8
2020-03-03,10,15,9,8,15,9,11,10,6,3,10,11,5,15,10,11,15,9,16,15,10,6,6,7,7,16,12,9,10,11,6,6,15,6,9,4,8,14,12,5,6,8,11,12,10,16,10,10,11,12,5,14
2020-03-04,6,0,8,8,9,6,8,8,4,5,6,0,1,13,10,7,17,11,13,4,3,5,3,5,5,4,10,7,11,9,2,7,13,8,5,1,7,10,9,7,3,3,10,11,5,16,4,8,9,6,5,12
2020-03-05,7,6,7,6,12,7,10,8,5,1,5,0,6,14,8,9,6,4,12,11,7,4,7,4,1,10,8,11,6,10,7,9,13,9,4,1,8,13,8,7,3,-2,5,10,8,16,7,6,7,8,2,12
