date,SK,Banská Bystrica Region,Bratislava Region,Košice Region,Nitra Region,Prešov Region,Trenčín Region,Trnava Region,Žilina Region
2020-02-15,11,17,7,17,12,10,14,12,13
2020-02-16,14,19,5,15,13,14,16,28,22
2020-02-17,8,11,3,7,7,9,11,8,11
2020-02-18,6,12,2,7,3,12,7,6,11
2020-02-19,3,10,-4,7,2,11,5,1,13
2020-02-20,5,10,-1,4,3,8,8,4,9
2020-02-21,-2,4,-8,6,-4,3,0,-4,3
2020-02-22,6,11,2,16,9,4,6,4,4
2020-02-23,0,1,-6,10,8,3,-4,1,-1
2020-02-24,5,3,6,3,5,4,3,8,1
2020-02-25,5,3,8,5,7,4,1,10,1
2020-02-26,-1,-3,3,-1,0,-1,-5,2,-1
2020-02-27,3,-2,5,3,4,3,-1,5,2
2020-02-28,-3,-6,0,0,-1,-2,-6,1,-8
2020-02-29,10,12,11,11,11,6,13,12,6
2020-03-01,-4,-5,-8,1,-3,0,-3,-2,0
2020-03-02,2,-2,5,-6,3,2,2,4,-2
2020-03-03,-2,-4,0,-5,-3,3,-4,1,-3
2020-03-04,-1,-1,3,-9,0,-3,0,6,-2
2020-03-05,2,1,4,-3,1,2,4,3,1
2020-03-06,-4,-2,-4,-10,-5,-7,-2,0,-3
2020-03-07,-2,-1,-4,1,-4,-8,5,7,-5
2020-03-08,5,0,4,5,5,2,11,13,3
2020-03-09,-1,0,-6,0,0,-1,3,4,-4
2020-03-10,-7,-5,-13,-7,-4,-2,0,2,-7
2020-03-11,-13,-10,-20,-13,-9,-10,-9,-6,-14
2020-03-12,-12,-14,-20,-15,-6,-10,-4,-3,-15
2020-03-13,-38,-36,-44,-38,-32,-38,-33,-30,-40
2020-03-14,-69,-70,-70,-68,-67,-73,-67,-65,-74
2020-03-15,-74,-76,-75,-74,-73,-78,-71,-71,-77
2020-03-16,-65,-67,-68,-66,-63,-67,-62,-59,-67
2020-03-17,-71,-72,-74,-71,-70,-71,-67,-65,-72
2020-03-18,-70,-72,-72,-71,-69,-71,-65,-63,-71
2020-03-19,-69,-71,-72,-69,-68,-70,-64,-63,-71
2020-03-20,-71,-73,-72,-70,-70,-73,-67,-66,-74
2020-03-21,-82,-86,-82,-80,-81,-83,-79,-79,-84
2020-03-22,-80,-83,-81,-80,-80,-82,-79,-77,-83
2020-03-23,-69,-70,-72,-71,-67,-70,-64,-63,-71
2020-03-24,-69,-71,-72,-70,-67,-70,-65,-63,-71
2020-03-25,-70,-71,-74,-70,-68,-69,-65,-64,-70
2020-03-26,-69,-71,-72,-68,-67,-69,-63,-63,-70
2020-03-27,-68,-71,-69,-67,-67,-70,-64,-64,-71
2020-03-28,-72,-79,-71,-69,-74,-76,-69,-69,-76
2020-03-29,-82,-81,-83,-81,-81,-82,-78,-81,-83
2020-03-30,-61,-62,-65,-64,-58,-61,-55,-54,-62
2020-03-31,-62,-63,-67,-62,-59,-60,-57,-55,-63
2020-04-01,-62,-63,-66,-62,-59,-60,-56,-55,-62
2020-04-02,-60,-63,-66,-62,-57,-60,-54,-53,-62
2020-04-03,-62,-65,-65,-61,-59,-61,-58,-56,-65
2020-04-04,-68,-73,-68,-64,-67,-70,-66,-66,-72
2020-04-05,-77,-78,-78,-77,-78,-78,-73,-77,-78
2020-04-06,-51,-54,-57,-51,-47,-50,-44,-44,-53
2020-04-07,-61,-63,-66,-61,-56,-63,-56,-53,-63
2020-04-08,-71,-72,-76,-71,-65,-71,-65,-64,-70
2020-04-09,-70,-72,-75,-72,-64,-72,-64,-64,-70
2020-04-10,-92,-94,-90,-93,-93,-94,-92,-92,-93
2020-04-11,-79,-84,-79,-77,-78,-85,-78,-77,-82
