date,JM
2020-02-15,-1
2020-02-16,1
2020-02-17,-4
2020-02-18,-4
2020-02-19,-3
2020-02-20,-3
2020-02-21,-4
2020-02-22,-4
2020-02-23,-3
2020-02-24,-2
2020-02-25,13
2020-02-26,-27
2020-02-27,9
2020-02-28,2
2020-02-29,1
2020-03-01,2
2020-03-02,1
2020-03-03,0
2020-03-04,1
2020-03-05,0
2020-03-06,-2
2020-03-07,-1
2020-03-08,-3
2020-03-09,-6
2020-03-10,-1
2020-03-11,-2
2020-03-12,-6
2020-03-13,-16
2020-03-14,-23
2020-03-15,-35
2020-03-16,-24
2020-03-17,-25
2020-03-18,-33
2020-03-19,-34
2020-03-20,-34
2020-03-21,-37
2020-03-22,-49
2020-03-23,-35
2020-03-24,-36
2020-03-25,-35
2020-03-26,-36
2020-03-27,-35
2020-03-28,-40
2020-03-29,-53
2020-03-30,-37
2020-03-31,-36
2020-04-01,-45
2020-04-02,-46
2020-04-03,-46
2020-04-04,-47
2020-04-05,-58
2020-04-06,-42
2020-04-07,-42
2020-04-08,-40
2020-04-09,-28
2020-04-10,-84
2020-04-11,-57
