date,GR,Crete Region,Decentralized Administration of Attica,Decentralized Administration of Epirus and Western Macedonia,Decentralized Administration of Macedonia and Thrace,Decentralized Administration of the Aegean,Decentralized Administration of Thessaly and Central Greece
2020-02-15,-12,-31,-22,22,2,-27,-9
2020-02-16,22,-21,18,44,45,3,10
2020-02-17,24,3,31,15,18,17,15
2020-02-18,12,13,9,24,20,9,19
2020-02-19,17,23,27,8,20,14,15
2020-02-20,7,33,1,0,25,6,-4
2020-02-21,-2,-18,-7,28,13,-6,-7
2020-02-22,-12,-21,-25,7,7,-8,-14
2020-02-23,22,-14,12,31,46,-1,10
2020-02-24,27,16,36,8,16,21,16
2020-02-25,13,12,16,20,17,10,15
2020-02-26,15,24,22,0,23,9,16
2020-02-27,8,24,12,-8,7,7,9
2020-02-28,7,15,5,-6,2,23,15
2020-02-29,19,2,-10,63,18,-3,53
2020-03-01,84,53,44,133,81,44,131
2020-03-02,152,123,145,163,112,95,193
2020-03-03,5,4,1,7,9,11,18
2020-03-04,0,11,6,-2,-5,0,3
2020-03-05,11,20,17,10,11,8,15
2020-03-06,9,15,10,2,12,25,8
2020-03-07,5,3,1,-11,14,25,17
2020-03-08,5,14,11,-4,-14,12,-2
2020-03-09,-9,-17,-21,-4,-17,4,-9
2020-03-10,1,5,6,6,-8,11,8
2020-03-11,13,21,10,19,27,18,16
2020-03-12,15,12,16,19,26,20,16
2020-03-13,6,-1,4,9,12,20,6
2020-03-14,1,-4,1,-7,-2,18,6
2020-03-15,-25,5,-26,-32,-64,17,-46
2020-03-16,-28,-50,-39,-36,-25,-10,-26
2020-03-17,-25,-37,-30,-14,-24,-16,-11
2020-03-18,-22,-22,-24,-18,-30,-10,-10
2020-03-19,-23,-36,-25,-17,-26,-14,-5
2020-03-20,-26,-38,-32,-21,-29,-4,-16
2020-03-21,-32,-36,-40,-34,-41,4,-20
2020-03-22,-41,-37,-54,-49,-42,-9,-35
2020-03-23,-61,-56,-68,-68,-75,-32,-61
2020-03-24,-60,-56,-65,-57,-73,-34,-50
2020-03-25,-67,-61,-72,-71,-76,-37,-68
2020-03-26,-65,-57,-74,-62,-69,-42,-61
2020-03-27,-67,-57,-77,-64,-75,-39,-64
2020-03-28,-63,-57,-67,-67,-75,-37,-56
2020-03-29,-55,-57,-64,-55,-56,-34,-49
2020-03-30,-32,-50,-39,-43,-43,-4,-23
2020-03-31,-48,-58,-51,-46,-57,-31,-33
2020-04-01,-54,-37,-57,-65,-71,-21,-52
2020-04-02,-49,-48,-48,-48,-64,-31,-37
2020-04-03,-58,-51,-65,-62,-61,-25,-55
2020-04-04,-74,-66,-82,-68,-80,-47,-72
2020-04-05,-70,-54,-78,-69,-82,-43,-73
2020-04-06,-50,-54,-61,-54,-56,-26,-51
2020-04-07,-53,-65,-66,-45,-47,-31,-38
2020-04-08,-40,-56,-47,-40,-36,-29,-23
2020-04-09,-33,-36,-37,-35,-36,-19,-20
2020-04-10,-35,-37,-39,-36,-40,-13,-27
2020-04-11,-39,-41,-43,-44,-46,-13,-30
