date,LB
2020-02-15,0
2020-02-16,1
2020-02-17,-2
2020-02-18,0
2020-02-19,1
2020-02-20,4
2020-02-21,1
2020-02-22,-2
2020-02-23,4
2020-02-24,-4
2020-02-25,-2
2020-02-26,0
2020-02-27,1
2020-02-28,7
2020-02-29,2
2020-03-01,7
2020-03-02,3
2020-03-03,7
2020-03-04,8
2020-03-05,9
2020-03-06,-3
2020-03-07,4
2020-03-08,3
2020-03-09,1
2020-03-10,3
2020-03-11,21
2020-03-12,-1
2020-03-13,-16
2020-03-14,-15
2020-03-15,-16
2020-03-16,-27
2020-03-17,-36
2020-03-18,-33
2020-03-19,-36
2020-03-20,-34
2020-03-21,-31
2020-03-22,-47
2020-03-23,-42
2020-03-24,-40
2020-03-25,-40
2020-03-26,-38
2020-03-27,-42
2020-03-28,-47
2020-03-29,-48
2020-03-30,-39
2020-03-31,-33
2020-04-01,-35
2020-04-02,-31
2020-04-03,-30
2020-04-04,-34
2020-04-05,-39
2020-04-06,-38
2020-04-07,-31
2020-04-08,-29
2020-04-09,-29
2020-04-10,-39
2020-04-11,-31
