date,QA
2020-02-15,7
2020-02-16,16
2020-02-17,9
2020-02-18,8
2020-02-19,7
2020-02-20,8
2020-02-21,12
2020-02-22,10
2020-02-23,18
2020-02-24,9
2020-02-25,10
2020-02-26,-2
2020-02-27,5
2020-02-28,6
2020-02-29,6
2020-03-01,13
2020-03-02,1
2020-03-03,3
2020-03-04,-4
2020-03-05,4
2020-03-06,3
2020-03-07,5
2020-03-08,9
2020-03-09,-1
2020-03-10,1
2020-03-11,-4
2020-03-12,-12
2020-03-13,-26
2020-03-14,-14
2020-03-15,-3
2020-03-16,-11
2020-03-17,-12
2020-03-18,-23
2020-03-19,-21
2020-03-20,-40
2020-03-21,-25
2020-03-22,-33
2020-03-23,-37
2020-03-24,-36
2020-03-25,-41
2020-03-26,-44
2020-03-27,-66
2020-03-28,-45
2020-03-29,-34
2020-03-30,-41
2020-03-31,-39
2020-04-01,-44
2020-04-02,-47
2020-04-03,-66
2020-04-04,-45
2020-04-05,-35
2020-04-06,-38
2020-04-07,-37
2020-04-08,-43
2020-04-09,-44
2020-04-10,-67
2020-04-11,-48
