date,NG,Abia,Adamawa,Akwa Ibom,Anambra,Bauchi,Bayelsa,Benue,Borno,Cross River,Delta,Ebonyi,Edo,Ekiti,Enugu,Federal Capital Territory,Gombe,Imo,Jigawa,Kaduna,Kano,Katsina,Kebbi,Kogi,Kwara,Lagos,Nasarawa,Niger,Ogun State,Ondo,Osun,Oyo,Plateau,Rivers,Sokoto,Taraba,Yobe,Zamfara
2020-02-15,3,0,-6,3,-3,1,-18,11,0,5,-2,8,9,35,-3,4,-17,2,4,1,-3,-6,11,5,-7,6,1,4,-2,23,0,3,5,1,12,-11,0,0
2020-02-16,2,-10,-2,-1,-2,6,-18,1,-11,3,0,-2,8,34,2,2,-15,-1,-2,-5,-2,-4,0,6,-4,6,-4,-3,-5,19,-2,1,-3,2,18,-29,-9,3
2020-02-17,0,-3,-2,-8,-7,-2,-14,1,-8,2,-5,-2,4,22,-8,2,-17,-10,-8,-4,-6,-6,0,-8,-7,0,3,-1,-6,17,-9,-7,1,0,19,-24,0,7
2020-02-18,0,-8,-4,-7,-8,4,-16,-3,-5,5,-3,6,-3,24,-8,1,-14,-10,-15,-3,-1,-5,-3,-8,-11,2,-3,-2,-8,9,-6,-5,-5,-3,17,-28,4,1
2020-02-19,-2,-15,-5,-6,-4,10,-19,4,-9,-3,-3,-6,-5,26,-9,-1,-13,-5,-12,-5,-1,-7,-8,-11,-14,-1,-5,-5,-9,14,-12,-7,-2,-7,9,-24,-2,-13
2020-02-20,-2,-9,-3,-3,-3,2,-19,3,-10,12,-3,-6,-1,23,-7,0,-16,-3,-11,-4,-6,-8,2,-1,-15,-1,2,0,-6,10,-11,-2,0,-6,21,-24,-7,0
2020-02-21,-1,-14,2,-4,-5,9,-19,6,-11,4,-7,-7,-5,40,-8,2,-16,-3,7,-5,-6,-4,9,-13,-15,0,-4,-2,-8,14,-10,-5,5,-2,23,-2,-15,9
2020-02-22,1,-5,4,-1,-6,10,-18,1,-10,8,-5,8,-1,40,-9,1,-8,-3,11,2,0,-6,-3,-1,-8,3,1,0,-3,23,-3,-2,6,1,16,0,-15,-6
2020-02-23,-1,-11,-1,-2,-9,-6,-23,-6,-10,-2,-2,-5,-5,28,-8,-1,-15,-5,4,-6,-8,0,-5,-4,-13,3,-3,-6,-8,10,-4,-2,-5,3,26,0,2,1
2020-02-24,-3,-10,-1,-9,-8,11,-17,2,-29,-2,-9,8,-12,24,-14,-1,-17,-5,-11,-13,-8,-5,-2,-15,-12,-2,-4,-2,-9,12,-13,-10,5,-2,26,-24,0,0
2020-02-25,0,-20,1,-9,-10,9,-13,2,-16,4,-7,14,-12,24,-15,1,-24,-5,-9,-5,-2,-2,0,-14,-10,2,3,-3,-7,13,-4,-8,6,-2,28,-17,-13,-3
2020-02-26,-2,-14,2,-9,-7,10,-22,-4,-11,-2,-8,0,-12,25,-11,0,-23,-7,-1,-4,1,0,0,-16,-12,0,-5,0,-8,7,-7,-7,6,-5,26,-13,-2,-3
2020-02-27,1,-14,4,-5,-3,15,-16,1,-2,3,-3,-1,-6,5,-11,4,-19,-1,-2,2,1,5,5,-4,-16,2,4,5,-3,13,-3,0,8,-3,31,13,-9,3
2020-02-28,1,-11,1,0,-3,20,-12,-1,2,7,-5,-7,-9,19,-10,4,-27,-6,0,-3,0,19,11,-5,-19,2,5,4,-4,13,-11,-3,12,0,28,4,4,-1
2020-02-29,1,-8,8,-4,-6,15,-16,-1,9,7,-6,2,-7,13,-40,4,-20,-6,-13,6,-2,16,12,-7,-9,3,5,10,-2,14,0,-6,9,-1,36,2,9,0
2020-03-01,1,-9,10,0,-14,14,-4,-6,-1,-1,-5,-15,-8,20,-6,3,-12,-5,-2,0,2,11,8,-11,-12,3,-1,5,-5,17,2,-2,-4,3,32,0,2,-5
2020-03-02,-1,-6,3,-6,-9,11,-8,1,-11,-2,-5,-3,-15,-4,-10,2,-27,-6,-22,-2,-4,2,2,-20,-17,0,2,-2,-5,13,-11,-11,5,2,37,-2,0,-6
2020-03-03,1,-10,6,-2,-13,6,-4,-3,-14,24,-4,6,-15,-1,-15,5,-19,-6,-12,-2,-1,9,0,-18,-18,3,3,-5,-5,7,3,-5,11,4,29,6,-11,4
2020-03-04,1,-13,4,0,-9,15,-17,4,-11,27,-5,3,-15,5,-14,6,-21,3,-16,-2,3,2,5,-13,-15,1,5,2,-4,11,0,-5,13,-2,27,-13,4,7
2020-03-05,3,-11,3,2,-3,17,-8,3,-10,32,-3,23,-10,-1,-5,8,-19,2,3,3,0,7,15,-4,-11,3,5,7,2,13,6,1,11,3,37,-14,2,21
2020-03-06,1,-15,4,-2,-6,25,-13,7,-5,35,-6,16,-10,-1,-7,8,-19,-5,3,-1,-1,11,11,-14,-20,2,5,0,-9,22,-5,-9,18,2,32,9,-7,16
