date,BR,Federal District,State of Acre,State of Alagoas,State of Amapá,State of Amazonas,State of Bahia,State of Ceará,State of Espírito Santo,State of Goiás,State of Maranhão,State of Mato Grosso,State of Mato Grosso do Sul,State of Minas Gerais,State of Pará,State of Paraíba,State of Paraná,State of Pernambuco,State of Piauí,State of Rio de Janeiro,State of Rio Grande do Norte,State of Rio Grande do Sul,State of Rondônia,State of Roraima,State of Santa Catarina,State of São Paulo,State of Sergipe,State of Tocantins
2020-02-15,6,8,5,1,4,6,5,4,7,8,2,3,5,8,5,4,6,5,3,6,6,2,6,6,3,8,5,9
2020-02-16,0,0,-1,-1,2,1,0,-1,-2,1,1,2,0,1,1,-1,0,-1,1,-1,0,-3,1,-2,-3,1,0,2
2020-02-17,19,22,20,15,11,16,14,13,23,18,12,12,16,19,15,17,21,19,12,20,17,10,21,26,17,18,10,20
2020-02-18,15,22,19,14,12,18,12,11,23,14,13,11,15,17,12,16,19,17,11,15,16,11,20,22,16,14,10,20
2020-02-19,14,20,19,14,7,15,12,10,21,13,10,11,20,16,11,14,19,18,10,14,14,12,18,19,17,14,10,18
2020-02-20,15,21,20,10,7,16,8,8,21,13,10,10,18,19,9,11,20,13,12,15,13,11,19,20,17,15,10,18
2020-02-21,13,22,19,11,8,16,-3,11,19,16,9,11,18,17,13,14,20,5,10,2,16,10,21,22,18,16,9,20
2020-02-22,-4,-3,1,-5,-2,1,-9,-12,-6,-1,-3,-2,1,-4,0,-5,-1,-17,-3,-10,-6,-6,-2,-1,1,0,-7,1
2020-02-23,-3,-7,-2,-3,0,-2,-6,-10,-8,-4,-1,-4,-1,-2,0,-7,-1,-8,-2,-2,-6,-3,-3,-7,-2,1,-8,-5
2020-02-24,-45,-61,-34,-55,-36,-35,-52,-59,-58,-48,-46,-28,-28,-52,-35,-52,-39,-56,-49,-56,-60,-41,-25,-37,-31,-43,-59,-42
2020-02-25,-61,-71,-52,-62,-62,-60,-61,-65,-64,-63,-57,-57,-55,-62,-57,-60,-63,-63,-60,-66,-61,-56,-53,-57,-40,-61,-68,-57
