date,CH,Aargau,Appenzell Ausserrhoden,Appenzell Innerrhoden,Basel City,Basel-Landschaft,Canton of Bern,Canton of Zug,Fribourg,Geneva,Glarus,Grisons,Jura,Lucerne,Neuchâtel,Nidwalden,Obwalden,Schaffhausen,Schwyz,Solothurn,St. Gallen,Thurgau,Ticino,Uri,Valais,Vaud,Zurich
2020-02-15,31,27,0,NA,48,0,28,0,20,38,0,37,0,44,0,0,0,0,0,35,61,54,32,0,23,33,48
2020-02-16,30,27,0,NA,79,41,29,0,-4,60,0,14,0,12,0,2,0,0,2,33,27,53,-7,0,24,24,17
2020-02-17,-3,-5,0,0,-18,0,-3,0,-12,6,0,31,0,-12,0,0,0,0,0,0,3,0,-2,0,48,-19,-17
2020-02-18,34,18,0,0,6,0,25,0,23,62,0,46,0,24,0,0,0,0,0,0,39,22,34,0,81,27,21
2020-02-19,-11,-10,0,0,-2,0,-25,0,-23,6,0,6,0,-5,0,0,0,0,0,-20,-8,-2,22,0,7,-32,-23
2020-02-20,46,27,0,0,18,0,16,0,12,43,0,25,0,281,0,0,0,0,0,0,18,128,34,0,80,37,6
2020-02-21,26,16,0,0,9,0,19,0,24,21,0,18,0,11,0,0,0,0,0,0,15,15,41,0,72,38,21
2020-02-22,57,65,0,NA,48,0,44,0,53,66,0,41,0,152,0,0,0,0,0,0,64,108,70,0,61,37,75
2020-02-23,27,4,0,NA,12,1,12,0,9,129,0,-5,0,-2,25,-43,-31,0,-39,43,-16,66,65,0,55,49,-7
2020-02-24,74,66,0,0,35,0,73,0,0,51,0,63,0,325,0,0,0,0,0,0,49,0,31,0,106,69,56
2020-02-25,17,-9,0,0,-5,0,1,0,6,13,0,36,0,120,0,0,0,0,0,0,47,13,5,0,67,-14,-4
2020-02-26,-20,-16,0,0,-17,-21,-24,0,-18,-18,0,10,0,-9,0,0,0,0,0,-24,-13,-14,-5,0,-4,-36,-28
2020-02-27,-22,-23,0,0,-31,-30,-22,0,-26,-23,0,2,0,-32,0,0,0,0,0,-38,-25,-32,-11,0,12,-35,-34
2020-02-28,16,16,0,0,-22,0,15,0,0,23,0,19,0,0,0,0,0,0,0,0,12,9,15,0,42,26,21
2020-02-29,-14,1,0,NA,-24,-8,-12,0,-22,-19,0,-16,0,-6,0,0,0,0,-12,-8,7,9,-22,0,-14,-29,13
2020-03-01,29,43,0,NA,56,17,26,0,-2,29,0,-8,0,22,27,-2,0,0,10,28,39,92,-23,0,1,15,55
2020-03-02,-24,-5,0,0,-49,-25,-20,0,-12,-37,0,-13,0,-21,0,0,0,0,0,0,-9,9,-28,0,-14,-29,-17
2020-03-03,7,17,0,0,-18,0,1,0,13,22,0,-2,0,-6,0,0,0,0,0,0,22,13,2,0,15,3,18
2020-03-04,8,19,0,0,-15,0,8,0,9,5,0,12,0,9,0,0,0,0,0,0,18,15,27,0,7,0,9
2020-03-05,-36,-28,0,0,-67,-28,-39,0,-35,-33,0,-20,0,-40,0,0,0,0,-46,-36,-35,-40,-16,0,-34,-42,-42
2020-03-06,-12,-18,0,0,-51,-12,-12,0,-13,3,0,-11,0,-28,0,0,0,0,0,-19,-13,-28,11,0,-3,4,-19
2020-03-07,-3,10,0,NA,-11,17,-12,0,-5,24,0,-27,0,-16,0,-16,0,0,-17,21,-10,6,48,0,-1,1,13
2020-03-08,47,50,0,NA,48,41,42,0,14,96,0,11,0,23,0,14,0,0,20,40,43,84,10,0,24,50,46
2020-03-09,-17,-5,0,0,-52,0,-11,0,2,-8,0,-19,0,-27,0,0,0,0,0,0,-16,-8,-3,0,-6,-11,-14
