date,total,Al Ahmadi Governorate,Al Asimah Governate,Al Farwaniyah Governorate,Al Jahra Governorate,Hawalli Governorate,Mubarak Al-Kabeer Governorate
2020-02-29,-0.37052864178165734,NA,-9.109772489431396,NA,4.666368746618999,5.353072363464503,NA
2020-03-01,3.99789272720638,3.40205609259952,-0.6928640342792867,4.626393264052674,10.238728038196482,5.805431091115827,9.990656
2020-03-02,0.9310923594985424,4.146285718023566,4.771466150313373,-3.028288764715031,8.646894183503068,8.598673895547034,5.2161536
2020-03-03,0.38086527771118855,6.271973672540256,2.15429923798041,-6.005056548555893,7.101159536185524,19.15917647348809,8.8116224
2020-03-04,-1.736554836161244,5.757031736592167,NA,-7.3894443864895765,15.07726321236211,7.897469641810334,10.5081856
2020-03-05,-3.5391051171033405,5.8535236392466325,-1.7268893357832291,-8.813904098436502,12.600136416021824,12.15388555892184,2.738432
2020-03-06,-8.607237225936567,-2.7753364080319027,-24.050911021171864,-10.516004651760893,12.852270856363335,16.532795203990098,-1.4903296
2020-03-07,-8.622344616910498,4.253286639779013,-6.831850207990366,-18.1439720978531,10.888820942211348,13.999972136159867,3.3337856
2020-03-08,-10.366850711479074,5.953837003392365,-4.506012018231266,-21.231414581349586,7.313780370204858,11.60989766468869,4.995328
2020-03-09,-9.900111842968704,2.902400002616496,NA,-21.906911886144243,1.4413058306089326,15.386948362945803,7.4506752
2020-03-10,-11.673242467803671,4.599128904738582,-5.027337100731865,-25.03633442813079,4.26088388174142,18.224558974353474,9.5460864
2020-03-11,-11.543636955764166,6.990408432898256,-2.5050436868686794,-25.15750414240893,10.553896088623372,9.213071570416744,12.0101888
2020-03-12,-21.449314679618002,-6.244268076728577,-17.27080999416501,-31.076692389507876,8.400404544064726,-2.4305842082757745,-5.4778368
2020-03-13,-36.676769655498944,-21.013261375098693,-53.532611091113736,-42.30635803559984,-8.032551685208269,-17.804993843163015,-9.686169600000001
2020-03-14,-37.50370052986144,-17.86246637554991,-35.679143651801,-48.465977526778246,-18.666415786626523,-23.05872089970196,-19.3334272
2020-03-15,-35.9349172460949,-16.58609823746708,-39.860285811635755,-46.098874683281714,-19.01451184232189,-15.629042266230416,-16.413081599999998
2020-03-16,-36.60997908487736,-20.732383955490647,-39.63603936070719,-46.13035972714926,-17.293788367006137,-17.197347791094067,-22.3529984
2020-03-17,-40.21348939508009,-26.760739457962696,-42.37203772566897,-50.07266885626158,-19.883811181409786,-17.28994147521886,-23.497984000000002
2020-03-18,-43.735896869528034,-30.43125322032365,-47.2287941927885,-52.80614311930776,-13.569160571065689,-25.885721818136997,-26.2714368
2020-03-19,-43.459193076952886,-26.14739488861451,-42.83107212735607,-54.55499419231427,-12.600136416021824,-23.49757638175175,-21.9103744
2020-03-20,-52.3335925853758,-38.85566507781946,-63.618909792067385,-60.93119262161186,-11.246324999411998,-30.5231221647203,-23.843328000000003
2020-03-21,-40.701696661290256,-23.816303378942273,-34.160209358118195,-54.187668680526215,-1.5551426488228235,-22.646871908855232,-19.3334272
2020-03-22,-61.4568664819482,-49.3331571214979,-64.81680750001912,-66.91716732539955,-43.88080062092809,-51.79845012747706,-50.6663424
2020-03-23,-49.84246332635878,-41.880351848156465,-52.114300204898875,-55.391733085400304,-25.941623350659732,-42.99433399527814,-40.235008
2020-03-24,-50.26706052531029,-40.55908153755126,-53.50290322795653,-55.99376528783735,-29.82618717218994,-38.31931746451914,-41.1212288
2020-03-25,-49.64845262121989,-38.65503834952799,-51.164606902034734,-56.5423683249234,-18.092527694804428,-40.80198562011511,-38.2816256
2020-03-26,-52.26282638555055,-40.19699806125381,-51.81242998249504,-58.961946241532516,-26.60018345602935,-44.158506669638804,-39.0267904
