date,NL,Drenthe,Flevoland,Friesland,Gelderland,Groningen,Limburg,North Brabant,North Holland,Overijssel,South Holland,Utrecht,Zeeland
2020-02-15,1,0,-3,-3,1,-1,6,2,-1,-1,2,0,4
2020-02-16,-8,-10,-13,-19,-4,-17,1,-2,-17,-3,-9,-10,-9
2020-02-17,-1,-2,-6,-2,0,-3,3,1,-3,-4,1,-1,3
2020-02-18,4,0,-2,-2,6,-3,6,5,2,0,5,3,8
2020-02-19,0,-4,-7,-5,1,-7,6,4,-4,-6,2,-1,4
2020-02-20,-1,-1,-5,-4,2,-5,7,5,-7,-3,0,-2,4
2020-02-21,4,3,-1,-2,4,0,16,11,-1,1,4,-1,12
2020-02-22,-2,-1,-3,1,-1,-4,1,-1,-3,0,-2,-6,10
2020-02-23,-11,0,-6,0,-14,-6,-24,-16,-4,-5,-9,-17,-2
2020-02-24,-7,-2,-5,-6,-7,-6,-16,-6,-7,-1,-9,-13,9
2020-02-25,8,11,10,8,6,8,-1,4,13,10,6,3,14
2020-02-26,0,4,4,7,-2,2,4,0,4,4,-4,-8,3
2020-02-27,-2,7,1,3,-2,3,-2,-3,0,2,-5,-7,0
2020-02-28,2,6,5,6,-1,7,7,1,4,7,-2,-6,2
2020-02-29,1,3,2,4,1,3,2,0,3,4,0,-3,1
2020-03-01,4,2,-2,6,4,5,6,4,3,8,4,-2,-1
2020-03-02,-2,0,-3,0,-2,2,1,-1,-4,0,-1,-7,0
2020-03-03,6,1,2,4,5,4,6,4,6,5,7,5,5
2020-03-04,3,0,1,4,2,1,5,2,4,2,4,0,3
2020-03-05,-1,2,-2,1,-1,1,-1,-2,0,1,-2,-3,-4
2020-03-06,4,2,3,4,3,2,6,4,4,4,4,2,3
2020-03-07,2,1,-1,2,1,2,4,1,3,1,3,0,5
2020-03-08,1,2,0,4,0,0,3,1,2,4,3,-5,3
2020-03-09,2,4,0,3,2,3,4,2,1,2,2,-1,5
2020-03-10,2,-2,-2,1,2,-1,2,3,1,1,1,-2,3
2020-03-11,4,4,2,5,4,6,4,6,5,3,5,2,1
2020-03-12,12,13,11,13,11,11,11,11,12,12,14,12,13
2020-03-13,24,23,27,21,22,25,28,19,26,24,27,21,28
2020-03-14,8,6,12,5,8,6,9,4,9,7,11,8,16
2020-03-15,11,11,13,6,12,7,13,7,10,17,14,7,8
2020-03-16,16,17,18,13,18,12,18,8,15,20,21,16,21
2020-03-17,11,8,11,2,13,2,13,7,10,10,16,13,15
2020-03-18,3,3,4,-1,4,-4,8,3,2,2,5,3,8
2020-03-19,1,1,1,-5,4,-6,2,0,-1,2,4,1,3
2020-03-20,-3,-4,-2,-6,-2,-6,0,-4,-5,-3,1,-3,-4
2020-03-21,-9,-9,-8,-11,-6,-12,-9,-8,-11,-11,-6,-7,-10
2020-03-22,-17,-21,-16,-17,-15,-21,-18,-16,-20,-17,-14,-19,-29
2020-03-23,-9,-8,-7,-9,-6,-12,-7,-10,-13,-8,-6,-10,-8
2020-03-24,-9,-11,-9,-15,-6,-16,-8,-10,-12,-11,-6,-9,-11
2020-03-25,-15,-16,-12,-17,-13,-20,-12,-14,-17,-15,-13,-17,-13
2020-03-26,-14,-14,-12,-18,-12,-20,-13,-13,-17,-14,-11,-14,-13
2020-03-27,-14,-16,-12,-19,-13,-18,-12,-14,-16,-14,-12,-15,-14
2020-03-28,-19,-19,-16,-21,-16,-22,-20,-18,-21,-20,-16,-18,-20
2020-03-29,-29,-30,-25,-28,-28,-31,-34,-28,-31,-29,-26,-32,-40
2020-03-30,-21,-21,-20,-22,-18,-25,-16,-20,-24,-21,-19,-23,-20
2020-03-31,-13,-14,-13,-18,-10,-19,-14,-13,-15,-14,-11,-13,-15
2020-04-01,-16,-17,-16,-18,-14,-21,-13,-14,-19,-16,-16,-19,-17
2020-04-02,-16,-14,-15,-19,-13,-22,-14,-15,-19,-16,-15,-18,-15
2020-04-03,-13,-13,-11,-17,-12,-17,-9,-12,-16,-13,-11,-16,-15
2020-04-04,-16,-17,-14,-18,-13,-19,-16,-14,-19,-16,-14,-16,-18
2020-04-05,-16,-15,-15,-15,-14,-21,-15,-13,-21,-14,-14,-20,-27
2020-04-06,-16,-14,-15,-17,-13,-18,-12,-15,-19,-15,-15,-18,-17
2020-04-07,-8,-8,-8,-13,-5,-16,-6,-8,-11,-9,-7,-9,-10
2020-04-08,-10,-9,-8,-13,-8,-15,-6,-9,-12,-9,-10,-12,-9
2020-04-09,-4,0,-2,-8,0,-11,-1,-3,-9,-2,-3,-5,-3
2020-04-10,-3,-2,-4,-9,-2,-10,3,-1,-6,-2,-2,-6,-7
2020-04-11,-4,1,-4,-5,0,-7,-4,-1,-9,-4,-3,-4,-7
