date,KZ
2020-02-15,1
2020-02-16,-7
2020-02-17,-2
2020-02-18,-4
2020-02-19,-6
2020-02-20,1
2020-02-21,6
2020-02-22,2
2020-02-23,-1
2020-02-24,-1
2020-02-25,3
2020-02-26,0
2020-02-27,-5
2020-02-28,3
2020-02-29,6
2020-03-01,10
2020-03-02,7
2020-03-03,4
2020-03-04,5
2020-03-05,9
2020-03-06,8
2020-03-07,1
2020-03-08,9
2020-03-09,-3
2020-03-10,5
2020-03-11,6
2020-03-12,9
2020-03-13,8
2020-03-14,8
2020-03-15,7
2020-03-16,5
2020-03-17,4
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,-7
2020-03-22,-5
2020-03-23,-14
2020-03-24,-12
2020-03-25,-14
2020-03-26,-6
2020-03-27,-9
2020-03-28,-19
2020-03-29,-20
2020-03-30,-18
2020-03-31,-19
2020-04-01,-25
2020-04-02,-26
2020-04-03,-25
2020-04-04,-28
2020-04-05,-30
2020-04-06,-26
2020-04-07,-30
2020-04-08,-34
2020-04-09,-31
2020-04-10,-27
2020-04-11,-28
