date,total,Harju County,Ida-Viru County,Lääne-Viru County,Pärnu County
2020-02-29,-0.23982218106797046,-0.24522094756923396,6.444621078397361,NA,NA
2020-03-01,1.684295713903106,0.15038940925144426,3.9211658317242124,7.313794831683834,5.125212071399903
2020-03-02,0.14880056119068794,-0.7030944356086629,3.8745431019935306,2.109967249264932,-0.8039924589728789
2020-03-03,1.0724721298584157,0.027778935466827283,3.858030885213914,2.0919576456099302,2.978993538318364
2020-03-04,0.5833298595613671,0.4253050809403901,3.0071660676289724,1.6881633741872613,NA
2020-03-05,1.0867189921000773,0.6274207838197197,3.8745431019935306,2.1184981141541432,-0.2705559348810881
2020-03-06,0.770122053396486,0.6839365490798165,3.3286686413967987,0.8701482186995542,0.5612596521469381
2020-03-07,4.202032868943417,4.78085058327362,7.088597532802403,5.894827638445019,7.211946675535956
2020-03-08,5.712200266559547,3.7683562802240873,12.549284752508502,16.456038371288628,8.968641415845433
2020-03-09,-0.43136332898364327,-0.8726417313889536,0.4302889431394169,NA,0.5363147787181853
2020-03-10,0.3727928953234788,-0.42243139796106316,3.215025737678262,NA,1.0831831577331508
2020-03-11,-0.65852163250347,-1.559451963448097,2.148530795088917,0.8436077501553412,NA
2020-03-12,-1.690627652677178,-2.7932198559058055,0.64591906814382,NA,NA
2020-03-13,-12.15494796917763,-12.524468318233334,-3.9940138469284028,-7.829438220542829,-6.456884545211785
2020-03-14,-10.446115992524998,-9.193869745193389,-4.510749101443459,-13.263599154970438,-8.242361831785205
2020-03-15,-14.207287624323662,-13.41435214749825,-8.6271476139149,-10.97069224752575,-15.37563621419971
2020-03-16,-39.22636070537497,-40.998835066057744,-27.5550045777023,-35.02204399184218,-36.97501834887325
2020-03-17,-44.21671995169033,-46.66956947859627,-31.296478638589505,-36.817317114082876,-42.52141501393555
2020-03-18,-46.109178152791046,-48.41676873002707,-33.08174066452686,-40.929193990682734,-44.83745056997437
2020-03-19,-45.64061468350973,-48.366000330725626,-33.15167475912288,-39.83345178935737,-43.21699321531424
2020-03-20,-44.735147438817464,-47.56999014545206,-31.728710195467702,-38.71211699336437,-43.79360355880195
2020-03-21,-23.71390220124575,-24.88417881231859,-16.11106704255871,-20.631422797619273,-28.84874612035262
2020-03-22,-24.16663582359189,-25.92445205083495,-14.117945346572066,-18.284487079209583,-28.18770697449067
2020-03-23,-45.66752542329954,-48.39856873782467,-31.429547679695826,-37.97561899126246,-43.94135396295686
2020-03-24,-47.12149686429578,-50.18599955096604,-33.86849922873212,-40.164259772283444,-44.68874074761065
2020-03-25,-47.7404438794613,-50.627588835455946,-33.94037593706692,-39.66378236544972,-45.648158956408835
2020-03-26,-48.46386788439901,-51.67169365127807,-35.08943196355435,-40.680851035019025,-46.99806037618788
2020-03-27,-49.044031774573334,-52.537630122381934,-36.61049852101784,-39.147191102714146,-46.8819707729233
2020-03-28,-29.83688699577321,-31.748449555604257,-25.77751300672006,-26.526250436064295,-35.03027763963932
2020-03-29,-31.416705719904126,-34.21502744619323,-28.235890693144132,-20.112935787130546,-35.875525081590524
2020-03-30,-50.19011269268034,-53.74553486802569,-38.103397179269045,-41.3509978657604,-47.15636438063959
2020-03-31,-50.38481980998305,-54.03960842624349,-39.22817053402174,-41.83725716444545,-46.85510706307696
2020-04-01,-50.34366220795158,-53.632503337505504,-40.384997015464286,-42.19555348979232,-46.18831140796222
2020-04-02,-50.834387462942146,-54.2934504227507,-41.977940281262576,-43.223996645880575,-47.268616311068975
2020-04-03,-50.600105728301486,-54.02524001134685,-41.04839960725711,-42.191761994286004,-49.12796879971986
2020-04-04,-31.337556485228234,-34.199701136970155,-25.133536552315018,-28.000194314144693,-29.87916127660187
2020-04-05,-30.83100138330249,-34.66715356827401,-26.667230099080566,-21.9413844950515,-30.750313010190624
2020-04-06,-50.02627377690123,-53.74553486802569,-40.04018307683111,-42.61735736486999,-46.08469424141201
2020-04-07,-50.2352277564456,-54.12390312697041,-40.299522010958036,-41.83725716444545,-45.771923905343805
2020-04-08,-49.864809338162395,-53.547250742452135,-40.170338197329265,-40.929193990682734,-45.648158956408835
2020-04-09,-50.532828878826976,-54.37870301780407,-41.33202121311875,-41.529198154557264,-48.07932469750344
2020-04-10,-79.53310846407594,-81.72275446042653,-73.22099704203568,-74.81378933063007,-80.2879533850673
2020-04-11,-34.999791573682025,-37.99966792996684,-29.00030919935343,-28.000194314144693,-33.999862483390075
