date,total,Capital Region of Denmark,Central Denmark Region,North Denmark Region,Region Zealand,Region of Southern Denmark
2020-02-29,0.3119661763727496,0.5608865625545059,-0.1863141678409625,-0.7571025365510152,-0.6664435036499193,1.7590326908348373
2020-03-01,0.9835824783565706,2.2906876594207177,-0.6130025729482446,-0.6307592561151947,0.908351977715098,1.2177918628856566
2020-03-02,1.817647488762471,2.1935186322886335,1.9963611352078263,3.642897919232824,0.9743270160965104,1.4731660563546363
2020-03-03,2.39955330997589,2.2175703716777635,2.16240277701428,3.1614534490872352,1.6159103603563323,1.7933366869724614
2020-03-04,2.17406480425569,1.8943149942878597,1.8583148864966468,2.7728521471406964,1.4112921253762998,2.008689551614213
2020-03-05,1.8726052607659607,1.7269148881395164,1.4769983253713608,2.6809661250055545,1.077592293563069,1.965809556442183
2020-03-06,0.9262000987646917,1.3680629364537005,0.7018155441470453,2.799652236930113,0.12621311690357154,0.9595590030718748
2020-03-07,0.5196742264447616,0.9822730366520591,-0.37166297729932934,1.3246901524482995,0.9332121371051955,0.37067373604266074
2020-03-08,-2.154667943548576,-1.391152606267265,-3.474324818961783,-2.7345663045843875,-1.3625279665726473,-2.334577514921642
2020-03-09,0.22387210066127367,-0.27803810733833995,0.5174320930712741,1.8846205998343224,-0.29545343275154246,0.8880923444518247
2020-03-10,0.3644993407878499,-0.6465107547798079,0.20465597711028005,1.3065043772340528,-0.029640959272808465,0.5507697157651874
2020-03-11,-1.1541132120732807,-2.9160328835380915,-1.0512752786466744,0.38381557162700014,-1.4409330846491082,-0.16389687043531528
2020-03-12,-27.93471222836196,-32.80464838762185,-27.65462158621789,-24.76615440361254,-25.34875713811049,-23.831748427832764
2020-03-13,-44.29919704493044,-50.09207659095276,-43.319492060597675,-40.730393603529585,-40.31361693097259,-38.97982138893862
2020-03-14,-16.075148311020698,-18.093642507654533,-16.46515257355159,-16.270525940367516,-12.800113605970546,-14.351457939687695
2020-03-15,-22.645026673026088,-23.233980249899343,-24.628223056780495,-23.979380339080382,-19.67777231723865,-20.704367446619365
2020-03-16,-50.846445736110866,-58.00317471082532,-48.96683859878229,-45.93631104512373,-47.64353931114517,-44.73622251858827
2020-03-17,-52.458809782389714,-60.12934847282439,-50.73537515569754,-48.144447014558864,-48.75268488393413,-46.26656190183895
2020-03-18,-54.75814597871218,-62.54799138579527,-52.794484585774086,-49.915167232788164,-51.45096833773624,-48.451535878049285
2020-03-19,-55.70859215336077,-63.47061610876229,-53.88823563325497,-50.638769657102415,-52.13462272096392,-49.32247622443229
2020-03-20,-56.486082986704254,-63.59183687528351,-54.611289061819114,-51.34131486801069,-53.00377213964079,-50.141960576608874
2020-03-21,-27.575062102750888,-33.45212121197723,-25.86002035297256,-23.459650026378487,-23.467034304275423,-24.721746549847786
2020-03-22,-28.593397289874368,-33.29626594073567,-27.08119870695607,-25.451470985370474,-25.278001299846366,-27.09825117115986
2020-03-23,-55.7077839508313,-63.457147134704385,-53.53201839007717,-50.4999834778358,-52.22163327882926,-49.256726898501846
2020-03-24,-55.752235089951775,-63.84389910408159,-53.81100696264731,-50.757455769026976,-51.95486464537399,-49.364403330822725
2020-03-25,-55.205081977505266,-63.243567688928906,-53.20765797352502,-50.12861080503959,-51.84108160816547,-48.758366065724694
2020-03-26,-55.387735749163916,-63.3821057078103,-53.60731634391963,-50.29802565835126,-51.5360665756485,-48.91273404834401
2020-03-27,-55.63504572317962,-62.82314328440692,-54.00987078946202,-50.75458433083525,-51.236788502990784,-49.6188246355101
2020-03-28,-27.84500174759156,-33.241427974928456,-26.04633452081352,-24.594825258173056,-23.999615411209437,-25.370663810117847
2020-03-29,-28.476207923102226,-33.214490026812626,-26.570524122562965,-25.872615253489872,-24.824781470965362,-27.301216481640804
2020-03-30,-54.780775649537155,-62.41907406266954,-52.81186103666081,-49.15997898836497,-50.7749632343209,-48.812680726275936
2020-03-31,-53.89013646206883,-62.02366346711224,-52.3011864522677,-48.69193456311409,-49.35124102924955,-47.73401062550398
2020-04-01,-54.458302840281384,-62.458518915267724,-52.757800967235454,-48.67853451821938,-50.25003140719923,-48.615432748484594
2020-04-02,-55.12911093973574,-62.850081232522754,-53.42003681769608,-49.95728165960011,-51.086671386673665,-49.09759447197453
2020-04-03,-55.08950901579204,-62.223773938829815,-53.3476349390014,-50.03193905258491,-51.20523522376489,-48.855560721447965
2020-04-04,-24.954869502231574,-30.927650645694168,-23.44179760457043,-20.05412433099478,-21.06707276315448,-22.314749487524494
2020-04-05,-22.92628115327924,-27.978907396586862,-21.56321019203927,-19.772723388205907,-19.072523052087433,-21.516228688543134
2020-04-06,-59.624333408609395,-65.91331076112232,-58.94864427482142,-53.934223555136725,-55.41233912055061,-54.079297022182836
2020-04-07,-59.72131771214497,-66.00278323164989,-59.309688309912204,-54.425239485921395,-55.51656055799371,-54.317519217583005
2020-04-08,-60.46567224178046,-66.48478008900803,-60.26732382544709,-55.034941528630625,-56.04340470506847,-55.39904798469976
2020-04-09,-82.88116939643903,-83.67311512605572,-83.63671955132286,-80.55341273847463,-80.08700347519884,-79.99310743781307
2020-04-10,-83.26264099034562,-84.04062570392163,-83.91184669036261,-80.3763407166517,-80.46946746581574,-80.53244248819904
2020-04-11,-22.99982758346038,-26.9995205686615,-23.99977474971072,-20.99978464213562,-17.999711558407075,-20.00018263701647
