date,DO
2020-02-15,-1
2020-02-16,-9
2020-02-17,-2
2020-02-18,3
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,2
2020-02-23,-4
2020-02-24,4
2020-02-25,4
2020-02-26,1
2020-02-27,-55
2020-02-28,-3
2020-02-29,3
2020-03-01,-5
2020-03-02,3
2020-03-03,2
2020-03-04,2
2020-03-05,2
2020-03-06,2
2020-03-07,3
2020-03-08,-5
2020-03-09,2
2020-03-10,3
2020-03-11,1
2020-03-12,0
2020-03-13,-10
2020-03-14,-1
2020-03-15,-9
2020-03-16,-11
2020-03-17,-13
2020-03-18,-22
2020-03-19,-46
2020-03-20,-58
2020-03-21,-59
2020-03-22,-51
2020-03-23,-68
2020-03-24,-71
2020-03-25,-73
2020-03-26,-74
2020-03-27,-75
2020-03-28,-66
2020-03-29,-56
2020-03-30,-72
2020-03-31,-73
2020-04-01,-73
2020-04-02,-73
2020-04-03,-72
2020-04-04,-63
2020-04-05,-53
2020-04-06,-70
2020-04-07,-71
2020-04-08,-71
2020-04-09,-73
2020-04-10,-83
2020-04-11,-67
