date,total,Central Finland,Central Ostrobothnia,Lapland,North Karelia,Ostrobothnia,Pirkanmaa,Päijänne Tavastia,Satakunta
2020-02-29,-2.428963276503419,-8.71077222776329,-14.000053679301582,1.275780237823415,-4.76941531057511,-8.518094402384069,-7.797497289321042,-3.8903099588718684,0.30281261560793826
2020-03-01,-2.800423400218937,-5.223770671363457,-2.3221918804576003,-1.0783380581602673,-6.254242398351886,-4.731951645829512,-3.005701946567342,-5.435256523985094,-1.812038431417471
2020-03-02,-6.947590755467078,-1.2145843810626005,-4.252665381080181,-31.693266800928704,-34.75190945256602,-0.8246755786608468,-0.47318145943743073,0.5105617404022248,0.23122113460158863
2020-03-03,-7.202467074120366,-0.551034719199422,-2.1098494913886174,-31.980886899188008,-36.0377291362556,-1.001045678914988,-0.9092319794019041,-1.928578299552745,1.2383391309206422
2020-03-04,-7.627796956037052,-0.675089655982538,-3.4285054235065027,-32.307425888630895,-36.011645641545144,-0.2752148817152532,-0.6512195538334058,-0.7606327969257635,-0.46437717409524076
2020-03-05,-7.770109600837153,-1.6030975164143746,-1.884902302968507,-33.649653013840954,-36.33913840846533,-0.7413358609583406,-0.8930466980931792,-1.1158473658512444,-0.23412349193968388
2020-03-06,-8.462376195034254,-2.6426586533333545,-3.9501501966531367,-33.49492669035493,-36.43284577835105,-0.7800985203548552,-1.3814613634682336,-1.7059771696927768,-0.7401011212142901
2020-03-07,-0.012864419868935684,-1.0251361442697802,-3.999599794107558,-4.465230832381953,-8.584367925819409,0.851809440238407,2.462066909668402,0.3533200912245451,-0.6056252312158765
2020-03-08,0.9334744667396456,1.2290093737118002,NA,-1.7978629244326993,-1.7060537651358405,-0.5262031013076849,2.503958225996867,1.6728238099263988,1.087416549339689
2020-03-09,-1.2599091209138886,-1.7617724355555695,-3.45565422210893,-1.8453249868517254,-2.50015127076532,-0.8246755786608468,-1.9241443249960715,-0.1705029930842309,-0.307649877838097
2020-03-10,-1.4995089409728157,-1.3472943134352362,-0.7911935592707313,-1.1969932142078321,-4.115395832094383,NA,-2.6410570794354786,-3.4375297883481886,0.23218858704762038
2020-03-11,-2.58172826244703,-2.4551337488937603,-3.4285054235065027,-1.305206716523211,-3.0111945560183546,-1.4671666581580753,-3.614078108701181,-2.790565653478579,-1.3921640698396907
2020-03-12,-3.4878658369651876,-3.3908349387385033,-3.501225419763004,-3.0489628897982213,-3.5579818895783126,-1.9449164352201171,-5.1193092704126055,-1.9730985255247389,-1.7926893824968357
2020-03-13,-10.082489072278342,-8.766548866006861,-8.181484378831412,-6.42351552779096,-6.7720480711224464,-6.534415307767439,-11.679108577301736,-6.1049543912659345,-4.8537089217412985
2020-03-14,-8.008905394654272,-11.785218994396018,-8.000169188165202,-5.741011070205368,-9.53883062115022,-2.981817574076881,-9.164677522222753,-4.5978973801714265,-8.473915974792114
2020-03-15,-9.74479805071878,-10.447541342726915,-11.609020202387828,-8.989314622163498,-6.254242398351886,-8.937700190351341,-10.351915509986286,-7.943545000024223,-9.06309451442545
2020-03-16,-23.189724866240187,-22.35489194155282,-17.276331910644476,-15.521043652269835,-14.125661468752128,-15.847144227780058,-25.92596443046414,-15.579237373646363,-16.55214389915724
2020-03-17,-31.91180153737858,-32.57451840042238,-25.57998588318681,-24.583449850558633,-20.2011836255694,-24.394310624711512,-34.329933731176816,-26.323767654504312,-25.000906110352524
2020-03-18,-41.689564664011506,-41.43242555320751,-36.39199492660339,-33.395256359274974,-36.011645641545144,-37.95736514755195,-43.15948072277185,-36.69508582827789,-32.71537191500971
2020-03-19,-43.04756498642603,-42.904736469602476,-36.89909570049872,-36.15375142706876,-37.86357376598762,-38.52523810771089,-44.64662245243235,-36.808754490334046,-34.44904669829861
2020-03-20,-43.40294458530538,-44.027000897710195,-37.52254846840445,-36.24772631065843,-36.83955508476225,-39.9875594334444,-45.27023182050381,-38.157622613400406,-34.880530489228775
2020-03-21,-20.835536030224958,-22.802066713678006,-16.000338376330404,-22.008158343702288,-19.076695186940793,-17.888967311491463,-22.023407484319215,-19.09728246428433,-18.158114959569943
2020-03-22,-21.29383098805579,-21.817320548825986,-19.7352373840643,-23.731031209512928,-19.329801691168193,-20.504477754271278,-20.368700489344853,-20.904614190977174,-18.84984345848265
2020-03-23,-45.642157668742,-45.74357502296494,-38.008318043397885,-40.267762997549916,-39.87683313549106,-40.67075130530797,-46.37654340172372,-40.09851501800924,-37.26143095891292
2020-03-24,-47.210008840268536,-46.718704526050836,-39.292068377312646,-41.22649665841424,-41.77319980647728,-42.23482461195733,-48.590118639534644,-43.005591050095376,-38.15922682883038
2020-03-25,-47.31453225170364,-46.95623607167432,-39.55579956373622,-41.335659401978,-41.03030323490907,-41.71637404252895,-48.343531118419364,-42.61343416600164,-38.9031977598288
2020-03-26,-47.669107824341175,-47.77461398797224,-39.05354678959132,-42.25262644791358,-41.675628215152976,-42.04488758091441,-48.724361266859944,-42.04224913916947,-38.424308799043075
2020-03-27,-47.67795211300107,-47.508232457050354,-40.06193073768147,-41.869132983567845,-41.57998873454796,-42.230948346017676,-48.97475708945963,-43.09557874088983,-38.33627062645419
2020-03-28,-24.36762331048961,-25.363945408175844,-22.999880416006153,-28.7069538335236,-23.846110497515905,-20.44439563220668,-24.485474393987616,-24.0484999356803,-18.460927575177884
2020-03-29,-24.82109411086959,-23.353101432877427,-20.89681812426814,-30.922482907243726,-23.878956379743887,-21.02971178909405,-25.54513428202355,-24.249314571979507,-19.212638125744558
2020-03-30,-48.38790728451796,-48.05157384683687,-39.33666997501663,-42.6560539784753,-42.12774212346757,-43.05271672522379,-48.9509552051821,-42.90802544849718,-39.417882461117685
2020-03-31,-48.941881365124004,-48.74012682929199,-41.40191786870127,-43.72869658914529,-43.519827896718276,-44.054731470623686,-50.17437205704749,-44.68220381542364,-39.08798117702086
2020-04-01,-48.770623775618795,-49.04305167492518,-40.34699312300696,-44.05523557858818,-43.790323397419314,-42.81626450290505,-49.676436637961416,-44.304255514086925,-39.135386346876416
2020-04-02,-49.416256847791004,-49.56235141029636,-40.93844909255983,-44.97505034826891,-43.70820869184936,-43.52659023634617,-50.5095025876752,-44.70209583128347,-39.35983531435578
2020-04-03,-49.3398743548192,-49.76430130738515,-39.2154699812558,-45.31013250894722,-43.74685090623522,-43.791145386727386,-50.41905542742057,-45.160559434909956,-39.73423941097007
2020-04-04,-26.44201101435549,-27.925824102673683,-20.999595718977332,-34.12901984427312,-26.70756647278904,-23.85163339316031,-27.358837863971853,-23.695179844455755,-20.275868363933448
2020-04-05,-25.533461361111907,-25.19661549344513,-22.057429264521897,-34.15844632297291,-22.17290261460805,-18.926837516833135,-24.710164181567563,-23.413849905866773,-18.488016243666774
2020-04-06,-49.747515659416095,-50.0566478250756,-42.792324197125566,-46.5631309568095,-45.00272287377576,-43.41902385652085,-50.519975416757326,-44.865968152414425,-40.187007155712934
2020-04-07,-49.998371846860344,-49.413293152921305,-41.929380241548415,-46.9921880010775,-45.015281593451164,-43.782423788363175,-50.84939349515843,-45.52051019808778,-40.24892411225896
2020-04-08,-49.772440472912166,-48.98150503962193,-42.45684261439557,-47.53610323639954,-45.42199089986237,-44.00821627934787,-50.59423729570323,-44.980584053321046,-40.450154221033564
2020-04-09,-52.61145713273791,-52.5213982357355,-44.978772084571034,-51.1821388714291,-47.520263141014716,-47.41642310678641,-53.4866422731095,-47.533392755332166,-44.269656477966926
2020-04-10,-83.48526079194174,-83.21970592558533,-80.12289187541286,-76.85531767512857,-81.53410629881076,-84.85146141897033,-83.6655273862839,-81.43222949702869,-80.86741505890205
2020-04-11,-29.999827134358014,-31.000270869306405,-22.999880416006153,-37.000474620624175,-30.999750435698743,-22.999823952921904,-29.000215803750788,-28.99971740707627,-23.000214451958865
