date,TJ
2020-02-15,-3
2020-02-16,-1
2020-02-17,1
2020-02-18,-5
2020-02-19,0
2020-02-20,1
2020-02-21,5
2020-02-22,5
2020-02-23,5
2020-02-24,0
2020-02-25,2
2020-02-26,1
2020-02-27,-8
2020-02-28,1
2020-02-29,3
2020-03-01,-4
2020-03-02,5
2020-03-03,6
2020-03-04,10
2020-03-05,8
2020-03-06,14
2020-03-07,9
2020-03-08,8
2020-03-09,-4
2020-03-10,3
2020-03-11,4
2020-03-12,0
2020-03-13,4
2020-03-14,3
2020-03-15,4
2020-03-16,7
2020-03-17,5
2020-03-18,8
2020-03-19,4
2020-03-20,7
2020-03-21,-15
2020-03-22,-17
2020-03-23,-16
2020-03-24,-17
2020-03-25,-13
2020-03-26,-11
2020-03-27,-5
2020-03-28,-6
2020-03-29,-8
2020-03-30,-4
2020-03-31,-7
2020-04-01,-11
2020-04-02,-4
2020-04-03,-2
2020-04-04,-3
2020-04-05,-6
2020-04-06,-4
2020-04-07,-7
2020-04-08,-12
2020-04-09,-20
2020-04-10,-4
2020-04-11,-8
