date,RE
2020-02-15,-23
2020-02-16,30
2020-02-17,1
2020-02-18,20
2020-02-19,16
2020-02-20,29
2020-02-21,9
2020-02-22,-2
2020-02-23,22
2020-02-24,2
2020-02-25,4
2020-02-26,4
2020-02-27,7
2020-02-28,-14
2020-02-29,-19
2020-03-01,-7
2020-03-02,-26
2020-03-03,-15
2020-03-04,-18
2020-03-05,-5
2020-03-06,-27
2020-03-07,-35
2020-03-08,-1
2020-03-09,-27
2020-03-10,0
2020-03-11,7
2020-03-12,-19
2020-03-13,-18
2020-03-14,-19
2020-03-15,-5
2020-03-16,-31
2020-03-17,-51
2020-03-18,-74
2020-03-19,-76
2020-03-20,-82
2020-03-21,-88
2020-03-22,-89
2020-03-23,-91
2020-03-24,0
2020-03-25,-91
2020-03-26,-89
2020-03-27,-88
2020-03-28,-93
2020-03-29,-92
2020-03-30,0
2020-03-31,0
2020-04-01,-88
2020-04-02,-89
2020-04-03,0
2020-04-04,-93
2020-04-05,0
2020-04-06,-91
2020-04-07,0
2020-04-08,0
2020-04-09,-92
2020-04-10,-88
2020-04-11,-100
